"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"A Lyth",2017-08-17,"Yorkshire","Northamptonshire",1,161,73,20,7,220.547945205479,FALSE,"NatWest T20 Blast",2017,1068415,"Headingley","Leeds","Yorkshire","Northamptonshire","Yorkshire","bat","A Lyth","Yorkshire",NA,"124"
"BB McCullum",2015-07-03,"Warwickshire","Derbyshire",1,158,64,13,11,246.875,TRUE,"NatWest T20 Blast",2015,804611,"Edgbaston","Birmingham","Warwickshire","Derbyshire","Derbyshire","field","BB McCullum","Warwickshire",NA,"60"
"LJ Wright",2014-07-25,"Sussex","Essex",2,153,66,12,11,231.818181818182,TRUE,"NatWest T20 Blast",2014,693257,"County Ground","Chelmsford","Essex","Sussex","Sussex","field","LJ Wright","Sussex","7",NA
"CH Gayle",2015-05-31,"Somerset","Kent",2,151,62,10,15,243.548387096774,TRUE,"NatWest T20 Blast",2015,804505,"The Cooper Associates County Ground","Taunton","Kent","Somerset","Kent","bat","CH Gayle","Kent",NA,"3"
"JM Clarke",2021-06-13,"Nottinghamshire","Northamptonshire",1,136,65,6,11,209.230769230769,FALSE,"Vitality Blast",2021,1250256,"County Ground, Northampton","Northampton","Nottinghamshire","Northamptonshire","Nottinghamshire","bat","JM Clarke","Nottinghamshire",NA,"14"
"AJ Finch",2018-07-13,"Surrey","Sussex",1,131,79,10,7,165.822784810127,TRUE,"Vitality Blast",2018,1127478,"County Ground","Hove","Surrey","Sussex","Sussex","field","AJ Finch","Surrey",NA,"52"
"IR Bell",2018-07-20,"Birmingham Bears","Northamptonshire",2,131,62,11,7,211.290322580645,FALSE,"Vitality Blast",2018,1127491,"Edgbaston","Birmingham","Northamptonshire","Birmingham Bears","Birmingham Bears","field","IR Bell",NA,NA,NA
"JM Vince",2022-06-23,"Hampshire","Somerset",1,129,62,9,10,208.064516129032,TRUE,"Vitality Blast",2022,1297893,"The Cooper Associates County Ground, Taunton","Taunton","Hampshire","Somerset","Somerset","field","JM Vince","Hampshire",NA,"14"
"DT Christian",2014-06-06,"Middlesex","Kent",2,129,57,12,10,226.315789473684,FALSE,"NatWest T20 Blast",2014,693087,"St Lawrence Ground","Canterbury","Kent","Middlesex","Kent","bat","DT Christian","Kent",NA,"16"
"CS Delport",2019-07-19,"Essex","Surrey",1,129,49,7,14,263.265306122449,FALSE,"Vitality Blast",2019,1167131,"County Ground","Chelmsford","Essex","Surrey","Surrey","field","CS Delport","Essex",NA,"52"
"JL Denly",2017-08-17,"Kent","Essex",1,127,66,11,7,192.424242424242,FALSE,"NatWest T20 Blast",2017,1068412,"County Ground","Chelmsford","Kent","Essex","Essex","field","JL Denly","Kent",NA,"11"
"T Kohler-Cadmore",2016-05-20,"Worcestershire","Durham",1,127,54,14,8,235.185185185185,FALSE,"NatWest T20 Blast",2016,947093,"County Ground, New Road","Worcester","Worcestershire","Durham","Durham","field","T Kohler-Cadmore","Worcestershire",NA,"38"
"M Klinger",2015-05-24,"Gloucestershire","Essex",1,126,68,7,8,185.294117647059,TRUE,"NatWest T20 Blast",2015,804481,"County Ground","Bristol","Gloucestershire","Essex","Essex","field","M Klinger","Gloucestershire",NA,"34"
"JM Clarke",2017-07-30,"Worcestershire","Durham",2,124,53,12,8,233.962264150943,TRUE,"NatWest T20 Blast",2017,1068369,"County Ground, New Road","Worcester","Durham","Worcestershire","Worcestershire","field","JM Clarke","Worcestershire","8",NA
"IA Cockbain",2018-08-09,"Gloucestershire","Middlesex",1,123,61,12,8,201.639344262295,FALSE,"Vitality Blast",2018,1127543,"County Ground","Bristol","Gloucestershire","Middlesex","Middlesex","field","IA Cockbain","Gloucestershire",NA,"70"
