"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CN Ackermann",2019-08-07,"Birmingham Bears","Leicestershire",2,"4.0",0,18,7,4.5,12,"Vitality Blast",2019,1167188,"Grace Road","Leicester","Leicestershire","Birmingham Bears","Leicestershire","bat","CN Ackermann","Leicestershire",NA,"55"
"Shaheen Shah Afridi",2020-09-20,"Middlesex","Hampshire",2,"4.0",0,19,6,4.75,11,"Vitality Blast",2020,1207780,"The Rose Bowl","Southampton","Hampshire","Middlesex","Hampshire","bat","Shaheen Shah Afridi","Hampshire",NA,"20"
"TT Bresnan",2017-08-11,"Lancashire","Yorkshire",2,"4.0",0,19,6,4.75,16,"NatWest T20 Blast",2017,1068401,"Headingley","Leeds","Yorkshire","Lancashire","Yorkshire","bat","TT Bresnan","Yorkshire",NA,"19"
"JK Fuller",2018-07-20,"Hampshire","Middlesex",1,"4.0",0,28,6,7,10,"Vitality Blast",2018,1127488,"The Rose Bowl","Southampton","Hampshire","Middlesex","Hampshire","bat","C Munro","Hampshire",NA,"21"
"AF Milne",2017-08-12,"Somerset","Kent",1,"3.5",1,11,5,2.8695652173913,15,"NatWest T20 Blast",2017,1068402,"The Cooper Associates County Ground","Taunton","Somerset","Kent","Kent","field","AF Milne","Kent","6",NA
"CJ McKay",2017-07-14,"Worcestershire","Leicestershire",1,"4.0",1,11,5,2.75,17,"NatWest T20 Blast",2017,1068321,"County Ground, New Road","Worcester","Worcestershire","Leicestershire","Worcestershire","bat","CJ McKay","Leicestershire","5",NA
"JW Shutt",2019-08-23,"Durham","Yorkshire",2,"4.0",0,11,5,2.75,14,"Vitality Blast",2019,1167224,"Riverside Ground","Chester-le-Street","Durham","Yorkshire","Durham","field","JW Shutt","Yorkshire",NA,"14"
"Naveen-ul-Haq",2022-06-05,"Worcestershire","Leicestershire",2,"4.0",0,11,5,2.75,13,"Vitality Blast",2022,1297840,"County Ground, New Road, Worcester","Worcester","Leicestershire","Worcestershire","Worcestershire","field",NA,"Leicestershire",NA,"26"
"TG Helm",2017-07-27,"Essex","Middlesex",2,"3.2",0,11,5,3.3,12,"NatWest T20 Blast",2017,1068358,"Lord's","London","Middlesex","Essex","Essex","field","BB McCullum","Middlesex",NA,"72"
"RF Higgins",2016-07-22,"Hampshire","Middlesex",2,"3.1",0,13,5,4.10526315789474,9,"NatWest T20 Blast",2016,947311,"The Rose Bowl","Southampton","Hampshire","Middlesex","Middlesex","bat","GJ Bailey","Middlesex",NA,"43"
"SD Parry",2016-06-24,"Worcestershire","Lancashire",2,"4.0",0,13,5,3.25,13,"NatWest T20 Blast",2016,947211,"Old Trafford","Manchester","Lancashire","Worcestershire","Worcestershire","field","SD Parry","Lancashire",NA,"96"
"KJ Abbott",2015-05-29,"Sussex","Middlesex",2,"4.0",1,14,5,3.5,16,"NatWest T20 Blast",2015,804499,"County Ground","Hove","Middlesex","Sussex","Middlesex","bat","DJ Malan","Middlesex",NA,"42"
