"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","winner","winner_wickets","winner_runs","method","tv_umpire","outcome","reserve_umpire","match_referee"
693009,6,"Nottinghamshire","Lancashire","male","2014",2014-05-16,"NatWest T20 Blast","Trent Bridge","Nottingham","Lancashire","field","SR Patel","JH Evans","P Willey","Nottinghamshire",NA,33,NA,"RJ Evans",NA,NA,NA
693013,6,"Yorkshire","Northamptonshire","male","2014",2014-05-16,"NatWest T20 Blast","Headingley","Leeds","Yorkshire","bat","IG Butler","NA Mallender","DJ Millns","Northamptonshire",3,NA,NA,NA,NA,NA,NA
693015,6,"Leicestershire","Derbyshire","male","2014",2014-05-16,"NatWest T20 Blast","Grace Road","Leicester","Derbyshire","field","MJ North","RJ Bailey","PK Baldwin","Leicestershire",NA,27,NA,NA,NA,NA,NA
693017,6,"Durham","Worcestershire","male","2014",2014-05-16,"NatWest T20 Blast","Riverside Ground","Chester-le-Street","Worcestershire","field","PD Collingwood","SA Garratt","MA Gough","Durham",NA,29,NA,NA,NA,NA,NA
693021,6,"Glamorgan","Hampshire","male","2014",2014-05-16,"NatWest T20 Blast","The Rose Bowl","Southampton","Hampshire","field","J Allenby","PJ Hartley","MJ Saggers","Glamorgan",NA,10,NA,NA,NA,NA,NA
693023,6,"Middlesex","Essex","male","2014",2014-05-17,"NatWest T20 Blast","Lord's","London","Essex","field","ML Pettini","RA Kettleborough","RK Illingworth","Essex",8,NA,NA,"JW Lloyds",NA,NA,NA
693025,6,"Sussex","Middlesex","male","2014",2014-05-17,"NatWest T20 Blast","Lord's","London","Middlesex","field","SA Piolet","RK Illingworth","JW Lloyds","Sussex",NA,13,NA,"RA Kettleborough",NA,NA,NA
693027,6,"Lancashire","Worcestershire","male","2014",2014-05-17,"NatWest T20 Blast","Old Trafford","Manchester","Lancashire","bat","PJ Horton","NGC Cowley","NL Bainton","Lancashire",NA,12,NA,NA,NA,NA,NA
693029,6,"Surrey","Somerset","male","2014",2014-05-18,"NatWest T20 Blast","The Cooper Associates County Ground","Taunton","Somerset","field","JJ Roy","PJ Hartley","NGB Cook","Surrey",NA,14,NA,"GD Lloyd",NA,NA,NA
693031,6,"Worcestershire","Nottinghamshire","male","2014",2014-05-23,"NatWest T20 Blast","Trent Bridge","Nottingham","Nottinghamshire","field","AN Kervezee","G Sharp","SA Garratt","Worcestershire",NA,24,NA,NA,NA,NA,NA
693033,6,"Kent","Somerset","male","2014",2014-05-23,"NatWest T20 Blast","The Cooper Associates County Ground","Taunton","Somerset","field","DJ Bell-Drummond","NA Mallender","M Burns","Kent",NA,42,NA,NA,NA,NA,NA
693035,6,"Leicestershire","Northamptonshire","male","2014",2014-05-23,"NatWest T20 Blast","County Ground","Northampton","Northamptonshire","field","DJ Willey","MR Benson","MJ Saggers","Northamptonshire",2,NA,NA,NA,NA,NA,NA
693037,6,"Hampshire","Sussex","male","2014",2014-05-23,"NatWest T20 Blast","County Ground","Hove","Hampshire","bat","JM Vince","MJD Bodenham","SJ O'Shaughnessy","Hampshire",NA,18,NA,NA,NA,NA,NA
693041,6,"Lancashire","Derbyshire","male","2014",2014-05-23,"NatWest T20 Blast","County Ground","Derby","Derbyshire","field","SJ Croft","RK Illingworth","AG Wharf","Lancashire",NA,20,NA,NA,NA,NA,NA
693043,6,"Glamorgan","Essex","male","2014",2014-05-23,"NatWest T20 Blast","County Ground","Chelmsford","Essex","field","T Westley","JH Evans","DJ Millns","Essex",4,NA,NA,NA,NA,NA,NA
693045,6,"Middlesex","Gloucestershire","male","2014",2014-05-23,"NatWest T20 Blast","County Ground","Bristol","Gloucestershire","field","JK Fuller","GD Lloyd","NGC Cowley","Gloucestershire",5,NA,NA,NA,NA,NA,NA
693047,6,"Hampshire","Middlesex","male","2014",2014-05-25,"NatWest T20 Blast","Merchant Taylors' School Ground","Northwood","Middlesex","field","JM Vince","SA Garratt","DJ Millns","Hampshire",NA,47,NA,NA,NA,NA,NA
693049,6,"Lancashire","Durham","male","2014",2014-05-29,"NatWest T20 Blast","Riverside Ground","Chester-le-Street","Lancashire","bat","KR Brown","GD Lloyd","NGB Cook","Lancashire",NA,1,NA,NA,NA,NA,NA
693053,6,"Kent","Gloucestershire","male","2014",2014-05-30,"NatWest T20 Blast","St Lawrence Ground","Canterbury","Kent","bat","AEN Riley","MJD Bodenham","G Sharp","Kent",NA,21,NA,NA,NA,NA,NA
693055,6,"Durham","Nottinghamshire","male","2014",2014-05-30,"NatWest T20 Blast","Trent Bridge","Nottingham","Nottinghamshire","field","SJ Mullaney","SA Garratt","P Willey","Durham",NA,3,NA,NA,NA,NA,NA
693057,6,"Sussex","Glamorgan","male","2014",2014-05-30,"NatWest T20 Blast","Sophia Gardens","Cardiff","Glamorgan","field","CB Cooke","RT Robinson","JW Lloyds","Glamorgan",5,NA,NA,NA,NA,NA,NA
693059,6,"Northamptonshire","Worcestershire","male","2014",2014-05-30,"NatWest T20 Blast","County Ground, New Road","Worcester","Northamptonshire","bat","RK Oliver","NGC Cowley","JH Evans","Worcestershire",5,NA,NA,NA,NA,NA,NA
