"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie",2014,"NatWest T20 Blast","Middlesex",2,2,6,33.3333333333333,1,0,0,0,0,0,2
"A Balbirnie",2015,"NatWest T20 Blast","Middlesex",5,44,43,102.325581395349,8.8,5,0,0,0,0,18
"A Balbirnie",2020,"Vitality Blast","Glamorgan",9,255,176,144.886363636364,36.4285714285714,25,7,2,0,2,99
"A Carter",2014,"NatWest T20 Blast","Nottinghamshire",1,5,4,125,Inf,0,0,1,0,0,5
"A Carter",2016,"NatWest T20 Blast","Derbyshire",1,0,1,0,0,0,0,0,0,0,0
"A Flintoff",2014,"NatWest T20 Blast","Lancashire",2,21,12,175,21,0,2,1,0,0,20
"A Hepburn",2017,"NatWest T20 Blast","Worcestershire",3,25,28,89.2857142857143,12.5,3,0,1,0,0,10
"A Javid",2014,"NatWest T20 Blast","Warwickshire",10,132,103,128.155339805825,26.4,12,2,5,0,0,27
"A Javid",2015,"NatWest T20 Blast","Warwickshire",11,183,146,125.342465753425,36.6,12,4,6,0,1,51
"A Javid",2016,"NatWest T20 Blast","Warwickshire",7,66,60,110,13.2,5,0,2,0,0,34
"A Javid",2018,"Vitality Blast","Leicestershire",6,78,82,95.1219512195122,26,5,1,3,0,0,28
"A Kapil",2015,"NatWest T20 Blast","Surrey",3,28,22,127.272727272727,9.33333333333333,2,1,0,0,0,15
"A Karvelas",2023,"Vitality Blast","Sussex",4,9,20,45,4.5,0,0,2,0,0,6
"A Lyth",2014,"NatWest T20 Blast","Yorkshire",7,66,55,120,11,3,1,1,0,0,46
"A Lyth",2016,"NatWest T20 Blast","Yorkshire",12,312,205,152.19512195122,26,39,12,0,0,2,87
"A Lyth",2017,"NatWest T20 Blast","Yorkshire",12,535,325,164.615384615385,44.5833333333333,56,22,0,1,4,161
"A Lyth",2018,"Vitality Blast","Yorkshire",14,401,262,153.053435114504,30.8461538461538,37,20,1,0,3,92
"A Lyth",2019,"Vitality Blast","Yorkshire",10,379,243,155.9670781893,37.9,45,14,0,0,3,69
"A Lyth",2020,"Vitality Blast","Yorkshire",8,308,195,157.948717948718,38.5,31,12,0,0,3,71
"A Lyth",2021,"Vitality Blast","Yorkshire",13,232,159,145.911949685535,17.8461538461538,27,9,0,0,2,52
"A Lyth",2022,"Vitality Blast","Yorkshire",16,525,296,177.364864864865,35,59,24,1,0,5,81
"A Lyth",2023,"Vitality Blast","Yorkshire",13,237,193,122.79792746114,19.75,29,6,1,0,1,90
"A Shahzad",2014,"NatWest T20 Blast","Nottinghamshire",5,32,41,78.0487804878049,10.6666666666667,0,1,2,0,0,11
"A Shahzad",2016,"NatWest T20 Blast","Sussex",1,0,1,0,0,0,0,0,0,0,0
"A Sheikh",2014,"NatWest T20 Blast","Leicestershire",2,21,20,105,10.5,0,2,0,0,0,14
"A Zampa",2018,"Vitality Blast","Essex",7,13,18,72.2222222222222,4.33333333333333,0,0,4,0,0,4
"A Zampa",2019,"Vitality Blast","Essex",2,8,10,80,8,1,0,1,0,0,6
"AAP Atkinson",2020,"Vitality Blast","Surrey",3,30,17,176.470588235294,30,2,2,2,0,0,14
"AAP Atkinson",2021,"Vitality Blast","Surrey",5,9,17,52.9411764705882,3,0,0,2,0,0,5
"AAP Atkinson",2022,"Vitality Blast","Surrey",3,5,6,83.3333333333333,2.5,1,0,1,0,0,5
"AAP Atkinson",2023,"Vitality Blast","Surrey",6,27,21,128.571428571429,9,1,1,3,0,0,8
"AB de Villiers",2019,"Vitality Blast","Middlesex",8,348,191,182.198952879581,69.6,21,20,3,0,4,88
"AC Agar",2018,"Vitality Blast","Middlesex",6,40,31,129.032258064516,20,1,3,4,0,0,23
"AC Agar",2019,"Vitality Blast","Birmingham Bears",4,95,64,148.4375,31.6666666666667,8,4,1,0,0,41
"AC Lenham",2021,"Vitality Blast","Sussex",3,7,20,35,7,0,0,2,0,0,5
"AC Lenham",2022,"Vitality Blast","Sussex",3,8,14,57.1428571428571,Inf,0,0,3,0,0,7
"AC Thomas",2014,"NatWest T20 Blast","Somerset",3,34,23,147.826086956522,Inf,5,0,3,0,0,19
"AC Thomas",2015,"NatWest T20 Blast","Somerset",1,3,3,100,Inf,0,0,1,0,0,3
"AC Voges",2015,"NatWest T20 Blast","Middlesex",1,31,27,114.814814814815,Inf,2,0,1,0,0,31
"AC Voges",2016,"NatWest T20 Blast","Middlesex",2,75,59,127.118644067797,75,7,0,1,0,1,52
"AC Voges",2017,"NatWest T20 Blast","Middlesex",3,110,72,152.777777777778,55,11,0,1,0,1,58
"AD Hales",2014,"NatWest T20 Blast","Nottinghamshire",13,365,267,136.704119850187,28.0769230769231,41,14,0,0,3,67
"AD Hales",2015,"NatWest T20 Blast","Nottinghamshire",10,283,201,140.796019900498,31.4444444444444,26,16,1,0,3,86
"AD Hales",2016,"NatWest T20 Blast","Nottinghamshire",2,4,8,50,2,1,0,0,0,0,4
"AD Hales",2017,"NatWest T20 Blast","Nottinghamshire",16,507,248,204.435483870968,33.8,78,20,1,1,3,101
"AD Hales",2018,"Vitality Blast","Nottinghamshire",6,173,131,132.06106870229,34.6,21,4,1,0,1,71
"AD Hales",2019,"Vitality Blast","Nottinghamshire",12,418,298,140.268456375839,38,41,18,1,0,5,83
"AD Hales",2020,"Vitality Blast","Nottinghamshire",11,202,123,164.227642276423,18.3636363636364,27,8,0,0,0,49
"AD Hales",2021,"Vitality Blast","Nottinghamshire",15,482,270,178.518518518519,43.8181818181818,61,23,4,1,2,101
"AD Hales",2022,"Vitality Blast","Nottinghamshire",14,374,193,193.782383419689,26.7142857142857,40,25,0,0,3,91
"AD Hales",2023,"Vitality Blast","Nottinghamshire",15,328,233,140.772532188841,23.4285714285714,39,9,1,0,3,71
"AD Russell",2016,"NatWest T20 Blast","Nottinghamshire",3,95,51,186.274509803922,31.6666666666667,5,8,0,0,0,41
"AD Thomason",2016,"NatWest T20 Blast","Warwickshire",3,12,17,70.5882352941177,4,0,0,0,0,0,6
"AD Thomason",2017,"NatWest T20 Blast","Warwickshire",11,196,129,151.937984496124,28,9,11,4,0,0,42
"AD Thomason",2018,"Vitality Blast","Birmingham Bears",5,24,31,77.4193548387097,6,1,0,1,0,0,14
"AD Thomason",2020,"Vitality Blast","Sussex",4,73,58,125.862068965517,36.5,5,2,2,0,0,47
"AD Thomason",2021,"Vitality Blast","Sussex",2,16,20,80,8,1,1,0,0,0,8
"AEN Riley",2014,"NatWest T20 Blast","Kent",2,9,11,81.8181818181818,4.5,1,0,0,0,0,5
"AEN Riley",2015,"NatWest T20 Blast","Kent",1,1,1,100,Inf,0,0,1,0,0,1
"AF Milne",2017,"NatWest T20 Blast","Kent",2,19,15,126.666666666667,19,0,1,1,0,0,17
"AF Milne",2018,"Vitality Blast","Kent",4,23,17,135.294117647059,23,3,0,3,0,0,17
"AF Milne",2019,"Vitality Blast","Kent",7,60,40,150,12,6,2,2,0,0,16
"AF Milne",2021,"Vitality Blast","Kent",2,9,5,180,9,0,1,1,0,0,8
"AG Prince",2014,"NatWest T20 Blast","Lancashire",9,372,254,146.456692913386,46.5,42,9,1,0,3,72
"AG Prince",2015,"NatWest T20 Blast","Lancashire",16,455,357,127.450980392157,30.3333333333333,45,6,1,0,4,78
"AG Salter",2014,"NatWest T20 Blast","Glamorgan",7,35,31,112.903225806452,35,5,0,6,0,0,10
"AG Salter",2015,"NatWest T20 Blast","Glamorgan",7,29,27,107.407407407407,7.25,2,0,3,0,0,17
"AG Salter",2016,"NatWest T20 Blast","Glamorgan",4,28,25,112,14,1,1,2,0,0,16
"AG Salter",2017,"NatWest T20 Blast","Glamorgan",5,83,70,118.571428571429,27.6666666666667,7,2,2,0,0,37
"AG Salter",2018,"Vitality Blast","Glamorgan",9,65,52,125,10.8333333333333,4,4,3,0,0,21
"AG Salter",2019,"Vitality Blast","Glamorgan",6,51,43,118.604651162791,17,2,2,3,0,0,39
"AG Salter",2020,"Vitality Blast","Glamorgan",5,45,39,115.384615384615,22.5,3,2,3,0,0,14
"AG Salter",2021,"Vitality Blast","Glamorgan",6,10,17,58.8235294117647,2.5,0,0,2,0,0,4
"AG Salter",2022,"Vitality Blast","Glamorgan",3,38,28,135.714285714286,12.6666666666667,2,2,0,0,0,24
"AG Salter",2023,"Vitality Blast","Glamorgan",2,3,5,60,3,0,0,1,0,0,2
"AG Wakely",2015,"NatWest T20 Blast","Northamptonshire",13,235,218,107.798165137615,29.375,14,3,5,0,1,51
"AG Wakely",2016,"NatWest T20 Blast","Northamptonshire",11,286,212,134.905660377358,35.75,24,11,3,0,3,64
"AG Wakely",2017,"NatWest T20 Blast","Northamptonshire",11,258,212,121.698113207547,28.6666666666667,16,7,2,0,1,52
"AG Wakely",2018,"Vitality Blast","Northamptonshire",14,292,220,132.727272727273,26.5454545454545,24,10,3,0,2,54
"AG Wakely",2019,"Vitality Blast","Northamptonshire",10,188,179,105.027932960894,23.5,13,3,2,0,0,47
"AG Wakely",2020,"Vitality Blast","Northamptonshire",7,91,108,84.2592592592593,15.1666666666667,2,1,1,0,0,36
"AGH Orr",2022,"Vitality Blast","Sussex",8,166,103,161.165048543689,20.75,18,8,0,0,0,41
"AGH Orr",2023,"Vitality Blast","Sussex",2,57,33,172.727272727273,28.5,7,3,0,0,0,33
"AHT Donald",2015,"NatWest T20 Blast","Glamorgan",1,6,8,75,6,1,0,0,0,0,6
"AHT Donald",2016,"NatWest T20 Blast","Glamorgan",12,235,183,128.415300546448,26.1111111111111,27,7,3,0,2,55
"AHT Donald",2017,"NatWest T20 Blast","Glamorgan",13,277,192,144.270833333333,21.3076923076923,37,3,0,0,2,76
"AHT Donald",2018,"Vitality Blast","Glamorgan",12,175,122,143.44262295082,14.5833333333333,17,8,0,0,0,37
"AHT Donald",2019,"Vitality Blast","Hampshire",10,203,147,138.095238095238,20.3,20,7,0,0,1,51
"AHT Donald",2022,"Vitality Blast","Hampshire",4,20,31,64.5161290322581,5,3,0,0,0,0,14
"AHT Donald",2023,"Vitality Blast","Derbyshire",2,43,28,153.571428571429,43,3,2,1,0,0,30
"AHT Donald",2023,"Vitality Blast","Hampshire",4,19,17,111.764705882353,6.33333333333333,1,1,1,0,0,8
"AJ Ball",2014,"NatWest T20 Blast","Kent",7,67,73,91.7808219178082,13.4,3,1,2,0,0,18
"AJ Ball",2015,"NatWest T20 Blast","Kent",2,14,8,175,Inf,1,1,2,0,0,9
"AJ Blake",2014,"NatWest T20 Blast","Kent",14,311,221,140.723981900452,31.1,24,16,4,0,2,58
"AJ Blake",2015,"NatWest T20 Blast","Kent",14,304,182,167.032967032967,38,28,14,6,0,3,71
"AJ Blake",2016,"NatWest T20 Blast","Kent",12,198,172,115.116279069767,24.75,10,7,4,0,0,37
"AJ Blake",2017,"NatWest T20 Blast","Kent",11,116,104,111.538461538462,16.5714285714286,8,2,4,0,0,27
"AJ Blake",2018,"Vitality Blast","Kent",10,161,100,161,17.8888888888889,13,9,1,0,1,57
"AJ Blake",2019,"Vitality Blast","Kent",11,204,137,148.905109489051,22.6666666666667,13,12,2,0,2,66
"AJ Blake",2020,"Vitality Blast","Kent",9,171,127,134.645669291339,21.375,11,8,1,0,1,52
"AJ Blake",2021,"Vitality Blast","Kent",9,72,64,112.5,10.2857142857143,7,2,2,0,0,19
"AJ Blake",2022,"Vitality Blast","Kent",11,252,173,145.664739884393,25.2,14,15,1,0,1,50
"AJ Blake",2023,"Vitality Blast","Kent",2,54,23,234.782608695652,27,6,3,0,0,0,30
"AJ Finch",2014,"NatWest T20 Blast","Yorkshire",10,256,200,128,25.6,19,13,0,0,2,89
"AJ Finch",2015,"NatWest T20 Blast","Yorkshire",6,76,69,110.144927536232,12.6666666666667,10,0,0,0,0,33
"AJ Finch",2016,"NatWest T20 Blast","Surrey",6,259,179,144.692737430168,43.1666666666667,20,10,0,0,3,79
"AJ Finch",2017,"NatWest T20 Blast","Surrey",13,489,293,166.894197952218,40.75,49,25,1,1,2,114
"AJ Finch",2018,"Vitality Blast","Surrey",9,589,323,182.352941176471,147.25,60,31,5,2,3,131
"AJ Finch",2019,"Vitality Blast","Surrey",13,398,238,167.226890756303,36.1818181818182,33,23,2,1,1,102
"AJ Hickey",2017,"NatWest T20 Blast","Durham",3,25,25,100,8.33333333333333,4,0,0,0,0,15
"AJ Hodd",2015,"NatWest T20 Blast","Yorkshire",8,113,96,117.708333333333,16.1428571428571,11,5,1,0,1,70
"AJ Hodd",2016,"NatWest T20 Blast","Yorkshire",4,5,11,45.4545454545455,1.66666666666667,0,0,1,0,0,2
