"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"MJ Henry","Somerset",2023,"Vitality Blast",14,"52.2",0,411,31,13.258064516129,7.85350318471338,10.1290322580645,141,2,0,"4/24"
"PR Brown","Worcestershire",2018,"Vitality Blast",16,"54.1",1,414,31,13.3548387096774,7.64307692307692,10.4838709677419,143,1,0,"4/21"
"BGF Green","Somerset",2023,"Vitality Blast",17,"54.1",1,500,30,16.6666666666667,9.23076923076923,10.8333333333333,94,2,0,"4/20"
"Naveen-ul-Haq","Leicestershire",2021,"Vitality Blast",14,"52.4",0,457,26,17.5769230769231,8.67721518987342,12.1538461538462,119,0,0,"3/26"
"ZJ Chappell","Derbyshire",2023,"Vitality Blast",14,"50.1",0,469,26,18.0384615384615,9.34883720930233,11.5769230769231,112,1,0,"4/41"
"JP Faulkner","Lancashire",2015,"NatWest T20 Blast",13,"50.3",1,316,25,12.64,6.25742574257426,12.12,144,0,0,"3/19"
"SD Parry","Lancashire",2015,"NatWest T20 Blast",16,"57.0",0,392,25,15.68,6.87719298245614,13.68,115,1,0,"4/16"
"Zaman Khan","Derbyshire",2023,"Vitality Blast",14,"50.0",0,414,25,16.56,8.28,12,118,1,0,"4/21"
"MW Parkinson","Lancashire",2018,"Vitality Blast",15,"56.4",0,415,25,16.6,7.32352941176471,13.6,107,0,0,"3/19"
"RJ Gleeson","Lancashire",2022,"Vitality Blast",15,"56.0",1,457,25,18.28,8.16071428571429,13.44,137,1,1,"5/33"
"DR Sams","Essex",2023,"Vitality Blast",17,"62.3",2,525,25,21,8.4,15,153,1,0,"4/20"
"NA Sowter","Durham",2023,"Vitality Blast",14,"51.4",0,348,24,14.5,6.73548387096774,12.9166666666667,110,2,1,"5/15"
"BAC Howell","Gloucestershire",2016,"NatWest T20 Blast",14,"56.0",1,385,24,16.0416666666667,6.875,14,120,0,0,"3/18"
