"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ahmadhel",3,6,18,33.3333333333333,2,1,0,0,0,0,4
"A Amado",2,19,28,67.8571428571429,9.5,2,0,0,0,0,16
"A Andrews",2,4,6,66.6666666666667,4,1,0,1,0,0,4
"A Ashokan",22,572,498,114.859437751004,35.75,28,22,6,0,3,55
"A Bagai",4,165,154,107.142857142857,55,14,0,1,0,1,67
"A Balbirnie",100,2289,1842,124.267100977199,23.5979381443299,242,68,3,0,11,83
"A Bhadauria",2,40,31,129.032258064516,20,6,0,0,0,0,21
"A Bhagwat",3,2,9,22.2222222222222,0.666666666666667,0,0,0,0,0,1
"A Bhargava",2,7,6,116.666666666667,7,1,0,1,0,0,5
"A Bhattarai",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"A Bishnoi",9,11,21,52.3809523809524,2.75,0,0,5,0,0,4
"A Bohara",14,23,31,74.1935483870968,4.6,1,1,9,0,0,12
"A Bulow",1,11,13,84.6153846153846,11,0,1,0,0,0,11
"A Bushell",1,5,8,62.5,5,0,0,0,0,0,5
"A Chaudhary",3,42,41,102.439024390244,14,5,0,0,0,0,37
"A Conteh",6,35,55,63.6363636363636,5.83333333333333,3,0,0,0,0,9
"A Dananjaya",16,65,72,90.2777777777778,8.125,7,0,8,0,0,11
"A Daxini",3,11,22,50,3.66666666666667,1,0,0,0,0,5
"A Dhingra",6,8,8,100,4,1,0,4,0,0,5
"A Dizija",15,420,336,125,28,42,15,0,0,4,92
"A Djorovic",5,27,47,57.4468085106383,13.5,3,0,3,0,0,15
"A Dutt",4,3,9,33.3333333333333,1.5,0,0,2,0,0,2
"A Faletar",2,0,2,0,0,0,0,1,0,0,0
"A Ferguson",11,286,290,98.6206896551724,31.7777777777778,36,2,2,0,2,86
"A Flintoff",7,76,60,126.666666666667,12.6666666666667,7,2,1,0,0,31
"A Gasteratos",1,4,10,40,4,0,0,0,0,0,4
"A Gavde",1,1,6,16.6666666666667,1,0,0,0,0,0,1
"A Gbla",15,126,139,90.6474820143885,9.69230769230769,9,5,2,0,0,29
"A Gorawara",4,38,37,102.702702702703,9.5,2,2,0,0,0,20
"A Halbhavi",12,174,161,108.074534161491,14.5,24,3,0,0,0,48
"A Husain",4,11,13,84.6153846153846,11,2,0,3,0,0,6
"A Johnmary",2,8,14,57.1428571428571,4,0,0,0,0,0,8
"A Johnson",16,713,428,166.588785046729,50.9285714285714,66,48,2,2,5,121
"A Kadowaki Fleming",3,127,79,160.759493670886,63.5,10,2,1,0,1,65
"A Kainessie",6,38,64,59.375,6.33333333333333,2,0,0,0,0,10
"A Kalasi",3,13,12,108.333333333333,Inf,0,1,3,0,0,8
"A Kansonkho",2,2,5,40,1,0,0,0,0,0,2
"A Kapoor",1,9,4,225,Inf,1,0,1,0,0,9
"A Karn",1,4,7,57.1428571428571,4,0,0,0,0,0,4
"A Kaul",5,41,46,89.1304347826087,10.25,6,0,1,0,0,28
"A Khan",7,49,54,90.7407407407407,7,2,1,0,0,0,16
"A Kheterpal",16,288,234,123.076923076923,28.8,33,7,6,0,0,42
"A Kirschbaum",11,81,107,75.7009345794392,7.36363636363636,7,2,0,0,0,22
"A Krishna",8,34,33,103.030303030303,11.3333333333333,4,0,5,0,0,21
