"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Adekunle",3,3,12,25,3,0,0,2,0,0,1
"A Aikenhead",5,25,42,59.5238095238095,5,1,0,0,0,0,13
"A Aitken",1,7,18,38.8888888888889,Inf,0,0,1,0,0,7
"A Aitken-Drummond",14,140,163,85.8895705521472,11.6666666666667,13,2,2,0,0,43
"A Andriani",5,38,33,115.151515151515,12.6666666666667,6,0,2,0,0,34
"A Argyropoulou",3,28,54,51.8518518518519,9.33333333333333,1,0,0,0,0,12
"A Bester",8,61,89,68.5393258426966,7.625,6,0,0,0,0,17
"A Bierwisch",10,62,147,42.1768707482993,10.3333333333333,2,0,4,0,0,26
"A Bosch",28,628,584,107.534246575342,26.1666666666667,69,10,4,0,4,67
"A Bose",6,11,39,28.2051282051282,2.75,1,0,2,0,0,4
"A Brindle",21,256,262,97.7099236641221,19.6923076923077,12,1,8,0,0,42
"A Brown-Carrera",2,25,30,83.3333333333333,25,2,0,1,0,0,13
"A Canning",8,23,29,79.3103448275862,7.66666666666667,1,0,5,0,0,14
"A Capsey",28,543,442,122.850678733032,20.8846153846154,76,9,2,0,3,51
"A Chandel",19,216,372,58.0645161290323,13.5,12,0,3,0,0,28
"A Chilia",9,94,143,65.7342657342657,13.4285714285714,9,0,2,0,0,29
"A Cossa",5,25,37,67.5675675675676,5,1,0,0,0,0,23
"A Das",6,7,14,50,2.33333333333333,0,0,3,0,0,2
"A Dastgir",1,0,2,0,0,0,0,0,0,0,0
"A Dcosta",9,32,42,76.1904761904762,4.57142857142857,3,0,2,0,0,13
"A Dercksen",8,32,50,64,4,2,1,0,0,0,14
"A Dineshi",3,2,15,13.3333333333333,0.666666666666667,0,0,0,0,0,2
"A Doddaballapur",19,263,350,75.1428571428571,18.7857142857143,16,2,5,0,0,40
"A Emch",1,0,2,0,NA,0,0,1,0,0,0
"A Fujikawa",6,13,35,37.1428571428571,3.25,0,0,2,0,0,4
"A Galan",8,28,62,45.1612903225806,3.5,3,0,0,0,0,15
"A Gardner",70,1334,1030,129.514563106796,25.1698113207547,146,43,17,0,6,93
"A Gunasekar",3,8,40,20,4,1,0,1,0,0,5
"A Gurung",11,41,61,67.2131147540984,5.85714285714286,3,0,4,0,0,11
"A Hartley",1,2,2,100,Inf,0,0,1,0,0,2
"A Hunter",34,906,810,111.851851851852,32.3571428571429,90,12,6,1,3,101
"A Igbobie",9,47,115,40.8695652173913,7.83333333333333,2,0,3,0,0,13
"A Ikuzwe",15,167,230,72.6086956521739,13.9166666666667,8,0,3,0,0,38
"A Iopu",4,34,76,44.7368421052632,8.5,2,0,0,0,0,20
"A Kanada",4,34,48,70.8333333333333,11.3333333333333,2,0,1,0,0,29
"A Kano",20,167,242,69.0082644628099,9.27777777777778,8,0,2,0,1,54
"A Karmacharya",10,17,44,38.6363636363636,2.125,0,0,2,0,0,6
"A Khaka",12,30,52,57.6923076923077,10,2,0,9,0,0,8
"A King",4,27,30,90,13.5,4,0,2,0,0,18
"A Kitayama",6,24,40,60,4,1,0,0,0,0,13
"A Kohli",2,40,47,85.1063829787234,20,4,0,0,0,0,31
"A Kolan",13,167,241,69.2946058091286,15.1818181818182,10,0,2,0,1,54
"A Kone",1,0,3,0,0,0,0,0,0,0,0
"A Lister",27,416,309,134.62783171521,16.64,51,8,2,0,3,68
"A Makri",4,12,20,60,3,2,0,0,0,0,7
"A Mare",19,153,229,66.8122270742358,9.5625,11,0,3,0,0,36
"A Mazvishaya",5,18,28,64.2857142857143,Inf,0,0,5,0,0,11
"A Merritt",7,118,110,107.272727272727,23.6,14,0,2,0,0,45
"A Meyenborg",3,4,10,40,4,0,0,2,0,0,2
"A Mohamed",11,90,111,81.0810810810811,8.18181818181818,8,0,0,0,0,21
"A Mohammed",19,64,100,64,8,3,0,11,0,0,15
"A Mokgotlhe",19,191,210,90.9523809523809,11.9375,19,4,3,0,1,52
"A Motorwala",1,0,1,0,0,0,0,0,0,0,0
"A Munisar",1,2,2,100,Inf,0,0,1,0,0,2
"A Ndiraya",15,136,160,85,12.3636363636364,12,0,4,0,0,24
"A Nookala",5,5,48,10.4166666666667,1.66666666666667,0,0,2,0,0,5
"A Nyirenda",1,1,4,25,1,0,0,0,0,0,1
"A Obulor",10,45,80,56.25,6.42857142857143,4,0,3,0,0,12
"A Perera",10,82,122,67.2131147540984,8.2,5,0,0,0,0,28
"A Prince",4,12,36,33.3333333333333,4,0,0,1,0,0,8
"A Rameshan",3,68,102,66.6666666666667,22.6666666666667,11,0,0,0,0,29
"A Rautela",1,0,0,NA,NA,0,0,1,0,0,0
"A Reddy",12,71,82,86.5853658536585,7.1,8,0,2,0,0,22
"A Salomao",11,49,83,59.0361445783133,7,3,0,4,0,0,14
"A Samildeen",3,6,39,15.3846153846154,2,1,0,0,0,0,5
"A Sangare",1,0,6,0,0,0,0,0,0,0,0
"A Savvani",3,14,28,50,4.66666666666667,1,0,0,0,0,13
"A Scantlebury",2,16,34,47.0588235294118,8,1,0,0,0,0,8
"A Sharma",9,83,111,74.7747747747748,10.375,5,2,1,0,0,24
"A Shrubsole",18,103,96,107.291666666667,12.875,8,2,10,0,0,29
"A Sootaga",2,2,3,66.6666666666667,2,0,0,1,0,0,1
"A Stocks",8,83,120,69.1666666666667,10.375,5,1,0,0,0,48
"A Sutherland",12,111,80,138.75,12.3333333333333,17,1,3,0,0,22
"A Suwanchonrathi",2,4,8,50,2,0,0,0,0,0,4
"A Tagilala",3,28,47,59.5744680851064,9.33333333333333,2,0,0,0,0,27
"A Uwimbabazi",6,36,54,66.6666666666667,9,0,0,2,0,0,11
"A Vaidya",3,34,32,106.25,11.3333333333333,3,0,0,0,0,17
"A Wellington",2,9,10,90,9,1,0,1,0,0,8
"A le Breton",2,24,24,100,12,3,0,0,0,0,14
"A van Schoor",1,39,30,130,Inf,1,2,1,0,0,39
"A van der Merwe",24,373,450,82.8888888888889,16.9545454545455,38,3,2,0,1,57
"AA Alleyne",31,262,304,86.1842105263158,10.9166666666667,27,1,7,0,0,49
"AA Deshpande",1,5,15,33.3333333333333,5,0,0,0,0,0,5
"AA Moiane",8,35,62,56.4516129032258,5,3,0,1,0,0,27
"AA Patil",26,255,240,106.25,15,26,1,9,0,1,54
"AAIP Bastari",1,26,24,108.333333333333,Inf,3,0,1,0,0,26
"AAM Eliane",1,3,23,13.0434782608696,3,0,0,0,0,0,3
"AB Kaur",7,92,74,124.324324324324,23,15,0,3,0,0,41
"AB Slebsager",1,1,2,50,1,0,0,0,0,0,1
"AC Brodin",5,16,50,32,3.2,1,0,0,0,0,8
"AC Jayangani",97,2483,2171,114.37125748503,26.4148936170213,336,62,3,2,10,113
"AC Kerr",52,1023,918,111.437908496732,28.4166666666667,107,0,16,0,3,70
"AC Mushangwe",4,20,29,68.9655172413793,10,0,0,2,0,0,12
"AC Sabino",1,5,20,25,Inf,0,0,1,0,0,5
"AE Jones",83,1477,1198,123.288814691152,21.7205882352941,174,20,15,0,5,89
"AE Moe",1,0,4,0,0,0,0,0,0,0,0
"AE Satterthwaite",50,987,940,105,24.0731707317073,111,6,9,0,1,71
"AE Smith",1,44,47,93.6170212765958,44,3,1,0,0,0,44
"AEMP Durayalage",3,13,32,40.625,4.33333333333333,1,0,0,0,0,9
"AF Aoina",4,41,44,93.1818181818182,10.25,3,1,0,0,0,34
"AG Rao",1,1,4,25,1,0,0,0,0,0,1
"AH Maqsood",14,29,54,53.7037037037037,4.14285714285714,0,0,7,0,0,9
"AH Thomson",9,32,64,50,4.57142857142857,1,0,2,0,0,9
"AI Chudasama",3,25,31,80.6451612903226,8.33333333333333,3,0,0,0,0,20
"AISD Kainoco",4,8,15,53.3333333333333,2.66666666666667,1,0,1,0,0,6
"AIV Benatar",3,86,99,86.8686868686869,43,5,0,1,0,1,68
"AJ Blackwell",36,529,591,89.5093062605753,22.0416666666667,35,0,12,0,1,61
"AJ Healy",113,2578,1971,130.796549974632,26.8541666666667,351,52,17,1,15,148
"AJ Kenealy",7,18,23,78.2608695652174,3.6,2,0,2,0,0,9
"AK Gonerara",2,0,4,0,0,0,0,0,0,0,0
"AK Peters",3,7,16,43.75,7,0,0,2,0,0,4
"AL Hodgkinson",3,42,64,65.625,14,6,0,0,0,0,31
"AL Mangue",3,4,8,50,1.33333333333333,1,0,0,0,0,4
"AL Mundundo",5,20,75,26.6666666666667,5,1,0,1,0,0,10
"AL Seddon",10,139,144,96.5277777777778,17.375,15,0,2,0,0,47
"AL Tiwari",1,1,3,33.3333333333333,Inf,0,0,1,0,0,1
"AL Watkins",4,150,115,130.434782608696,50,19,2,1,0,1,89
"AM Healey",12,103,141,73.0496453900709,9.36363636363636,17,0,1,0,0,33
"AM Kamara",13,303,331,91.5407854984894,30.3,31,0,3,0,2,84
"AM Kupito",2,1,3,33.3333333333333,0.5,0,0,0,0,0,1
"AM Peterson",14,84,94,89.3617021276596,7,8,0,2,0,0,15
"AM Samaroo",1,6,6,100,6,1,0,0,0,0,6
"AM Zepeda",5,77,122,63.1147540983607,19.25,9,0,1,0,0,35
"AMN Andersen",2,4,17,23.5294117647059,2,0,0,0,0,0,4
"AN Davidson-Richards",5,46,57,80.7017543859649,11.5,2,0,1,0,0,24
"AN Kelly",17,124,140,88.5714285714286,8.26666666666667,11,0,2,0,0,35
"AP Venkata",1,2,9,22.2222222222222,2,0,0,0,0,0,2
"APC Kilowan",1,2,2,100,Inf,0,0,1,0,0,2
"AR Shetty",1,2,7,28.5714285714286,2,0,0,0,0,0,2
"AS Gorad",1,4,11,36.3636363636364,4,0,0,0,0,0,4
"AS Patil",2,1,3,33.3333333333333,1,0,0,1,0,0,1
"AS Qwele",8,35,49,71.4285714285714,5.83333333333333,3,0,2,0,0,9
"AS Taai",1,4,3,133.333333333333,4,0,0,0,0,0,4
"AS Warnakulasuriya",2,5,12,41.6666666666667,2.5,1,0,0,0,0,4
"AS Withanage",8,161,170,94.7058823529412,20.125,25,0,0,0,1,58
"AS van Beuge",5,15,29,51.7241379310345,7.5,0,0,3,0,0,5
"ASS Fletcher",34,174,209,83.2535885167464,7.56521739130435,16,0,11,0,0,19
"Abeer Maryam",5,8,26,30.7692307692308,1.6,2,0,0,0,0,8
"Abeera Waris",8,17,61,27.8688524590164,2.125,0,0,0,0,0,7
"Abhilasha Singh",1,1,10,10,1,0,0,0,0,0,1
"Ada Bhasin",14,108,189,57.1428571428571,9,8,1,2,0,0,24
"Adama Kamara",7,53,124,42.741935483871,8.83333333333333,3,0,1,0,0,20
"Adri van der Merwe",16,295,355,83.0985915492958,26.8181818181818,24,0,5,0,1,53
"Aima Aishath",3,1,27,3.7037037037037,0.5,0,0,1,0,0,1
"Aiman Anwer",13,38,58,65.5172413793103,4.75,2,0,5,0,0,9
"Aina Najwa",18,88,139,63.3093525179856,8,1,0,7,0,0,20
"Ainna Hamizah Hashim",44,286,490,58.3673469387755,10.2142857142857,23,0,16,0,0,37
"Aisha Rahman",2,0,2,0,0,0,0,1,0,0,0
"Aishath Meesa Rameez",3,3,14,21.4285714285714,1,0,0,0,0,0,3
"Aisya Eleesa",10,24,64,37.5,3.42857142857143,0,0,3,0,0,10
"Al Maseera Jahangir",1,0,1,0,0,0,0,0,0,0,0
"Aleena Khan",16,79,155,50.9677419354839,5.26666666666667,8,0,1,0,0,19
"Alifiya Sayed",2,0,4,0,0,0,0,1,0,0,0
"Aliya Riaz",71,982,1023,95.9921798631476,19.2549019607843,84,20,20,0,1,57
"Amarpal Kaur",6,95,121,78.5123966942149,23.75,3,0,2,0,0,30
"Aminata Kamara",10,150,174,86.2068965517241,16.6666666666667,16,0,1,0,0,47
"Amna Khan",5,20,42,47.6190476190476,5,3,0,1,0,0,8
"Amna Tariq",30,212,432,49.0740740740741,7.57142857142857,10,0,2,0,0,32
"Anam Amin",8,3,13,23.0769230769231,3,0,0,7,0,0,2
"Ananya Sarma",1,0,1,0,0,0,0,0,0,0,0
"Anjali Chand",1,0,2,0,0,0,0,0,0,0,0
"Anjuli Ghalley",2,4,13,30.7692307692308,4,0,0,1,0,0,4
"Anjum Chopra",1,15,24,62.5,15,1,0,0,0,0,15
"Apsari Begam",16,142,216,65.7407407407407,11.8333333333333,13,0,4,0,0,24
"Archara Supriya",1,0,1,0,NA,0,0,1,0,0,0
"Ashwini Govinda",3,0,10,0,0,0,0,1,0,0,0
"Asmavia Iqbal",33,294,309,95.1456310679612,10.1379310344828,16,12,4,0,0,35
"Ayasha Rahman",35,505,654,77.217125382263,15.3030303030303,47,11,2,0,0,46
"Ayesha Hasan",2,44,75,58.6666666666667,44,3,0,1,0,0,33
"Ayesha Naseem",27,369,288,128.125,18.45,20,18,7,0,0,45
"Ayesha Zafar",16,198,234,84.6153846153846,14.1428571428571,24,0,2,0,0,42
"Aysha",22,400,388,103.092783505155,20,47,1,2,1,0,113
"B Bezuidenhout",23,247,244,101.229508196721,11.7619047619048,30,2,2,0,0,44
"B Bhadriraju",3,6,10,60,2,1,0,0,0,0,4
"B Biza",1,4,3,133.333333333333,4,1,0,0,0,0,4
"B Bulganchimeg",1,0,1,0,0,0,0,0,0,0,0
"B Cooper",40,411,488,84.2213114754098,12.0882352941176,43,6,6,0,1,61
"B Coulibaly",1,0,1,0,NA,0,0,1,0,0,0
"B Etim",20,215,309,69.57928802589,12.6470588235294,22,1,3,0,0,44
"B Freeman",4,7,34,20.5882352941176,2.33333333333333,0,0,1,0,0,4
"B Gaanamong",5,26,49,53.0612244897959,8.66666666666667,1,0,2,0,0,19
"B Ichinkhorloo",6,16,98,16.3265306122449,2.66666666666667,0,0,0,0,0,8
"B Leephatthana",1,6,11,54.5454545454545,Inf,0,0,1,0,0,6
"B Lekau",3,5,53,9.43396226415094,1.66666666666667,0,0,0,0,0,3
"B Madimabe",11,36,128,28.125,3.6,2,0,1,0,0,10
"B Maes Loch",2,2,4,50,1,0,0,0,0,0,2
"B Manuel",4,5,11,45.4545454545455,1.66666666666667,0,0,1,0,0,2
"B Mpedi",9,78,99,78.7878787878788,11.1428571428571,10,0,2,0,0,20
"B Murekatete",8,45,54,83.3333333333333,11.25,3,0,4,0,0,13
"B Namuunzul",4,2,25,8,0.666666666666667,0,0,1,0,0,1
"B Narangerel",3,1,10,10,0.5,0,0,1,0,0,1
"B Ndipo",1,4,5,80,4,0,0,0,0,0,4
"B Nwobodo",2,45,74,60.8108108108108,45,1,0,1,0,0,33
"B Phelenyane",8,7,54,12.962962962963,0.875,0,0,0,0,0,2
"B Rawal",20,202,324,62.3456790123457,12.625,18,0,4,0,0,28
"B Shanti",19,101,197,51.2690355329949,6.73333333333333,6,0,4,0,0,17
"B Shetty",9,67,112,59.8214285714286,11.1666666666667,4,0,3,0,0,26
"B Tau",25,450,504,89.2857142857143,25,50,0,7,0,1,50
"B Taylan",4,56,78,71.7948717948718,14,6,0,0,0,0,36
"B Verdon",1,0,3,0,0,0,0,0,0,0,0
"B Waluma",5,13,31,41.9354838709677,3.25,0,0,1,0,0,8
"B Wani",3,1,21,4.76190476190476,0.333333333333333,0,0,0,0,0,1
"B de Leede",45,593,761,77.9237844940867,16.4722222222222,59,4,9,0,2,62
"BAM Heath",3,6,13,46.1538461538462,2,0,0,0,0,0,3
"BF Smith",7,57,63,90.4761904761905,9.5,6,0,1,0,0,16
"BG Armstrong",1,11,10,110,11,1,0,0,0,0,11
"BL Mooney",90,2785,2237,124.497094322754,41.5671641791045,370,16,23,2,23,117
"BL Morgan",2,66,57,115.789473684211,66,5,0,1,0,0,46
"BM Halliday",20,209,228,91.6666666666667,13.9333333333333,16,0,5,0,0,33
"BMA Mbida",6,31,63,49.2063492063492,5.16666666666667,2,0,0,0,0,12
"BMSM Kumari",22,72,122,59.0163934426229,5.53846153846154,5,0,9,0,0,10
