"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"TG Southee",126,"452.3",6,3725,159,23.4276729559748,8.23204419889503,17.0754716981132,1090,2,2,"5/18"
"Shakib Al Hasan",114,"417.1",3,2802,142,19.7323943661972,6.71673991210547,17.6267605633803,1001,6,2,"5/20"
"Rashid Khan",87,"328.2",1,2030,140,14.5,6.18274111675127,14.0714285714286,797,5,2,"5/3"
"IS Sodhi",111,"392.5",0,3142,136,23.1029411764706,7.99830292745015,17.3308823529412,763,3,0,"4/28"
"MR Adair",80,"284.4",2,2214,112,19.7678571428571,7.77751756440281,15.25,744,3,0,"4/13"
"Mustafizur Rahman",93,"334.4",6,2547,112,22.7410714285714,7.6105577689243,17.9285714285714,849,3,1,"5/22"
"MJ Santner",98,"345.2",2,2457,111,22.1351351351351,7.11486486486486,18.6666666666667,811,3,0,"4/11"
"SL Malinga",85,"302.0",1,2244,108,20.7777777777778,7.43046357615894,16.7777777777778,716,1,2,"5/6"
"Shadab Khan",92,"337.1",3,2409,107,22.5140186915888,7.14483440434998,18.9065420560748,763,3,0,"4/8"
"AU Rashid",100,"365.2",4,2698,107,25.214953271028,7.38503649635037,20.4859813084112,769,2,0,"4/2"
"PWH de Silva",64,"237.1",1,1628,104,15.6538461538462,6.86437104708363,13.6826923076923,543,3,0,"4/9"
"Shahid Afridi",98,"359.4",3,2424,99,24.4848484848485,6.73957367933272,21.7979797979798,816,3,0,"4/11"
"CJ Jordan",89,"306.4",2,2667,98,27.2142857142857,8.69673913043478,18.7755102040816,656,3,0,"4/6"
"Bilal Khan",68,"244.4",6,1654,97,17.0515463917526,6.76021798365123,15.1340206185567,715,3,0,"4/19"
"YS Chahal",79,"294.0",2,2409,96,25.09375,8.19387755102041,18.375,602,2,1,"6/25"
"A Zampa",79,"285.5",1,2082,92,22.6304347826087,7.28396501457726,18.6413043478261,593,1,1,"5/19"
"S Lamichhane",49,"183.5",4,1169,91,12.8461538461538,6.35902085222121,12.1208791208791,559,2,1,"5/9"
"Haris Rauf",64,"239.1",1,1963,90,21.8111111111111,8.20766550522648,15.9444444444444,540,3,0,"4/18"
"B Kumar",86,"298.3",10,2079,90,23.1,6.96482412060301,19.9,891,3,2,"5/4"
"Ehsan Khan",63,"233.0",4,1444,89,16.2247191011236,6.19742489270386,15.7078651685393,669,2,0,"4/24"
