"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"ML Schutt",101,"345.3",7,2220,126,17.6190476190476,6.42547033285094,16.452380952381,985,4,1,"5/15"
"S Ecclestone",81,"299.2",10,1742,118,14.7627118644068,5.8195991091314,15.2203389830508,906,1,0,"4/18"
"DB Sharma",102,"363.0",12,2188,114,19.1929824561403,6.02754820936639,19.1052631578947,971,1,0,"4/10"
"Nida Dar",112,"385.3",10,2288,107,21.3831775700935,5.93514915693904,21.6168224299065,997,1,1,"5/21"
"S Ismail",85,"297.2",17,1752,88,19.9090909090909,5.89237668161435,20.2727272727273,931,0,2,"5/12"
"HK Matthews",76,"247.4",4,1491,87,17.1379310344828,6.02018842530283,17.0804597701149,672,3,0,"4/10"
"Nahida Akter",73,"245.2",11,1448,85,17.0352941176471,5.90217391304348,17.3176470588235,693,0,2,"5/8"
"A Shrubsole",66,"224.4",10,1335,84,15.8928571428571,5.94213649851632,16.047619047619,739,2,1,"5/11"
"KH Brunt",81,"282.5",11,1640,84,19.5238095238095,5.79846788450206,20.202380952381,913,1,0,"4/15"
"EA Perry",93,"260.2",5,1537,82,18.7439024390244,5.90396927016645,19.0487804878049,828,3,0,"4/12"
"JL Jonassen",85,"281.1",6,1611,82,19.6463414634146,5.72969768820391,20.5731707317073,761,3,1,"5/12"
"N Boochatham",65,"221.0",10,959,81,11.8395061728395,4.3393665158371,16.3703703703704,795,3,0,"4/3"
"I Ranaweera",69,"231.4",3,1375,77,17.8571428571429,5.93525179856115,18.0519480519481,581,1,0,"4/7"
"SFM Devine",77,"209.5",3,1439,77,18.6883116883117,6.85782366957903,16.3506493506494,539,1,0,"4/22"
"RP Yadav",68,"236.3",5,1546,76,20.3421052631579,6.5369978858351,18.6710526315789,598,1,0,"4/23"
"Vaishnave Mahesh",57,"179.2",10,844,74,11.4054054054054,4.70631970260223,14.5405405405405,616,2,0,"4/10"
"S Glenn",57,"197.3",3,1173,73,16.0684931506849,5.93924050632911,16.2328767123288,507,2,0,"4/12"
"L Delany",76,"216.0",4,1309,72,18.1805555555556,6.06018518518519,18,535,1,0,"4/12"
"Poonam Yadav",57,"208.0",4,1210,71,17.0422535211268,5.81730769230769,17.5774647887324,500,2,0,"4/9"
"AC Kerr",68,"251.4",3,1502,70,21.4571428571429,5.9682119205298,21.5714285714286,615,0,0,"3/11"
"A Gardner",76,"217.2",3,1438,68,21.1470588235294,6.61656441717791,19.1764705882353,527,0,1,"5/12"
"NR Sciver",87,"230.0",3,1485,68,21.8382352941176,6.45652173913043,20.2941176470588,601,1,0,"4/15"
"M Kapp",73,"246.1",9,1411,67,21.0597014925373,5.73188896411645,22.044776119403,777,1,0,"4/6"
"Salma Khatun",66,"227.1",13,1159,64,18.109375,5.1019809244314,21.296875,717,1,0,"4/6"
"LMM Tahuhu",65,"200.0",5,1279,63,20.3015873015873,6.395,19.047619047619,636,2,0,"4/6"
"ASS Fletcher",70,"224.5",0,1332,63,21.1428571428571,5.92438843587843,21.4126984126984,561,1,1,"5/13"
"C Aweko",45,"172.5",5,754,61,12.3606557377049,4.3625843780135,17,587,2,0,"4/6"
"LM Kasperek",40,"144.2",0,971,61,15.9180327868852,6.72748267898383,14.1967213114754,333,0,0,"3/13"
"Rumana Ahmed",57,"175.3",9,986,61,16.1639344262295,5.61823361823362,17.2622950819672,443,0,0,"3/2"
"KY Chan",43,"134.3",8,628,60,10.4666666666667,4.66914498141264,13.45,476,2,3,"5/4"
"KA Green",49,"180.2",17,707,57,12.4035087719298,3.92051756007394,18.9824561403509,695,0,0,"3/6"
"G Wareham",51,"143.4",1,881,55,16.0181818181818,6.1322505800464,15.6727272727273,378,0,0,"3/12"
"AN Kelly",38,"122.0",2,708,53,13.3584905660377,5.80327868852459,13.811320754717,329,1,1,"5/12"
"KDU Prabodhani",68,"222.3",6,1257,53,23.7169811320755,5.64943820224719,25.188679245283,683,0,0,"3/13"
"T Putthawong",39,"143.1",8,637,52,12.25,4.44935972060536,16.5192307692308,495,1,1,"5/8"
"C Sutthiruang",62,"175.5",9,821,52,15.7884615384615,4.66919431279621,20.2884615384615,665,1,0,"4/13"
"ER Oza",53,"152.1",6,725,51,14.2156862745098,4.7645125958379,17.9019607843137,491,0,0,"3/0"
"O Kamchomphu",54,"164.3",3,802,51,15.7254901960784,4.87537993920973,19.3529411764706,488,0,0,"3/6"
"AH Maqsood",48,"149.1",3,813,51,15.9411764705882,5.45027932960894,17.5490196078431,420,0,0,"3/8"
"SR Taylor",49,"157.2",2,939,51,18.4117647058824,5.96822033898305,18.5098039215686,382,2,0,"4/12"
"D van Niekerk",58,"176.3",1,964,51,18.9019607843137,5.46175637393768,20.7647058823529,449,1,0,"4/17"
"RS Gayakwad",48,"163.5",6,1010,51,19.8039215686275,6.1648016276704,19.2745098039216,469,0,0,"3/9"
"Nashra Sandhu",52,"192.5",6,1076,51,21.0980392156863,5.57994814174589,22.6862745098039,523,1,0,"4/18"
"OU Ranasinghe",53,"161.1",2,1122,50,22.44,6.9617373319545,19.34,361,0,0,"3/18"
"A Mohammed",56,"193.0",5,1130,50,22.6,5.85492227979275,23.16,481,0,1,"5/24"
"EAJ Richardson",51,"163.2",6,986,49,20.1224489795918,6.03673469387755,20,435,0,0,"3/8"
"Anam Amin",50,"184.2",5,1080,48,22.5,5.85895117540687,23.0416666666667,531,1,0,"4/16"
"J Mbabazi",39,"138.0",4,628,47,13.3617021276596,4.55072463768116,17.6170212765957,452,2,0,"4/12"
"SS Connell",61,"188.3",3,1290,47,27.4468085106383,6.84350132625995,24.063829787234,560,0,0,"3/14"
"Sana Mir",67,"243.0",4,1478,47,31.4468085106383,6.08230452674897,31.0212765957447,614,2,0,"4/13"
"KE Bryce",44,"142.1",9,625,46,13.5869565217391,4.39624853458382,18.5434782608696,508,2,0,"4/8"
"IJR Zwilling",44,"152.5",11,783,46,17.0217391304348,5.12322791712105,19.9347826086957,526,0,0,"3/11"
"HASD Siriwardene",50,"173.5",0,1044,46,22.695652173913,6.00575263662512,22.6739130434783,414,3,0,"4/9"
"D Hazell",51,"188.1",5,1046,46,22.7391304347826,5.55890168290523,24.5434782608696,505,1,0,"4/12"
"SR Magar",40,"124.5",11,537,45,11.9333333333333,4.30173564753004,16.6444444444444,410,0,1,"5/16"
"Chan Ka Man",43,"146.1",10,648,45,14.4,4.43329532497149,19.4888888888889,497,1,0,"4/13"
"P Vastrakar",57,"163.3",8,1026,45,22.8,6.27522935779816,21.8,493,1,0,"4/17"
"Khushi Sharma",45,"121.3",7,633,44,14.3863636363636,5.20987654320988,16.5681818181818,389,2,1,"5/22"
"DM Kimmince",40,"135.0",0,907,44,20.6136363636364,6.71851851851852,18.4090909090909,297,0,0,"3/20"
