"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ahmadhel","2020/21","Balkan Cup","Bulgaria",1,2,7,28.5714285714286,2,0,0,0,0,0,2
"A Ahmadhel","2021","Continental Cup","Bulgaria",2,4,11,36.3636363636364,2,1,0,0,0,0,4
"A Amado","2022","ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C","Israel",2,19,28,67.8571428571429,9.5,2,0,0,0,0,16
"A Andrews","2021/22","Valletta Cup","Switzerland",1,0,0,NA,NA,0,0,1,0,0,0
"A Andrews","2022","ICC Men's T20 World Cup Sub Regional Europe Qualifier","Switzerland",1,4,6,66.6666666666667,4,1,0,0,0,0,4
"A Ashokan","2020","Luxembourg Twenty20 Tri-Series","Czech Republic",1,23,30,76.6666666666667,23,2,0,0,0,0,23
"A Ashokan","2021","Central Europe Cup","Czech Republic",4,84,73,115.068493150685,42,4,1,2,0,1,55
"A Ashokan","2021","Continental Cup","Czech Republic",2,61,57,107.017543859649,30.5,4,4,0,0,1,51
"A Ashokan","2022","Central Europe Cup","Czech Republic",4,94,69,136.231884057971,47,4,5,2,0,0,45
"A Ashokan","2022","ICC Men's T20 World Cup Sub Regional Europe Qualifier","Czech Republic",4,93,87,106.896551724138,31,4,4,1,0,0,31
"A Ashokan","2022","Valletta Cup","Czech Republic",5,181,138,131.159420289855,45.25,8,8,1,0,1,50
"A Ashokan","2023","Hungary tour of Czech Republic","Czech Republic",2,36,44,81.8181818181818,18,2,0,0,0,0,30
"A Bagai","2009/10","ICC World Twenty20 Qualifier","Canada",2,50,53,94.3396226415094,25,2,0,0,0,0,36
"A Bagai","2013/14","ICC World Twenty20 Qualifier","Canada",2,115,101,113.861386138614,115,12,0,1,0,1,67
"A Balbirnie","2015","ICC World Twenty20 Qualifier","Ireland",3,46,52,88.4615384615385,15.3333333333333,6,0,0,0,0,31
"A Balbirnie","2015","Scotland in Ireland T20I Series","Ireland",1,31,26,119.230769230769,31,3,0,0,0,0,31
"A Balbirnie","2015/16","Ireland in United Arab Emirates T20I Series","Ireland",1,2,6,33.3333333333333,2,0,0,0,0,0,2
"A Balbirnie","2015/16","Papua New Guinea v Ireland T20I Series","Ireland",2,5,10,50,2.5,0,0,0,0,0,5
"A Balbirnie","2018","Afghanistan tour of Ireland","Ireland",2,8,10,80,4,1,0,0,0,0,8
"A Balbirnie","2018","India tour of Ireland and England","Ireland",2,20,21,95.2380952380952,10,2,0,0,0,0,11
"A Balbirnie","2018","Netherlands Tri-Nation T20I Series","Ireland",2,77,50,154,38.5,11,1,0,0,1,74
"A Balbirnie","2018/19","Ireland tour of India","Ireland",3,54,41,131.707317073171,18,8,0,0,0,0,47
"A Balbirnie","2018/19","Oman Quadrangular T20I Series","Ireland",3,123,82,150,41,16,2,0,0,1,83
"A Balbirnie","2019","Ireland Tri-Nation T20I Series","Ireland",2,109,58,187.931034482759,54.5,10,6,0,0,1,64
"A Balbirnie","2019","Zimbabwe tour of Netherlands and Ireland","Ireland",1,28,17,164.705882352941,Inf,4,0,1,0,0,28
"A Balbirnie","2019/20","ICC Men's T20 World Cup Qualifier","Ireland",6,168,141,119.148936170213,33.6,17,0,1,0,1,70
"A Balbirnie","2019/20","Ireland tour of India","Ireland",3,84,69,121.739130434783,28,10,1,0,0,0,46
"A Balbirnie","2019/20","Ireland tour of West Indies","Ireland",3,71,66,107.575757575758,23.6666666666667,7,0,0,0,0,36
"A Balbirnie","2019/20","Oman Pentangular T20I Series","Ireland",4,99,69,143.478260869565,24.75,12,3,0,0,0,38
"A Balbirnie","2021","South Africa tour of Ireland","Ireland",3,55,45,122.222222222222,18.3333333333333,9,0,0,0,0,27
"A Balbirnie","2021","Zimbabwe tour of Ireland and Scotland","Ireland",5,82,69,118.840579710145,16.4,7,2,0,0,0,36
"A Balbirnie","2021/22","ICC Men's T20 World Cup","Ireland",3,70,73,95.8904109589041,23.3333333333333,6,2,0,0,0,41
"A Balbirnie","2021/22","ICC Men's T20 World Cup Qualifier A","Ireland",4,81,58,139.655172413793,20.25,9,4,0,0,0,33
"A Balbirnie","2021/22","ICC Men’s T20 World Cup Qualifier A","Ireland",1,19,20,95,19,1,1,0,0,0,19
"A Balbirnie","2021/22","Ireland tour of United Arab Emirates","Ireland",3,27,36,75,9,1,0,0,0,0,15
"A Balbirnie","2021/22","Ireland tour of United States of America and West Indies","Ireland",2,14,10,140,7,3,0,0,0,0,10
"A Balbirnie","2021/22","Oman Quadrangular T20I Series","Ireland",3,136,89,152.808988764045,68,12,6,1,0,1,75
"A Balbirnie","2022","Afghanistan tour of Ireland","Ireland",5,122,93,131.182795698925,24.4,13,4,0,0,1,51
"A Balbirnie","2022","India tour of Ireland","Ireland",2,60,39,153.846153846154,30,3,7,0,0,1,60
"A Balbirnie","2022","New Zealand tour of Ireland","Ireland",3,32,34,94.1176470588235,10.6666666666667,5,0,0,0,0,12
"A Balbirnie","2022","South Africa tour of England","Ireland",2,14,21,66.6666666666667,7,3,0,0,0,0,14
"A Balbirnie","2022/23","ICC Men's T20 World Cup","Ireland",7,153,123,124.390243902439,21.8571428571429,10,9,0,0,1,62
"A Balbirnie","2022/23","Ireland tour of Zimbabwe","Ireland",3,47,49,95.9183673469388,15.6666666666667,5,1,0,0,0,33
"A Balbirnie","2023","ICC Men's T20 World Cup Europe Region Qualifier","Ireland",4,108,89,121.348314606742,27,11,5,0,0,1,53
"A Balbirnie","2023","India tour of Ireland","Ireland",2,76,53,143.396226415094,38,6,4,0,0,1,72
"A Balbirnie","2023/24","Afghanistan vs Ireland","Ireland",3,76,64,118.75,25.3333333333333,7,3,0,0,0,45
"A Balbirnie","2023/24","Ireland tour of Zimbabwe","Ireland",3,53,50,106,17.6666666666667,7,2,0,0,0,32
"A Balbirnie","2024","Netherlands Tri-Nation T20I Series","Ireland",1,11,14,78.5714285714286,11,2,0,0,0,0,11
"A Balbirnie","2024","Pakistan tour of Ireland","Ireland",3,128,95,134.736842105263,42.6666666666667,15,5,0,0,1,77
"A Bhadauria","2022","Central Europe Cup","Luxembourg",2,40,31,129.032258064516,20,6,0,0,0,0,21
"A Bhagwat","2019/20","ICC Men's T20 World Cup Qualifier","Hong Kong",1,1,5,20,1,0,0,0,0,0,1
"A Bhagwat","2019/20","Oman Pentangular T20I Series","Hong Kong",2,1,4,25,0.5,0,0,0,0,0,1
"A Bhargava","2022","Men's T20 Asia Cup Qualifier","Singapore",2,7,6,116.666666666667,7,1,0,1,0,0,5
"A Bhattarai","2014/15","Hong Kong v Nepal T20I Series","Nepal",1,2,3,66.6666666666667,2,0,0,0,0,0,2
