"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Adekunle","2023/24","ICC Women's T20 World Cup Africa Region Qualifier","Nigeria",1,1,7,14.2857142857143,1,0,0,0,0,0,1
"A Adekunle","2023/24","Women's African Games","Nigeria",2,2,5,40,Inf,0,0,2,0,0,1
"A Aikenhead","2023","ICC Women's T20 World Cup Europe Division 2 Qualifier","Jersey",3,13,16,81.25,4.33333333333333,1,0,0,0,0,13
"A Aikenhead","2023","Jersey Women tour of Netherlands","Jersey",2,12,26,46.1538461538462,6,0,0,0,0,0,12
"A Aitken","2018","ICC Women's T20 Qualifier","Scotland",1,7,18,38.8888888888889,Inf,0,0,1,0,0,7
"A Aitken-Drummond","2021","ICC Women's T20 World Cup Europe Region Qualifier","Scotland",2,11,18,61.1111111111111,11,0,0,1,0,0,7
"A Aitken-Drummond","2021","Scotland Women tour of Ireland","Scotland",4,21,30,70,5.25,1,1,0,0,0,9
"A Aitken-Drummond","2021/22","Bangladesh Women tour of Malaysia","Scotland",1,5,6,83.3333333333333,5,1,0,0,0,0,5
"A Aitken-Drummond","2021/22","Commonwealth Games Women's Cricket Competition Qualifiers","Scotland",1,2,7,28.5714285714286,2,0,0,0,0,0,2
"A Aitken-Drummond","2021/22","Scotland Women tour of Malaysia","Scotland",2,64,52,123.076923076923,64,6,1,1,0,0,43
"A Aitken-Drummond","2022","ICC Women's T20 World Cup Qualifier","Scotland",2,25,23,108.695652173913,12.5,3,0,0,0,0,23
"A Aitken-Drummond","2022","Ireland Women tour of Scotland","Scotland",2,12,27,44.4444444444444,6,2,0,0,0,0,12
"A Andriani","2023","ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","Indonesia",2,36,22,163.636363636364,Inf,6,0,2,0,0,34
"A Andriani","2023/24","Asian Cricket Council Women's Premier Cup","Indonesia",3,2,11,18.1818181818182,0.666666666666667,0,0,0,0,0,1
"A Argyropoulou","2023","Women's Continental Cup","Greece",3,28,54,51.8518518518519,9.33333333333333,1,0,0,0,0,12
"A Bester","2023","ICC Women's T20 World Cup Europe Division 2 Qualifier","France",3,29,33,87.8787878787879,9.66666666666667,4,0,0,0,0,17
"A Bester","2023","ICC Women's T20 World Cup Europe Region Qualifier","France",5,32,56,57.1428571428571,6.4,2,0,0,0,0,11
