"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"AR Ramjani","Uganda","2023","East Africa Cup",11,"42.4",2,191,25,7.64,4.4765625,10.24,151,1,0,"4/9"
"DM Nakrani","Uganda","2021/22","ICC Men's T20 World Cup Sub Regional Africa Qualifier",5,"19.0",1,54,20,2.7,2.84210526315789,5.7,82,0,2,"6/7"
"K Waiswa","Uganda","2023","East Africa Cup",12,"34.0",0,255,20,12.75,7.5,10.2,91,1,0,"4/29"
"H Ssenyondo","Uganda","2023","Africa Continental Cup",9,"32.4",2,149,18,8.27777777777778,4.56122448979592,10.8888888888889,104,3,0,"4/4"
"Vraj Patel","Kenya","2023","Africa Continental Cup",8,"30.1",1,179,18,9.94444444444444,5.93370165745856,10.0555555555556,89,1,0,"4/29"
"Bilal Khan","Oman","2019/20","ICC Men's T20 World Cup Qualifier",9,"33.5",2,225,18,12.5,6.65024630541872,11.2777777777778,104,2,0,"4/19"
"IO Okpe","Nigeria","2023/24","West Africa Trophy",10,"25.0",1,104,17,6.11764705882353,4.16,8.82352941176471,88,0,0,"3/8"
"YM Nkanya","Tanzania","2022/23","ICC Men's T20 World Cup Sub Regional Africa Qualifier",7,"23.3",3,73,16,4.5625,3.1063829787234,8.8125,96,1,1,"5/2"
"E Sebareme","Rwanda","2023/24","West Africa Trophy",10,"33.3",1,107,16,6.6875,3.19402985074627,12.5625,122,1,0,"4/6"
"YM Nkanya","Tanzania","2022/23","Tri-Nation T20 Cup (Rwanda)",8,"29.0",0,133,16,8.3125,4.58620689655172,10.875,98,1,0,"4/10"
"PWH de Silva","Sri Lanka","2021/22","ICC Men's T20 World Cup",8,"30.0",0,156,16,9.75,5.2,11.25,80,0,0,"3/9"
"BD Glover","Netherlands","2019/20","ICC Men's T20 World Cup Qualifier",8,"29.0",0,171,16,10.6875,5.89655172413793,10.875,90,1,0,"4/12"
"SO Ngoche","Kenya","2023","Africa Continental Cup",9,"34.4",0,212,16,13.25,6.11538461538462,13,107,1,0,"4/14"
