"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Amarpal Kaur","Canada","2023","ICC Women's T20 World Cup Americas Region Qualifier",6,"19.4",2,63,15,4.2,3.20338983050847,7.86666666666667,79,2,0,"4/1"
"IM Vaghela","United States of America","2023","ICC Women's T20 World Cup Americas Region Qualifier",6,"23.0",1,65,15,4.33333333333333,2.82608695652174,9.2,99,2,0,"4/7"
"Vaishnave Mahesh","United Arab Emirates","2023","ICC Women's T20 World Cup Asia Region Qualifier",6,"22.4",0,86,15,5.73333333333333,3.79411764705882,9.06666666666667,88,1,0,"4/10"
"Q Abel","Kenya","2023","ICC Women's T20 World Cup Africa Region Division Two Qualifier",4,"16.0",4,37,13,2.84615384615385,2.3125,7.38461538461539,76,1,1,"5/5"
"N Boochatham","Thailand","2023","ICC Women's T20 World Cup Asia Region Qualifier",5,"18.0",2,41,13,3.15384615384615,2.27777777777778,8.30769230769231,85,1,0,"4/9"
"S Tippoch","Thailand","2018/19","ICC Women's T20 World Cup Asia Region Qualifier",6,"21.0",5,41,13,3.15384615384615,1.95238095238095,9.69230769230769,93,2,0,"4/4"
"H Hotchandani","United Arab Emirates","2023/24","Asian Cricket Council Women's Premier Cup",6,"20.0",3,47,13,3.61538461538462,2.35,9.23076923076923,86,1,0,"4/8"
"P Marange","Zimbabwe","2023/24","ICC Women's T20 World Cup Africa Region Qualifier",5,"17.4",3,51,13,3.92307692307692,2.88679245283019,8.15384615384615,80,0,1,"5/7"
"S Wetoto","Kenya","2021","Kwibuka Women's Twenty20 Tournament",4,"13.4",2,53,13,4.07692307692308,3.87804878048781,6.30769230769231,50,0,2,"6/16"
"Nary Thapa","Nepal","2018/19","ICC Women's T20 World Cup Asia Region Qualifier",6,"22.3",1,77,13,5.92307692307692,3.42222222222222,10.3846153846154,87,1,1,"6/8"
"DB Sharma","India","2022/23","Women's Asia Cup",8,"30.0",1,100,13,7.69230769230769,3.33333333333333,13.8461538461538,119,0,0,"3/7"
