"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"R Rohmalia",2024-04-24,"Mongolia","Indonesia",2,"3.2",3,0,7,0,20,"Mongolia Women tour of Indonesia","2024",1429013,"Udayana Cricket Ground","Bali","Indonesia","Mongolia","Indonesia","bat","R Rohmalia","Indonesia",NA,"127"
"F Overdijk",2021-08-26,"France","Netherlands",1,"4.0",2,3,7,0.75,24,"ICC Women's T20 World Cup Europe Region Qualifier","2021",1274597,"La Manga Club Top Ground","Murcia","France","Netherlands","France","bat","F Overdijk","Netherlands","9",NA
"Anjali Chand",2019-12-02,"Maldives","Nepal",1,"2.1",2,0,6,0,13,"South Asian Games Women's Cricket Competition","2019/20",1208804,"Pokhara Rangasala","Pokhara","Nepal","Maldives","Maldives","bat","Anjali Chand","Nepal","10",NA
"G Matome",2023-09-03,"Lesotho","Botswana",2,"3.0",2,1,6,0.333333333333333,17,"ICC Women's T20 World Cup Africa Region Division Two Qualifier","2023",1394922,"Botswana Cricket Association Oval 2, Gaborone","Gaborone","Botswana","Lesotho","Botswana","bat","S Mosweu","Botswana",NA,"173"
"S Mosweu",2021-09-10,"Mozambique","Botswana",2,"4.0",1,3,6,0.75,21,"ICC Women's T20 World Cup Africa Region Qualifier","2021",1275110,"Botswana Cricket Association Oval 1, Gaborone","Gaborone","Botswana","Mozambique","Mozambique","field",NA,"Botswana",NA,"110"
"A Savvani",2023-08-05,"Romania","Greece",2,"2.5",0,5,6,1.76470588235294,15,"Women's Continental Cup","2023",1387947,"Moara Vlasiei Cricket Ground, Ilfov County","Ilfov County","Greece","Romania","Romania","field","A Savvani","Greece",NA,"82"
"L Udeh",2024-06-04,"Rwanda","Nigeria",2,"4.0",0,7,6,1.75,21,"Kwibuka Women's Twenty20 Tournament","2024",1435634,"Gahanga International Cricket Stadium, Rwanda","Kigali City","Nigeria","Rwanda","Nigeria","bat","L Udeh","Nigeria",NA,"32"
"B Mpedi",2018-08-20,"Lesotho","Botswana",2,"2.3",1,8,6,3.2,15,"Botswana Cricket Association Women's T20I Series","2018",1158344,"Botswana Cricket Association Oval 1","Gaborone","Botswana","Lesotho","Lesotho","field","B Mpedi","Botswana",NA,"124"
"Nary Thapa",2019-02-24,"Hong Kong","Nepal",1,"4.0",0,8,6,2,19,"ICC Women's T20 World Cup Asia Region Qualifier","2018/19",1172924,"Asian Institute of Technology Ground","Bangkok","Hong Kong","Nepal","Hong Kong","bat","Nary Thapa","Nepal","4",NA
"E Mbofana",2021-09-11,"Eswatini","Zimbabwe",1,"4.0",0,11,6,2.75,21,"ICC Women's T20 World Cup Africa Region Qualifier","2021",1275112,"Botswana Cricket Association Oval 1, Gaborone","Gaborone","Eswatini","Zimbabwe","Eswatini","bat","E Mbofana","Zimbabwe","10",NA
"PE Kulume",2022-04-23,"Namibia","Uganda",1,"4.0",0,11,6,2.75,19,"Capricorn Women's Tri-Series","2022",1310892,"Centre for Cricket Development Ground, Windhoek","Windhoek","Namibia","Uganda","Uganda","field","PE Kulume","Namibia",NA,"28"
"S Wetoto",2021-06-12,"Namibia","Kenya",1,"3.5",0,16,6,4.17391304347826,13,"Kwibuka Women's Twenty20 Tournament","2021",1265226,"Gahanga International Cricket Stadium. Rwanda","Kigali City","Namibia","Kenya","Namibia","bat","S Wetoto","Kenya","7",NA
"A Doddaballapur",2020-08-14,"Austria","Germany",2,"3.0",2,1,5,0.333333333333333,17,"Germany Women tour of Austria","2020",1229207,"Seebarn Cricket Centre","Lower Austria","Germany","Austria","Germany","bat","CM Gough","Germany",NA,"137"
"M Hill",2023-11-19,"Tanzania","Hong Kong",1,"1.4",0,2,5,1.2,8,"Women's T20 Quadrangular Series (in Hong Kong)","2023/24",1407871,"Hong Kong Cricket Club","Wong Nai Chung Gap","Tanzania","Hong Kong","Hong Kong","field","M Hill","Hong Kong","5",NA
"CR Seneviratna",2019-02-19,"Kuwait","United Arab Emirates",2,"4.0",2,3,5,0.75,23,"ICC Women's T20 World Cup Asia Region Qualifier","2018/19",1172915,"Asian Institute of Technology Ground","Bangkok","Kuwait","United Arab Emirates","United Arab Emirates","bat","CR Seneviratna","United Arab Emirates",NA,"86"
"M McColl",2021-08-30,"France","Scotland",1,"4.0",1,3,5,0.75,21,"ICC Women's T20 World Cup Europe Region Qualifier","2021",1274606,"La Manga Club Bottom Ground","Murcia","France","Scotland","Scotland","field","M McColl","Scotland","7",NA
"MD Bimenyimana",2024-05-31,"Malawi","Rwanda",1,"4.0",2,3,5,0.75,22,"Kwibuka Women's Twenty20 Tournament","2024",1435625,"Gahanga B Ground, Rwanda","Kigali City","Malawi","Rwanda","Malawi","bat","MD Bimenyimana","Rwanda","9",NA
"CM Greechan",2023-06-02,"Sweden","Jersey",2,"4.0",3,4,5,1,23,"ICC Women's T20 World Cup Europe Division 2 Qualifier","2023",1378019,"FB Fields, St Clement","St Clement","Jersey","Sweden","Sweden","field","CM Greechan","Jersey",NA,"108"
"KY Chan",2023-09-03,"Kuwait","Hong Kong",1,"3.0",1,4,5,1.33333333333333,14,"ICC Women's T20 World Cup Asia Region Qualifier","2023",1394764,"Bayuemas Oval, Kuala Lumpur","Kuala Lumpur","Kuwait","Hong Kong","Hong Kong","field","KY Chan","Hong Kong","8",NA
"DJS Dottin",2018-11-09,"Bangladesh","West Indies",2,"3.4",1,5,5,1.36363636363636,18,"ICC Women's T20 World Cup","2018/19",1150535,"Providence Stadium","Guyana","West Indies","Bangladesh","Bangladesh","field","DJS Dottin","West Indies",NA,"60"
"Q Abel",2023-09-06,"Cameroon","Kenya",2,"4.0",2,5,5,1.25,23,"ICC Women's T20 World Cup Africa Region Division Two Qualifier","2023",1394930,"Botswana Cricket Association Oval 1, Gaborone","Gaborone","Kenya","Cameroon","Kenya","bat","Q Abel","Kenya",NA,"118"
"Maria Jasvi",2022-03-20,"Saudi Arabia","Kuwait",1,"3.0",1,6,5,2,15,"GCC Women's Twenty20 Championship Cup","2021/22",1306385,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)","Al Amarat","Saudi Arabia","Kuwait","Kuwait","field","Maria Jasvi","Kuwait","10",NA
"Sangita Rai",2023-11-18,"Japan","Nepal",2,"4.0",0,6,5,1.5,18,"Women's T20 Quadrangular Series (in Hong Kong)","2023/24",1407864,"Hong Kong Cricket Club","Wong Nai Chung Gap","Nepal","Japan","Japan","field","Sangita Rai","Nepal",NA,"67"
"K Arua",2019-05-09,"Japan","Papua New Guinea",1,"4.0",1,7,5,1.75,17,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","2019",1182914,"Ground 1, Independence Park","Port Vila","Japan","Papua New Guinea","Japan","bat","K Arua","Papua New Guinea","10",NA
"K Chigora",2024-09-07,"United Arab Emirates","Zimbabwe",1,"4.0",1,7,5,1.75,19,"Namibia Women's T20I Tri-Series","2024",1449020,"Wanderers Cricket Ground, Windhoek","Windhoek","United Arab Emirates","Zimbabwe","Zimbabwe","field","K Chigora","Zimbabwe","3",NA
"KY Chan",2019-09-19,"China","Hong Kong",2,"3.3",1,7,5,2,17,"Women's Twenty20 East Asia Cup","2019",1197247,"Yeonhui Cricket Ground","Incheon","China","Hong Kong","Hong Kong","bat","KY Chan","Hong Kong",NA,"5"
"P Marange",2023-12-17,"Uganda","Zimbabwe",1,"4.0",1,7,5,1.75,20,"ICC Women's T20 World Cup Africa Region Qualifier","2023/24",1411276,"Entebbe Cricket Oval","Entebbe","Uganda","Zimbabwe","Zimbabwe","field","P Marange","Zimbabwe","6",NA
"Nahida Akter",2023-10-25,"Pakistan","Bangladesh",1,"3.4",1,8,5,2.18181818181818,14,"Pakistan Women tour of Bangladesh","2023/24",1405121,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Pakistan","Bangladesh","Bangladesh","field","Nahida Akter","Bangladesh","5",NA
"S Luus",2016-03-23,"Ireland","South Africa",2,"4.0",0,8,5,2,16,"Women's World T20","2015/16",951397,"MA Chidambaram Stadium, Chepauk","Chennai","Ireland","South Africa","South Africa","bat","S Luus","South Africa",NA,"67"
"T Putthawong",2023-07-14,"Netherlands","Thailand",1,"3.5",0,8,5,2.08695652173913,18,"Thailand Women tour of Netherlands","2023",1384549,"Sportpark Maarschalkerweerd, Utrecht","Utrecht","Netherlands","Thailand","Thailand","field","T Putthawong","Thailand","8",NA
"TM Faimalo",2023-09-01,"Fiji","Samoa",1,"3.0",0,8,5,2.66666666666667,15,"ICC Women's T20 World Cup East Asia-Pacific Region Qualifier","2023",1394795,"Vanuatu Cricket Ground (Oval 2)","Port Vila","Fiji","Samoa","Samoa","field","TM Faimalo","Fiji",NA,"18"
"EC Bargna",2020-08-13,"Austria","Germany",2,"4.0",0,9,5,2.25,21,"Germany Women tour of Austria","2020",1229205,"Seebarn Cricket Centre","Lower Austria","Germany","Austria","Germany","bat","JE Ronalds","Germany",NA,"138"
