"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","match_number","outcome","method","eliminator"
355988,6,"India","New Zealand","female","2009",2009-06-18,"ICC Women's World Twenty20","Trent Bridge","Nottingham","New Zealand","bat","AL Watkins","Asad Rauf","MR Benson","NJ Llong","IJ Gould","BC Broad","New Zealand",52,NA,NA,NA,NA,NA
355989,6,"England","Australia","female","2009",2009-06-19,"ICC Women's World Twenty20","Kennington Oval","London","England","field","SC Taylor","BR Doctrove","AL Hill","M Erasmus","EAR de Silva","AG Hurst","England",NA,8,NA,NA,NA,NA
391794,6,"England","Australia","female","2009",2009-06-25,NA,"County Ground","Derby","Australia","bat","S Nitschke","SA Garratt","P Willey",NA,"JW Holder","DT Jukes","Australia",34,NA,NA,NA,NA,NA
423391,6,"South Africa","West Indies","female","2009/10",2009-10-28,"West Indies Women in South Africa T20I Series","Boland Bank Park","Paarl","South Africa","field","DJS Dottin","AT Holdstock","CD Isaacs","IH van Kerwel",NA,"CJ Mitchley","West Indies",2,NA,"3",NA,NA,NA
412716,6,"Australia","India","female","2010",2010-05-13,"ICC Women's World Twenty20","Beausejour Stadium, Gros Islet","St Lucia","India","bat","AJ Blackwell","M Erasmus","AL Hill","RJ Tucker","Asad Rauf","AJ Pycroft","Australia",NA,7,NA,NA,NA,NA
412717,6,"West Indies","New Zealand","female","2010",2010-05-14,"ICC Women's World Twenty20","Beausejour Stadium, Gros Islet","St Lucia","West Indies","field","SJ McGlashan","EAR de Silva","RJ Tucker","M Erasmus","SK Tarapore","AJ Pycroft","New Zealand",56,NA,NA,NA,NA,NA
412718,6,"Australia","New Zealand","female","2010",2010-05-16,"ICC Women's World Twenty20","Kensington Oval, Bridgetown","Barbados","Australia","bat","EA Perry","EAR de Silva","M Erasmus","RJ Tucker","Asad Rauf","AJ Pycroft","Australia",3,NA,NA,NA,NA,NA
476947,6,"New Zealand","Australia","female","2010/11",2010-12-30,"Rose Bowl","Saxton Oval","Nelson","New Zealand","bat","SJ Coyte","WR Knights","DG Paterson",NA,"DJ Walker","BL Aldridge","Australia",NA,4,"2",NA,NA,NA
492547,6,"England","India","female","2011",2011-06-26,"NatWest Women's T20 Quadrangular Series","County Ground","Taunton","England","bat","SC Taylor","PK Baldwin","TE Jesty",NA,"SJ O'Shaughnessy","DT Jukes","England",46,NA,NA,NA,NA,NA
527683,6,"South Africa","England","female","2011/12",2011-10-29,"England Women in South Africa T20I Series","Senwes Park","Potchefstroom","South Africa","bat",NA,"R Ellis","CD Isaacs","LB Gcuma",NA,"D Govindjee",NA,NA,NA,"2","no result",NA,NA
527688,6,"New Zealand","England","female","2011/12",2012-02-17,"England Women in New Zealand T20I Series","Westpac Stadium","Wellington","England","field","A Shrubsole","CB Gaffaney","PD Jones",NA,"EA Watkin",NA,"England",NA,6,"1",NA,NA,NA
527689,6,"New Zealand","England","female","2011/12",2012-02-19,"England Women in New Zealand T20I Series","Seddon Park","Hamilton","New Zealand","field","LA Marsh","BG Frost","PD Jones",NA,"EA Watkin",NA,"England",48,NA,"2",NA,NA,NA
527690,6,"New Zealand","England","female","2011/12",2012-02-22,"England Women in New Zealand T20I Series","Eden Park","Auckland","New Zealand","field","JL Gunn","BG Frost","DJ Walker",NA,"WR Knights",NA,"England",10,NA,"3",NA,"D/L",NA
542850,6,"England","India","female","2012",2012-06-26,"India Women in England T20I Series","St Lawrence Ground","Canterbury","India","field","SJ Taylor","TE Jesty","G Sharp",NA,"MJD Bodenham","DT Jukes","England",33,NA,"1",NA,NA,NA
542851,6,"England","India","female","2012",2012-06-28,"India Women in England T20I Series","County Ground","Chelmsford","India","bat","SJ Taylor","NGC Cowley","MJ Saggers",NA,"MA Gough","DT Jukes","England",NA,8,"2",NA,NA,NA
565844,6,"England","Pakistan","female","2012",2012-09-04,"Pakistan Women in England T20I Series","Haslegrave Ground","Loughborough","Pakistan","bat","A Shrubsole","MA Gough","PJ Hartley",NA,NA,"DT Jukes","England",NA,7,"1",NA,NA,NA
565845,6,"England","Pakistan","female","2012",2012-09-05,"Pakistan Women in England T20I Series","Haslegrave Ground","Loughborough","England","bat","DN Wyatt","MA Gough","PJ Hartley",NA,NA,"DT Jukes","England",81,NA,"2",NA,NA,NA
551593,6,"England","West Indies","female","2012",2012-09-08,"West Indies Women in England T20I Series","Riverside Ground","Chester-le-Street","West Indies","bat","LA Marsh","MA Gough","PJ Hartley",NA,"RK Illingworth","DT Jukes","England",NA,8,"1",NA,NA,NA
551594,6,"England","West Indies","female","2012",2012-09-10,"West Indies Women in England T20I Series","Old Trafford","Manchester","West Indies","field","SJ Taylor","MA Gough","RT Robinson",NA,"RJ Bailey","DT Jukes","England",28,NA,"2",NA,NA,NA
551595,6,"England","West Indies","female","2012",2012-09-13,"West Indies Women in England T20I Series","County Ground","Northampton","England","bat","A Brindle","PK Baldwin","PJ Hartley",NA,NA,"DT Jukes","England",10,NA,"3",NA,NA,NA
551596,6,"England","West Indies","female","2012",2012-09-15,"West Indies Women in England T20I Series","County Ground","Hove","England","bat","LS Greenway","GD Lloyd","P Willey",NA,NA,"DT Jukes","England",84,NA,"4",NA,NA,NA
551597,6,"England","West Indies","female","2012",2012-09-16,"West Indies Women in England T20I Series","Arundel Castle Cricket Club Ground",NA,"West Indies","field","DJS Dottin","GD Lloyd","P Willey",NA,NA,"DT Jukes","West Indies",NA,3,"5",NA,NA,NA
533299,6,"Sri Lanka","South Africa","female","2012/13",2012-09-26,"ICC Women's World Twenty20","Galle International Stadium",NA,"South Africa","field","T Chetty","BF Bowden","AL Hill","NJ Llong",NA,"GF Labrooy","South Africa",NA,6,"1",NA,NA,NA
533300,6,"New Zealand","West Indies","female","2012/13",2012-09-26,"ICC Women's World Twenty20","Galle International Stadium",NA,"West Indies","field","DJS Dottin","NJ Llong","BNJ Oxenford","M Erasmus",NA,"GF Labrooy","West Indies",NA,7,"2",NA,NA,NA
533301,6,"England","Pakistan","female","2012/13",2012-09-27,"ICC Women's World Twenty20","Galle International Stadium",NA,"Pakistan","field","LA Marsh","AL Hill","BNJ Oxenford","BF Bowden",NA,"GF Labrooy","England",43,NA,"3",NA,NA,NA
533302,6,"Australia","India","female","2012/13",2012-09-27,"ICC Women's World Twenty20","Galle International Stadium",NA,"India","bat","EA Osborne","BF Bowden","M Erasmus","AL Hill",NA,"GF Labrooy","Australia",NA,8,"4",NA,NA,NA
533303,6,"New Zealand","South Africa","female","2012/13",2012-09-28,"ICC Women's World Twenty20","Galle International Stadium",NA,"South Africa","field","SFM Devine","NJ Llong","BNJ Oxenford","M Erasmus",NA,"GF Labrooy","New Zealand",22,NA,"5",NA,NA,NA
533304,6,"Sri Lanka","West Indies","female","2012/13",2012-09-28,"ICC Women's World Twenty20","Galle International Stadium",NA,"West Indies","field","CR Seneviratna","BF Bowden","AL Hill","BNJ Oxenford",NA,"GF Labrooy","Sri Lanka",5,NA,"6",NA,"D/L",NA
533305,6,"Australia","Pakistan","female","2012/13",2012-09-29,"ICC Women's World Twenty20","Galle International Stadium",NA,"Australia","bat","JE Cameron","BF Bowden","NJ Llong","AL Hill",NA,"GF Labrooy","Australia",25,NA,"7",NA,"D/L",NA
