"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Campbell",8,97,134,72.3880597014925,13.8571428571429,8,0,1,0,0,28
"A Capsey",21,380,290,131.034482758621,21.1111111111111,52,7,3,0,2,59
"A Cranstone",1,18,21,85.7142857142857,18,2,0,0,0,0,18
"A Griffiths",5,23,29,79.3103448275862,5.75,1,0,1,0,0,8
"A Hartley",2,3,5,60,Inf,0,0,2,0,0,2
"A King",10,46,40,115,7.66666666666667,1,3,4,0,0,19
"A Shrubsole",7,55,48,114.583333333333,18.3333333333333,5,2,4,0,0,40
"A Stonehouse",1,16,7,228.571428571429,Inf,3,0,1,0,0,16
"A Sutherland",6,88,73,120.547945205479,17.6,5,3,1,0,0,34
"A Wellington",11,99,80,123.75,14.1428571428571,12,1,4,0,0,33
"AC Kerr",12,252,203,124.137931034483,28,30,0,3,0,1,60
"AD Carr",3,19,22,86.3636363636364,19,2,0,2,0,0,11
"AE Jones",21,462,339,136.283185840708,27.1764705882353,61,3,4,0,0,48
"AE Satterthwaite",3,24,34,70.5882352941177,8,3,0,0,0,0,13
"AH Maqsood",5,5,9,55.5555555555556,5,0,0,4,0,0,2
"AJ Freeborn",15,152,145,104.827586206897,15.2,18,0,5,0,0,45
"AJ Healy",6,129,85,151.764705882353,21.5,22,3,0,0,0,46
"AJ Macleod",5,33,33,100,11,2,0,2,0,0,19
"AN Davidson-Richards",18,192,185,103.783783783784,19.2,14,2,8,0,0,42
"AZ Monaghan",5,11,15,73.3333333333333,2.2,1,0,0,0,0,4
"BA Langston",1,0,1,0,NA,0,0,1,0,0,0
"BAM Heath",20,191,140,136.428571428571,10.6111111111111,26,5,2,0,1,57
"BF Smith",22,481,366,131.420765027322,21.8636363636364,64,14,0,0,3,70
"BL Mooney",6,205,132,155.30303030303,51.25,32,1,2,0,2,97
"C Nicholas",4,5,10,50,2.5,0,0,2,0,0,3
"C Pavely",3,9,13,69.2307692307692,9,0,0,2,0,0,4
"CE Dean",12,99,91,108.791208791209,11,13,0,3,0,0,18
"CE Rudd",3,12,11,109.090909090909,Inf,0,0,3,0,0,7
"CL Griffith",13,98,75,130.666666666667,12.25,8,3,5,0,0,30
"CL Tryon",14,112,111,100.900900900901,11.2,9,1,4,0,0,23
"D Gregory",1,1,1,100,Inf,0,0,1,0,0,1
"D Mullan",1,9,10,90,9,1,0,0,0,0,9
"D van Niekerk",12,324,295,109.830508474576,40.5,41,3,4,0,2,67
"DB Sharma",6,77,68,113.235294117647,19.25,6,0,2,0,0,34
"DJS Dottin",18,405,308,131.493506493506,27,46,16,3,0,3,68
"DN Wyatt",26,680,500,136,28.3333333333333,97,12,2,0,6,69
"DR Gibson",20,300,197,152.284263959391,20,45,6,5,0,0,36
"E Gray",4,21,19,110.526315789474,7,1,1,1,0,0,16
"E Jones",21,415,393,105.59796437659,20.75,52,4,1,0,2,64
