"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Lyth",16,368,233,157.93991416309,23,29,23,0,0,3,79
"A Zampa",3,26,24,108.333333333333,26,3,0,2,0,0,14
"AAP Atkinson",2,3,4,75,Inf,0,0,2,0,0,3
"AD Hales",25,532,376,141.489361702128,22.1666666666667,62,18,1,0,2,59
"AD Russell",6,148,88,168.181818181818,37,9,12,2,0,1,64
"AF Milne",7,32,30,106.666666666667,16,2,1,5,0,0,13
"AJ Blake",3,54,39,138.461538461538,27,2,4,1,0,0,44
"AJ Hose",14,316,205,154.146341463415,26.3333333333333,33,12,2,0,2,59
"AJ Turner",12,153,96,159.375,21.8571428571429,10,6,5,0,0,26
"AL Davies",16,357,282,126.595744680851,27.4615384615385,32,6,3,0,2,51
"AM Rossington",20,460,273,168.498168498168,23,43,25,0,0,3,66
"AU Rashid",7,38,40,95,6.33333333333333,4,1,1,0,0,13
"BA Carse",9,83,67,123.880597014925,16.6,7,2,4,0,0,33
"BA Raine",5,35,28,125,17.5,5,0,3,0,0,18
"BA Stokes",2,10,14,71.4285714285714,5,1,0,0,0,0,5
"BAC Howell",18,183,138,132.608695652174,16.6363636363636,12,6,7,0,0,23
"BC Cullen",4,18,15,120,9,1,1,2,0,0,15
"BGF Green",3,51,42,121.428571428571,17,1,3,0,0,0,25
"BJ Dwarshuis",1,0,2,0,0,0,0,0,0,0,0
"BL D'Oliveira",2,10,22,45.4545454545455,5,0,0,0,0,0,8
"BM Duckett",23,622,454,137.004405286344,29.6190476190476,73,9,2,0,3,65
"BR McDermott",5,157,118,133.050847457627,31.4,12,6,0,0,1,59
"C Munro",22,592,382,154.973821989529,37,50,28,6,0,2,67
"C Overton",3,11,13,84.6153846153846,11,0,0,2,0,0,6
"C de Grandhomme",6,56,46,121.739130434783,14,3,2,2,0,0,40
"CA Ingram",7,120,92,130.434782608696,20,9,5,1,0,1,81
"CA Lynn",7,150,127,118.110236220472,21.4285714285714,14,5,0,0,0,48
"CB Cooke",3,20,21,95.2380952380952,6.66666666666667,1,0,0,0,0,11
"CF Parkinson",4,4,7,57.1428571428571,4,0,0,3,0,0,2
"CG Benjamin",18,208,171,121.637426900585,17.3333333333333,18,8,6,0,0,37
"CG Harrison",4,38,34,111.764705882353,9.5,5,0,0,0,0,23
"CJ Jordan",11,183,104,175.961538461538,36.6,11,13,6,0,1,70
"CN Ackermann",9,123,109,112.844036697248,20.5,10,3,3,0,1,53
"CN Miles",1,1,2,50,Inf,0,0,1,0,0,1
"CP Wood",3,6,5,120,3,1,0,1,0,0,5
"CR Brathwaite",6,94,67,140.298507462687,23.5,4,7,2,0,0,37
"CR Woakes",3,20,20,100,10,0,1,1,0,0,16
"D Moriarty",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"D Pretorius",4,71,40,177.5,23.6666666666667,6,5,1,0,0,29
"D Wiese",16,233,141,165.248226950355,17.9230769230769,10,18,3,0,2,54
"DA Douthwaite",1,4,10,40,4,0,0,0,0,0,4
"DA Miller",7,73,80,91.25,12.1666666666667,2,2,1,0,0,35
"DA Payne",5,10,11,90.9090909090909,2.5,0,1,1,0,0,8
"DG Bedingham",1,0,2,0,0,0,0,0,0,0,0
"DJ Bell-Drummond",8,152,118,128.813559322034,19,14,4,0,0,0,46
