"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"A Wellington",23,"89.0",2,494,35,14.1142857142857,5.55056179775281,12.7142857142857,174,2,0,"4/12"
"LK Bell",24,"91.4",2,547,32,17.09375,5.95860566448802,14.34375,205,1,0,"4/10"
"KL Gordon",22,"79.0",1,475,27,17.5925925925926,6.0126582278481,14.6296296296296,146,0,0,"3/14"
"KL Cross",23,"88.1",3,547,27,20.2592592592593,6.20181405895692,16.3333333333333,193,0,0,"3/19"
"M Kapp",16,"59.3",4,292,26,11.2307692307692,4.8993288590604,11.4615384615385,158,2,0,"4/9"
"GL Adams",17,"65.0",0,360,25,14.4,5.53846153846154,13,104,1,0,"4/11"
"A Shrubsole",26,"91.4",1,514,25,20.56,5.59912854030501,18.36,208,1,0,"4/13"
"KA Levick",20,"74.0",0,406,24,16.9166666666667,5.48648648648649,15.4166666666667,144,0,0,"2/10"
"AN Davidson-Richards",23,"73.3",0,545,24,22.7083333333333,7.40489130434783,15.3333333333333,115,0,0,"3/20"
"EL Arlott",21,"62.4",3,368,22,16.7272727272727,5.85987261146497,14.2727272727273,138,0,0,"3/15"
"S Glenn",20,"70.0",0,430,21,20.4761904761905,6.14285714285714,16.6666666666667,118,0,0,"3/15"
"S Ecclestone",18,"68.4",1,372,20,18.6,5.40697674418605,17.2,155,1,0,"4/11"
"LCN Smith",20,"74.1",0,415,20,20.75,5.59299191374663,18.55,147,0,0,"3/14"
"AC Kerr",12,"42.0",0,263,19,13.8421052631579,6.26190476190476,11.0526315789474,83,1,0,"4/13"
"A Capsey",18,"54.0",1,284,19,14.9473684210526,5.25925925925926,14.2105263157895,104,0,0,"3/15"
"S Ismail",20,"79.0",2,428,19,22.5263157894737,5.41772151898734,20.7894736842105,201,0,0,"3/12"
"NE Farrant",9,"35.4",0,185,18,10.2777777777778,5.16759776536313,9.94444444444444,82,1,0,"4/10"
"BF Smith",22,"75.4",0,536,18,29.7777777777778,7.0712401055409,21.0555555555556,125,0,0,"3/21"
"FR Davies",20,"70.0",1,461,17,27.1176470588235,6.58571428571429,20.5882352941176,144,0,0,"3/25"
"SJ Johnson",7,"26.4",0,154,15,10.2666666666667,5.74626865671642,8.93333333333333,52,1,0,"4/15"
"A Hartley",17,"63.0",0,400,15,26.6666666666667,6.34920634920635,21,102,0,0,"3/29"
"LF Higham",14,"36.2",1,235,14,16.7857142857143,6.45604395604396,13,62,0,0,"3/29"
"HK Matthews",13,"44.4",1,321,14,22.9285714285714,7.16517857142857,16,64,0,0,"3/23"
"MK Villiers",17,"55.0",0,357,14,25.5,6.49090909090909,19.6428571428571,96,1,0,"4/12"
"GA Elwiss",18,"57.1",0,381,14,27.2142857142857,6.66083916083916,20.4285714285714,93,0,0,"2/4"
"R MacDonald-Gay",11,"29.0",0,216,13,16.6153846153846,7.44827586206897,11.1538461538462,52,1,0,"4/16"
"E Gray",17,"39.3",0,232,13,17.8461538461538,5.85858585858586,15.2307692307692,74,0,0,"2/10"
"Sophia Smale",14,"46.0",0,254,13,19.5384615384615,5.52173913043478,17.6923076923077,89,0,0,"2/12"
"FMK Morris",15,"44.1",0,246,12,20.5,5.56561085972851,18.4166666666667,76,0,1,"5/7"
"A King",14,"53.0",3,281,12,23.4166666666667,5.30188679245283,22.0833333333333,117,1,0,"4/15"
"DR Gibson",18,"46.3",1,322,12,26.8333333333333,6.90987124463519,19.4166666666667,93,0,0,"2/10"
"G Wareham",10,"39.0",0,218,11,19.8181818181818,5.58974358974359,17.7272727272727,79,0,0,"3/7"
"CE Dean",20,"67.0",1,406,11,36.9090909090909,6.05970149253731,30.4545454545455,127,0,0,"2/20"
