"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"AU Rashid",23,"88.2",1,558,31,18,6.31221719457014,14.258064516129,154,1,0,"4/18"
"BAC Howell",23,"84.0",0,512,27,18.962962962963,6.09523809523809,15.5555555555556,131,0,0,"3/18"
"TW Hartley",24,"71.0",1,486,26,18.6923076923077,6.84507042253521,13.6538461538462,122,1,0,"4/22"
"SP Narine",18,"69.0",0,397,24,16.5416666666667,5.7536231884058,14.375,132,0,0,"3/11"
"TS Mills",19,"73.2",0,450,24,18.75,6.13079019073569,15.2916666666667,143,1,0,"4/13"
"AF Milne",14,"47.0",2,265,22,12.0454545454545,5.63829787234043,10.6818181818182,122,1,0,"4/20"
"RJW Topley",19,"65.4",1,495,22,22.5,7.52279635258359,14.9545454545455,130,0,0,"3/24"
"TK Curran",20,"76.2",1,552,22,25.0909090909091,7.22513089005236,17.3636363636364,131,0,0,"3/29"
"J Little",11,"38.2",2,270,21,12.8571428571429,7.03125,9.14285714285714,87,0,1,"5/13"
"PI Walter",17,"49.0",1,334,21,15.9047619047619,6.81632653061224,11.6666666666667,75,0,0,"3/20"
"SR Patel",20,"58.4",0,401,21,19.0952380952381,6.81972789115646,14,102,0,0,"3/20"
"TG Helm",17,"51.3",0,427,21,20.3333333333333,8.27519379844961,12.2857142857143,95,1,0,"4/17"
"CJ Jordan",18,"65.1",0,487,21,23.1904761904762,7.46932515337423,15.5238095238095,103,0,0,"3/18"
"MW Parkinson",16,"53.2",0,350,20,17.5,6.55430711610487,13.35,90,1,0,"4/9"
"SJ Cook",16,"55.1",0,412,20,20.6,7.46376811594203,13.8,102,1,0,"4/18"
"KW Richardson",13,"41.4",1,300,19,15.7894736842105,7.17703349282297,11,85,1,0,"4/32"
"DJ Willey",21,"60.4",2,434,19,22.8421052631579,7.13815789473684,16,125,0,0,"2/9"
"DR Sams",16,"58.1",0,482,19,25.3684210526316,8.28178694158076,15.3157894736842,88,0,0,"3/17"
"GHS Garton",21,"64.0",3,495,19,26.0526315789474,7.734375,16.8421052631579,133,0,0,"3/7"
"L Wood",21,"68.3",1,497,19,26.1578947368421,7.24489795918367,18.0526315789474,142,0,0,"3/17"
"MS Crane",16,"53.3",0,397,18,22.0555555555556,7.40671641791045,14.8888888888889,87,1,0,"4/24"
"DA Payne",22,"76.1",1,615,18,34.1666666666667,8.07086614173228,21.1666666666667,137,0,0,"3/38"
"JA Thompson",15,"50.1",0,397,17,23.3529411764706,7.90836653386454,14.7647058823529,79,1,0,"4/21"
"LA Dawson",21,"63.4",0,428,17,25.1764705882353,6.70846394984326,18.7647058823529,101,0,0,"3/15"
"JB Lintott",17,"62.0",0,434,17,25.5294117647059,7,18.2352941176471,93,0,0,"3/14"
"SM Curran",18,"68.0",0,520,16,32.5,7.64705882352941,21.25,119,0,0,"3/16"
"Rashid Khan",11,"42.0",1,295,15,19.6666666666667,7.02380952380952,14,82,0,0,"3/16"
"NA Sowter",13,"40.0",0,297,13,22.8461538461538,7.425,15.3846153846154,56,0,0,"3/34"
"RE van der Merwe",17,"49.0",0,415,13,31.9230769230769,8.46938775510204,18.8461538461538,58,0,0,"2/16"
"NT Ellis",15,"56.1",0,422,13,32.4615384615385,7.50889679715302,21.6153846153846,92,0,0,"3/28"
