"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Campbell","A Capsey",4,5,0,1,0,0,4,80,Inf
"A Campbell","A King",2,3,0,1,0,0,3.33333333333333,66.6666666666667,Inf
"A Campbell","A Shrubsole",2,3,0,1,0,0,3.33333333333333,66.6666666666667,Inf
"A Campbell","A Wellington",0,2,0,2,0,0,0,0,NA
"A Campbell","BF Smith",2,4,0,2,0,0,2.5,50,Inf
"A Campbell","C Pavely",3,5,0,3,0,0,3,60,Inf
"A Campbell","E Gray",5,11,0,6,0,0,2.27272727272727,45.4545454545455,Inf
"A Campbell","EA Burns",6,6,0,3,1,0,5,100,Inf
"A Campbell","EL Arlott",0,2,0,2,0,0,0,0,NA
"A Campbell","FG Kemp",5,2,0,0,1,0,12.5,250,Inf
"A Campbell","GL Adams",2,4,0,2,0,0,2.5,50,Inf
"A Campbell","H Graham",3,7,1,5,0,0,2.14285714285714,42.8571428571429,3
"A Campbell","HL Baker",1,3,0,2,0,0,1.66666666666667,33.3333333333333,Inf
"A Campbell","IECM Wong",3,1,0,0,0,0,15,300,Inf
"A Campbell","KA Levick",2,5,1,3,0,0,2,40,2
"A Campbell","KL Gordon",0,3,0,3,0,0,0,0,NA
"A Campbell","LF Higham",3,6,1,3,0,0,2.5,50,3
"A Campbell","LK Bell",0,2,1,2,0,0,0,0,0
"A Campbell","M Kapp",3,6,0,3,0,0,2.5,50,Inf
"A Campbell","MK Villiers",1,3,0,2,0,0,1.66666666666667,33.3333333333333,Inf
"A Campbell","PJ Scholfield",6,6,0,2,0,0,5,100,Inf
"A Campbell","R MacDonald-Gay",4,4,1,3,1,0,5,100,4
"A Campbell","S Glenn",9,11,1,5,1,0,4.09090909090909,81.8181818181818,9
"A Campbell","S Ismail",11,7,0,1,1,0,7.85714285714286,157.142857142857,Inf
"A Campbell","S Molineux",0,2,1,2,0,0,0,0,0
"A Campbell","SFM Devine",10,6,0,2,2,0,8.33333333333333,166.666666666667,Inf
"A Campbell","Sophia Smale",6,7,0,4,1,0,4.28571428571429,85.7142857142857,Inf
"A Campbell","T Flintoff",4,8,0,4,0,0,2.5,50,Inf
"A Capsey","A Hartley",4,2,0,1,1,0,10,200,Inf
"A Capsey","A King",11,10,0,5,2,0,5.5,110,Inf
"A Capsey","A Shrubsole",3,4,0,2,0,0,3.75,75,Inf
"A Capsey","A Stonehouse",5,3,0,1,1,0,8.33333333333333,166.666666666667,Inf
"A Capsey","A Wellington",21,14,0,3,3,0,7.5,150,Inf
"A Capsey","AC Kerr",1,3,1,2,0,0,1.66666666666667,33.3333333333333,1
"A Capsey","AH Maqsood",12,7,0,1,2,0,8.57142857142857,171.428571428571,Inf
"A Capsey","AN Davidson-Richards",12,12,1,7,2,0,5,100,12
