"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Lyth","AD Russell",10,5,1,2,0,1,10,200,10
"A Lyth","AJ Turner",2,2,0,0,0,0,5,100,Inf
"A Lyth","BAC Howell",7,3,0,1,0,1,11.6666666666667,233.333333333333,Inf
"A Lyth","BC Cullen",0,1,1,1,0,0,0,0,0
"A Lyth","D Pretorius",18,8,0,2,2,1,11.25,225,Inf
"A Lyth","DA Payne",19,15,0,6,3,0,6.33333333333333,126.666666666667,Inf
"A Lyth","DJ Willey",1,5,0,4,0,0,1,20,Inf
"A Lyth","DJ Worrall",14,6,0,2,0,2,11.6666666666667,233.333333333333,Inf
"A Lyth","DR Briggs",3,2,0,0,0,0,7.5,150,Inf
"A Lyth","FJ Klaassen",10,5,0,1,2,0,10,200,Inf
"A Lyth","GHS Garton",0,1,1,1,0,0,0,0,0
"A Lyth","GJ Maxwell",0,2,1,2,0,0,0,0,0
"A Lyth","HJH Brookes",15,4,0,0,0,2,18.75,375,Inf
"A Lyth","IS Sodhi",2,10,1,8,0,0,1,20,2
"A Lyth","Imran Tahir",0,2,0,2,0,0,0,0,NA
"A Lyth","J Overton",0,2,1,2,0,0,0,0,0
"A Lyth","JA Thompson",11,6,0,2,2,0,9.16666666666667,183.333333333333,Inf
"A Lyth","JB Lintott",4,4,0,0,0,0,5,100,Inf
"A Lyth","JC Tongue",1,2,0,1,0,0,2.5,50,Inf
"A Lyth","JE Root",1,1,0,0,0,0,5,100,Inf
"A Lyth","JJ Cobb",1,1,0,0,0,0,5,100,Inf
"A Lyth","JK Fuller",3,3,0,1,0,0,5,100,Inf
"A Lyth","JL Denly",1,1,0,0,0,0,5,100,Inf
"A Lyth","JT Ball",26,9,0,2,3,2,14.4444444444444,288.888888888889,Inf
"A Lyth","KW Richardson",18,5,0,1,1,2,18,360,Inf
"A Lyth","L Wood",2,3,1,1,0,0,3.33333333333333,66.6666666666667,2
"A Lyth","LA Dawson",1,2,1,1,0,0,2.5,50,1
"A Lyth","LS Livingstone",9,4,0,1,2,0,11.25,225,Inf
"A Lyth","M Carter",5,6,0,4,1,0,4.16666666666667,83.3333333333333,Inf
"A Lyth","ME Milnes",15,6,1,1,0,2,12.5,250,15
"A Lyth","MG Hogan",9,4,0,1,0,1,11.25,225,Inf
"A Lyth","MJ Henry",1,3,1,2,0,0,1.66666666666667,33.3333333333333,1
"A Lyth","MJJ Critchley",6,5,1,2,1,0,6,120,6
"A Lyth","MM Ali",1,4,1,3,0,0,1.25,25,1
"A Lyth","MT Stanley",16,6,0,2,2,1,13.3333333333333,266.666666666667,Inf
"A Lyth","MW Parkinson",8,10,0,4,0,0,4,80,Inf
"A Lyth","Mohammad Amir",2,2,0,0,0,0,5,100,Inf
"A Lyth","Mohammad Nabi",1,2,0,1,0,0,2.5,50,Inf
"A Lyth","PI Walter",4,4,1,1,0,0,5,100,4
"A Lyth","PR Stirling",2,5,0,3,0,0,2,40,Inf
"A Lyth","RJW Topley",32,10,0,1,1,4,16,320,Inf
"A Lyth","Rashid Khan",0,1,1,1,0,0,0,0,0
"A Lyth","Rehan Ahmed",2,2,0,0,0,0,5,100,Inf
"A Lyth","S Baker",0,2,1,2,0,0,0,0,0
"A Lyth","S Mahmood",0,2,0,2,0,0,0,0,NA
