"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"TT Beaumont",2023-08-14,"Welsh Fire","Trent Rockets",1,118,61,20,2,193.44262295082,FALSE,"The Hundred Women's Competition",2023,1355591,"Sophia Gardens, Cardiff","Cardiff","Welsh Fire","Trent Rockets","Welsh Fire","bat","TT Beaumont","Welsh Fire",NA,"41"
"BL Mooney",2024-08-11,"Manchester Originals","Northern Superchargers",1,99,54,14,3,183.333333333333,TRUE,"The Hundred Women's Competition",2024,1417850,"Old Trafford, Manchester","Manchester","Manchester Originals","Northern Superchargers","Manchester Originals","bat","BL Mooney","Manchester Originals",NA,"17"
"BL Mooney",2022-08-12,"London Spirit","Southern Brave",1,97,55,16,1,176.363636363636,TRUE,"The Hundred Women's Competition",2022,1299146,"The Rose Bowl, Southampton","Southampton","London Spirit","Southern Brave","London Spirit","bat","DN Wyatt","Southern Brave","6",NA
"JI Rodrigues",2021-07-24,"Northern Superchargers","Welsh Fire",2,92,43,17,1,213.953488372093,TRUE,"The Hundred Women's Competition",2021,1252703,"Headingley, Leeds","Leeds","Welsh Fire","Northern Superchargers","Northern Superchargers","field","JI Rodrigues","Northern Superchargers","6",NA
"L Wolvaardt",2022-08-21,"Northern Superchargers","Manchester Originals",2,90,49,13,2,183.673469387755,TRUE,"The Hundred Women's Competition",2022,1299157,"Headingley, Leeds","Leeds","Manchester Originals","Northern Superchargers","Manchester Originals","bat","L Wolvaardt","Northern Superchargers","7",NA
"GM Harris",2023-08-24,"London Spirit","Birmingham Phoenix",1,87,47,13,2,185.106382978723,FALSE,"The Hundred Women's Competition",2023,1355603,"Edgbaston, Birmingham","Birmingham","London Spirit","Birmingham Phoenix","Birmingham Phoenix","field","GM Harris","London Spirit",NA,"73"
"NR Sciver-Brunt",2023-08-12,"Trent Rockets","London Spirit",2,81,41,9,4,197.560975609756,TRUE,"The Hundred Women's Competition",2023,1355587,"Lord's, London","London","London Spirit","Trent Rockets","Trent Rockets","field","NR Sciver-Brunt","Trent Rockets","5",NA
"SW Bates",2022-08-31,"Oval Invincibles","Manchester Originals",1,79,47,9,2,168.085106382979,TRUE,"The Hundred Women's Competition",2022,1299168,"Old Trafford, Manchester","Manchester","Oval Invincibles","Manchester Originals","Oval Invincibles","bat","SW Bates","Oval Invincibles",NA,"32"
"HK Matthews",2024-08-01,"Welsh Fire","London Spirit",2,78,46,11,2,169.565217391304,TRUE,"The Hundred Women's Competition",2024,1417833,"Lord's, London","London","London Spirit","Welsh Fire","Welsh Fire","field","HK Matthews","Welsh Fire","6",NA
"L Wolvaardt",2024-08-01,"Manchester Originals","Southern Brave",2,78,52,11,0,150,TRUE,"The Hundred Women's Competition",2024,1417834,"The Rose Bowl, Southampton","Southampton","Southern Brave","Manchester Originals","Manchester Originals","field","L Wolvaardt","Manchester Originals","6",NA
"S Mandhana",2021-08-11,"Southern Brave","Welsh Fire",1,78,52,7,3,150,FALSE,"The Hundred Women's Competition",2021,1252724,"The Rose Bowl, Southampton","Southampton","Southern Brave","Welsh Fire","Welsh Fire","field","S Mandhana","Southern Brave",NA,"39"
"RH Priest",2021-07-29,"Trent Rockets","London Spirit",1,76,42,10,4,180.952380952381,FALSE,"The Hundred Women's Competition",2021,1252709,"Lord's, London","London","Trent Rockets","London Spirit","Trent Rockets","bat","RH Priest","Trent Rockets",NA,"18"
"Shafali Verma",2021-08-09,"Birmingham Phoenix","Welsh Fire",2,76,42,9,2,180.952380952381,TRUE,"The Hundred Women's Competition",2021,1252722,"Edgbaston, Birmingham","Birmingham","Welsh Fire","Birmingham Phoenix","Birmingham Phoenix","field","Shafali Verma","Birmingham Phoenix","10",NA
"L Wolvaardt",2021-08-12,"Northern Superchargers","Manchester Originals",1,75,51,10,1,147.058823529412,TRUE,"The Hundred Women's Competition",2021,1252725,"Headingley, Leeds","Leeds","Northern Superchargers","Manchester Originals","Manchester Originals","field","KL Cross","Manchester Originals","8",NA
"L Winfield-Hill",2022-08-11,"Oval Invincibles","Northern Superchargers",2,74,42,11,1,176.190476190476,TRUE,"The Hundred Women's Competition",2022,1299145,"Kennington Oval, London","London","Northern Superchargers","Oval Invincibles","Oval Invincibles","field","L Winfield-Hill","Oval Invincibles","9",NA
"NR Sciver",2022-09-02,"Trent Rockets","Southern Brave",2,72,36,5,5,200,TRUE,"The Hundred Women's Competition",2022,1299169,"The Rose Bowl, Southampton","Southampton","Southern Brave","Trent Rockets","Trent Rockets","field","TM McGrath","Southern Brave",NA,"2"
"PJ Scholfield",2024-07-23,"Oval Invincibles","Birmingham Phoenix",1,71,40,12,0,177.5,FALSE,"The Hundred Women's Competition",2024,1417824,"Kennington Oval, London","London","Oval Invincibles","Birmingham Phoenix","Birmingham Phoenix","field","PJ Scholfield","Oval Invincibles",NA,"45"
"HK Matthews",2021-07-31,"Welsh Fire","Manchester Originals",2,71,50,10,1,142,TRUE,"The Hundred Women's Competition",2021,1252711,"Sophia Gardens, Cardiff","Cardiff","Manchester Originals","Welsh Fire","Welsh Fire","field","HK Matthews","Welsh Fire","9",NA
"S Mandhana",2023-08-04,"Southern Brave","Welsh Fire",2,70,42,11,0,166.666666666667,TRUE,"The Hundred Women's Competition",2023,1355576,"The Rose Bowl, Southampton","Southampton","Welsh Fire","Southern Brave","Southern Brave","field","HK Matthews","Welsh Fire",NA,"4"
