"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"FMK Morris",2023-08-07,"Birmingham Phoenix","Manchester Originals",1,"3.1",0,7,5,2.1875,11,"The Hundred Women's Competition",2023,1355581,"Old Trafford, Manchester","Manchester","Birmingham Phoenix","Manchester Originals","Manchester Originals","field","FMK Morris","Manchester Originals","5",NA
"M Kapp",2021-08-21,"Southern Brave","Oval Invincibles",2,"3.3",0,9,4,2.5,13,"The Hundred Women's Competition",2021,1252733,"Lord's, London","London","Oval Invincibles","Southern Brave","Southern Brave","field","M Kapp","Oval Invincibles",NA,"48"
"LK Bell",2022-08-25,"Trent Rockets","Southern Brave",1,"4.0",1,10,4,2.5,13,"The Hundred Women's Competition",2022,1299161,"The Rose Bowl, Southampton","Southampton","Trent Rockets","Southern Brave","Southern Brave","field","LK Bell","Southern Brave","10",NA
"NE Farrant",2021-08-20,"Birmingham Phoenix","Oval Invincibles",2,"3.4",0,10,4,2.63157894736842,13,"The Hundred Women's Competition",2021,1252732,"Kennington Oval, London","London","Oval Invincibles","Birmingham Phoenix","Birmingham Phoenix","field","NE Farrant","Oval Invincibles",NA,"20"
"GL Adams",2023-08-08,"London Spirit","Southern Brave",1,"4.0",0,11,4,2.75,13,"The Hundred Women's Competition",2023,1355582,"Lord's, London","London","London Spirit","Southern Brave","Southern Brave","field","ME Bouchier","Southern Brave","5",NA
"LK Bell",2024-07-30,"Northern Superchargers","Southern Brave",2,"4.0",0,11,4,2.75,13,"The Hundred Women's Competition",2024,1417831,"Headingley, Leeds","Leeds","Southern Brave","Northern Superchargers","Southern Brave","bat","LK Bell",NA,NA,NA
"S Ecclestone",2023-08-07,"Birmingham Phoenix","Manchester Originals",1,"4.0",0,11,4,2.75,12,"The Hundred Women's Competition",2023,1355581,"Old Trafford, Manchester","Manchester","Birmingham Phoenix","Manchester Originals","Manchester Originals","field","FMK Morris","Manchester Originals","5",NA
"A Wellington",2021-08-16,"Oval Invincibles","Southern Brave",2,"4.0",0,12,4,3,11,"The Hundred Women's Competition",2021,1252729,"The Rose Bowl, Southampton","Southampton","Southern Brave","Oval Invincibles","Oval Invincibles","field","SIR Dunkley","Southern Brave",NA,"30"
"MK Villiers",2022-08-27,"London Spirit","Oval Invincibles",1,"4.0",0,12,4,3,12,"The Hundred Women's Competition",2022,1299163,"Lord's, London","London","London Spirit","Oval Invincibles","Oval Invincibles","field","MK Villiers","Oval Invincibles","9",NA
"A Shrubsole",2021-07-24,"Trent Rockets","Southern Brave",2,"4.0",0,13,4,3.25,13,"The Hundred Women's Competition",2021,1252702,"Trent Bridge, Nottingham","Nottingham","Southern Brave","Trent Rockets","Trent Rockets","field","SR Taylor","Southern Brave",NA,"23"
"AC Kerr",2023-08-24,"Birmingham Phoenix","London Spirit",2,"3.1",0,13,4,4.0625,7,"The Hundred Women's Competition",2023,1355603,"Edgbaston, Birmingham","Birmingham","London Spirit","Birmingham Phoenix","Birmingham Phoenix","field","GM Harris","London Spirit",NA,"73"
"A Wellington",2021-08-01,"London Spirit","Southern Brave",1,"4.0",1,14,4,3.5,14,"The Hundred Women's Competition",2021,1252714,"Lord's, London","London","London Spirit","Southern Brave","Southern Brave","field","A Wellington","Southern Brave","7",NA
"A King",2022-08-13,"Manchester Originals","Trent Rockets",2,"4.0",0,15,4,3.75,13,"The Hundred Women's Competition",2022,1299147,"Old Trafford, Manchester","Manchester","Trent Rockets","Manchester Originals","Manchester Originals","field","A King","Trent Rockets",NA,"43"
"SJ Johnson",2021-07-26,"Northern Superchargers","Trent Rockets",1,"4.0",0,15,4,3.75,9,"The Hundred Women's Competition",2021,1252706,"Trent Bridge, Nottingham","Nottingham","Northern Superchargers","Trent Rockets","Northern Superchargers","bat","JI Rodrigues","Northern Superchargers",NA,"27"
"R MacDonald-Gay",2023-08-09,"Manchester Originals","Oval Invincibles",2,"4.0",0,16,4,4,12,"The Hundred Women's Competition",2023,1355584,"Kennington Oval, London","London","Oval Invincibles","Manchester Originals","Manchester Originals","field","R MacDonald-Gay","Oval Invincibles",NA,"5"
"M Kapp",2023-08-06,"Welsh Fire","Oval Invincibles",2,"4.0",0,18,4,4.5,13,"The Hundred Women's Competition",2023,1355580,"Kennington Oval, London","London","Oval Invincibles","Welsh Fire","Welsh Fire","field","S Ismail","Welsh Fire","3",NA
