"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome"
1252700,5,"Manchester Originals","Oval Invincibles","female","2021",2021-07-21,"The Hundred Women's Competition","1","Kennington Oval, London","London","Manchester Originals","bat","D van Niekerk","S Redfern","RT Robinson","J Naeem","NL Bainton","S Cummings","Oval Invincibles",5,NA,NA,NA
1252701,5,"Birmingham Phoenix","London Spirit","female","2021",2021-07-23,"The Hundred Women's Competition","2","Edgbaston, Birmingham","Birmingham","London Spirit","field","E Jones","J Naeem","RJ Bailey","AY Harris","NL Bainton","JJ Whitaker","London Spirit",3,NA,NA,NA
1252702,5,"Southern Brave","Trent Rockets","female","2021",2021-07-24,"The Hundred Women's Competition","3","Trent Bridge, Nottingham","Nottingham","Trent Rockets","field","SR Taylor","NGB Cook","S Redfern","S McLelland","RT Robinson","TJ Boon","Southern Brave",NA,23,NA,NA
1252703,5,"Welsh Fire","Northern Superchargers","female","2021",2021-07-24,"The Hundred Women's Competition","4","Headingley, Leeds","Leeds","Northern Superchargers","field","JI Rodrigues","AY Harris","SJ O'Shaughnessy","J Ibbotson","MJ Saggers","SJ Davis","Northern Superchargers",6,NA,NA,NA
1252704,5,"Oval Invincibles","London Spirit","female","2021",2021-07-25,"The Hundred Women's Competition","5","Lord's, London","London","London Spirit","field","A Capsey","AY Harris","GD Lloyd","J Ibbotson","PK Baldwin","JJ Whitaker","Oval Invincibles",NA,15,NA,NA
1252705,5,"Birmingham Phoenix","Manchester Originals","female","2021",2021-07-25,"The Hundred Women's Competition","6","Old Trafford, Manchester","Manchester","Birmingham Phoenix","bat","KL Gordon","J Naeem","NA Mallender","S Redfern","NJ Llong","TJ Boon","Birmingham Phoenix",NA,20,NA,NA
1252706,5,"Northern Superchargers","Trent Rockets","female","2021",2021-07-26,"The Hundred Women's Competition","7","Trent Bridge, Nottingham","Nottingham","Northern Superchargers","bat","JI Rodrigues","DJ Millns","S Redfern","Y Dolphin-Cooper","MJ Saggers","JJ Whitaker","Northern Superchargers",NA,27,NA,NA
1252707,5,"Welsh Fire","Southern Brave","female","2021",2021-07-27,"The Hundred Women's Competition","8","Sophia Gardens, Cardiff","Cardiff","Southern Brave","field","S Mandhana","AG Wharf","J Naeem","J Ibbotson","NL Bainton","TJ Boon","Southern Brave",8,NA,NA,NA
1252709,5,"Trent Rockets","London Spirit","female","2021",2021-07-29,"The Hundred Women's Competition","10","Lord's, London","London","Trent Rockets","bat","RH Priest","NA Mallender","S Redfern","SM Bartlett","PK Baldwin","PM Such","Trent Rockets",NA,18,NA,NA
1252710,5,"Birmingham Phoenix","Southern Brave","female","2021",2021-07-30,"The Hundred Women's Competition","11","The Rose Bowl, Southampton","Southampton","Southern Brave","field","DN Wyatt","J Naeem","RJ Warren","J Ibbotson","NL Bainton","PM Such","Southern Brave",8,NA,NA,NA
1252711,5,"Manchester Originals","Welsh Fire","female","2021",2021-07-31,"The Hundred Women's Competition","12","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","field","HK Matthews","NA Mallender","S Redfern","L Nenova","PK Baldwin","SJ Davis","Welsh Fire",9,NA,NA,NA
1252712,5,"Northern Superchargers","Oval Invincibles","female","2021",2021-07-31,"The Hundred Women's Competition","13","Headingley, Leeds","Leeds","Oval Invincibles","field","AN Davidson-Richards","AY Harris","SJ O'Shaughnessy","Y Dolphin-Cooper","NJ Llong","TJ Boon","Northern Superchargers",NA,4,NA,NA
1252713,5,"Trent Rockets","Birmingham Phoenix","female","2021",2021-08-01,"The Hundred Women's Competition","14","Edgbaston, Birmingham","Birmingham","Trent Rockets","bat","H Graham","J Naeem","RJ Bailey","J Ibbotson","RT Robinson","SJ Davis","Trent Rockets",NA,11,NA,NA
1252714,5,"London Spirit","Southern Brave","female","2021",2021-08-01,"The Hundred Women's Competition","15","Lord's, London","London","Southern Brave","field","A Wellington","PJ Hartley","SM Bartlett","Y Dolphin-Cooper","MJ Saggers","PM Such","Southern Brave",7,NA,NA,NA
1252715,5,"Welsh Fire","Oval Invincibles","female","2021",2021-08-02,"The Hundred Women's Competition","16","Kennington Oval, London","London","Oval Invincibles","field","SJ Taylor","GD Lloyd","S Redfern","J Ibbotson","PK Baldwin","TJ Boon","Welsh Fire",NA,12,NA,NA
1252716,5,"Northern Superchargers","London Spirit","female","2021",2021-08-03,"The Hundred Women's Competition","17","Lord's, London","London","Northern Superchargers","bat","DJS Dottin","AY Harris","RJ Bailey","Y Dolphin-Cooper","RT Robinson","TJ Boon","London Spirit",7,NA,NA,NA
1252717,5,"Birmingham Phoenix","Oval Invincibles","female","2021",2021-08-04,"The Hundred Women's Competition","18","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","bat","NE Farrant","J Naeem","MJ Saggers","S McLelland","NL Bainton","PM Such","Oval Invincibles",8,NA,NA,NA
1252718,5,"Southern Brave","Manchester Originals","female","2021",2021-08-05,"The Hundred Women's Competition","19","Old Trafford, Manchester","Manchester","Manchester Originals","field","L Lee","AG Wharf","AY Harris","Y Dolphin-Cooper","NJ Llong","SJ Davis","Manchester Originals",NA,17,"D/L",NA
1252719,5,"Welsh Fire","Trent Rockets","female","2021",2021-08-06,"The Hundred Women's Competition","20","Sophia Gardens, Cardiff","Cardiff","Trent Rockets","field","NR Sciver","J Naeem","PJ Hartley","S McLelland","NL Bainton","WR Smith","Trent Rockets",4,NA,NA,NA
1252720,5,"Northern Superchargers","Southern Brave","female","2021",2021-08-07,"The Hundred Women's Competition","21","The Rose Bowl, Southampton","Southampton","Southern Brave","field","SIR Dunkley","AY Harris","NGB Cook","J Ibbotson","PK Baldwin","SJ Davis","Southern Brave",7,NA,"D/L",NA
1252722,5,"Welsh Fire","Birmingham Phoenix","female","2021",2021-08-09,"The Hundred Women's Competition","23","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","Shafali Verma","RJ Warren","SM Bartlett","S Redfern","PK Baldwin","SG Hinks","Birmingham Phoenix",10,NA,NA,NA
1252723,5,"Manchester Originals","London Spirit","female","2021",2021-08-10,"The Hundred Women's Competition","24","Old Trafford, Manchester","Manchester","Manchester Originals","bat","DB Sharma","PJ Hartley","S Redfern","J Ibbotson","NJ Llong","JJ Whitaker","London Spirit",5,NA,NA,NA
1252724,5,"Southern Brave","Welsh Fire","female","2021",2021-08-11,"The Hundred Women's Competition","25","The Rose Bowl, Southampton","Southampton","Welsh Fire","field","S Mandhana","GD Lloyd","J Naeem","S McLelland","RT Robinson","SJ Davis","Southern Brave",NA,39,NA,NA
1252725,5,"Northern Superchargers","Manchester Originals","female","2021",2021-08-12,"The Hundred Women's Competition","26","Headingley, Leeds","Leeds","Manchester Originals","field","KL Cross","NJ Llong","S Redfern","Y Dolphin-Cooper","NL Bainton","PM Such","Manchester Originals",8,NA,NA,NA
