"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"WG Jacks",2022-08-14,"Oval Invincibles","Southern Brave",2,108,48,10,8,225,TRUE,"The Hundred Men's Competition",2022,1299184,"Kennington Oval, London","London","Southern Brave","Oval Invincibles","Oval Invincibles","field","WG Jacks","Oval Invincibles","7",NA
"HC Brook",2023-08-22,"Northern Superchargers","Welsh Fire",1,105,42,11,7,250,TRUE,"The Hundred Men's Competition",2023,1355635,"Headingley, Leeds","Leeds","Northern Superchargers","Welsh Fire","Northern Superchargers","bat","HC Brook","Welsh Fire","8",NA
"WCF Smeed",2022-08-10,"Birmingham Phoenix","Southern Brave",1,101,50,8,6,202,TRUE,"The Hundred Men's Competition",2022,1299178,"Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","Southern Brave","Southern Brave","field","WCF Smeed","Birmingham Phoenix",NA,"53"
"DJ Malan",2022-08-13,"Trent Rockets","Manchester Originals",2,98,44,3,9,222.727272727273,TRUE,"The Hundred Men's Competition",2022,1299181,"Old Trafford, Manchester","Manchester","Manchester Originals","Trent Rockets","Trent Rockets","field","DJ Malan","Trent Rockets","8",NA
"DW Lawrence",2023-08-12,"London Spirit","Trent Rockets",1,93,49,10,3,189.795918367347,FALSE,"The Hundred Men's Competition",2023,1355621,"Lord's, London","London","London Spirit","Trent Rockets","Trent Rockets","field","DW Lawrence","London Spirit",NA,"2"
"LS Livingstone",2021-08-17,"Birmingham Phoenix","Northern Superchargers",2,92,40,3,10,230,TRUE,"The Hundred Men's Competition",2021,1252696,"Headingley, Leeds","Leeds","Northern Superchargers","Birmingham Phoenix","Birmingham Phoenix","field","LS Livingstone","Birmingham Phoenix","8",NA
"BM Duckett",2024-08-03,"Birmingham Phoenix","Southern Brave",2,92,53,8,5,173.584905660377,FALSE,"The Hundred Men's Competition",2024,1417802,"Edgbaston, Birmingham","Birmingham","Southern Brave","Birmingham Phoenix","Birmingham Phoenix","field","JM Vince","Southern Brave",NA,"32"
"JM Vince",2024-08-03,"Southern Brave","Birmingham Phoenix",1,90,47,6,6,191.489361702128,TRUE,"The Hundred Men's Competition",2024,1417802,"Edgbaston, Birmingham","Birmingham","Southern Brave","Birmingham Phoenix","Birmingham Phoenix","field","JM Vince","Southern Brave",NA,"32"
"DJ Malan",2022-08-09,"Trent Rockets","Northern Superchargers",2,88,49,11,3,179.591836734694,TRUE,"The Hundred Men's Competition",2022,1299177,"Headingley, Leeds","Leeds","Northern Superchargers","Trent Rockets","Trent Rockets","field","DJ Malan","Trent Rockets","7",NA
"PD Salt",2023-08-17,"Manchester Originals","Trent Rockets",1,86,32,12,5,268.75,FALSE,"The Hundred Men's Competition",2023,1355628,"Trent Bridge, Nottingham","Nottingham","Manchester Originals","Trent Rockets","Trent Rockets","field","PD Salt","Manchester Originals",NA,"10"
