"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CG Harrison",2023-08-20,"Northern Superchargers","Manchester Originals",2,"4.0",0,11,5,2.75,12,"The Hundred Men's Competition",2023,1355632,"Old Trafford, Manchester","Manchester","Manchester Originals","Northern Superchargers","Manchester Originals","bat","CG Harrison","Manchester Originals",NA,"81"
"J Little",2022-08-31,"Oval Invincibles","Manchester Originals",1,"4.0",0,13,5,3.25,13,"The Hundred Men's Competition",2022,1299202,"Old Trafford, Manchester","Manchester","Oval Invincibles","Manchester Originals","Oval Invincibles","bat","J Little","Manchester Originals","6",NA
"M de Lange",2021-07-24,"Southern Brave","Trent Rockets",1,"4.0",0,20,5,5,10,"The Hundred Men's Competition",2021,1252668,"Trent Bridge, Nottingham","Nottingham","Southern Brave","Trent Rockets","Southern Brave","bat","M de Lange","Trent Rockets","9",NA
"HJH Brookes",2022-08-10,"Southern Brave","Birmingham Phoenix",2,"4.0",0,25,5,6.25,9,"The Hundred Men's Competition",2022,1299178,"Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","Southern Brave","Southern Brave","field","WCF Smeed","Birmingham Phoenix",NA,"53"
"Imran Tahir",2021-08-09,"Welsh Fire","Birmingham Phoenix",2,"3.4",0,25,5,6.57894736842105,10,"The Hundred Men's Competition",2021,1252688,"Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","Welsh Fire","Welsh Fire","field","Imran Tahir","Birmingham Phoenix",NA,"93"
"SA Abbott",2022-08-16,"Welsh Fire","Manchester Originals",2,"3.0",2,8,4,2.66666666666667,13,"The Hundred Men's Competition",2022,1299186,"Old Trafford, Manchester","Manchester","Manchester Originals","Welsh Fire","Welsh Fire","field","SA Abbott","Manchester Originals",NA,"47"
"MW Parkinson",2021-07-25,"Birmingham Phoenix","Manchester Originals",1,"3.4",0,9,4,2.36842105263158,13,"The Hundred Men's Competition",2021,1252671,"Old Trafford, Manchester","Manchester","Birmingham Phoenix","Manchester Originals","Birmingham Phoenix","bat","MW Parkinson","Manchester Originals","6",NA
"Qais Ahmad",2021-07-24,"Northern Superchargers","Welsh Fire",2,"4.0",0,13,4,3.25,8,"The Hundred Men's Competition",2021,1252669,"Headingley, Leeds","Leeds","Welsh Fire","Northern Superchargers","Northern Superchargers","field","Qais Ahmad","Welsh Fire",NA,"5"
"TS Mills",2023-08-12,"Welsh Fire","Southern Brave",1,"4.0",0,13,4,3.25,8,"The Hundred Men's Competition",2023,1355622,"Sophia Gardens, Cardiff","Cardiff","Welsh Fire","Southern Brave","Southern Brave","field","GHS Garton","Southern Brave","9",NA
"SA Abbott",2024-07-27,"London Spirit","Birmingham Phoenix",1,"4.0",0,14,4,3.5,12,"The Hundred Men's Competition",2024,1417794,"Lord's, London","London","London Spirit","Birmingham Phoenix","Birmingham Phoenix","field","SA Abbott","Birmingham Phoenix","3",NA
"WD Parnell",2022-08-31,"Southern Brave","Northern Superchargers",2,"4.0",0,16,4,4,12,"The Hundred Men's Competition",2022,1299201,"Headingley, Leeds","Leeds","Northern Superchargers","Southern Brave","Southern Brave","field","WD Parnell","Northern Superchargers",NA,"16"
