"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","outcome","method"
1252666,5,"Oval Invincibles","Manchester Originals","male","2021",2021-07-22,"The Hundred Men's Competition","1","Kennington Oval, London","London","Manchester Originals","field","SW Billings","DJ Millns","MJ Saggers","RJ Warren","NJ Llong","DA Cosker","Oval Invincibles",9,NA,NA,NA
1252667,5,"London Spirit","Birmingham Phoenix","male","2021",2021-07-23,"The Hundred Men's Competition","2","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","Z Crawley","GD Lloyd","RT Robinson","RJ Bailey","NL Bainton","Phil Whitticase","Birmingham Phoenix",NA,3,NA,NA
1252668,5,"Southern Brave","Trent Rockets","male","2021",2021-07-24,"The Hundred Men's Competition","3","Trent Bridge, Nottingham","Nottingham","Southern Brave","bat","M de Lange","DJ Millns","RJ Warren","NGB Cook","RT Robinson","DA Cosker","Trent Rockets",NA,9,NA,NA
1252669,5,"Welsh Fire","Northern Superchargers","male","2021",2021-07-24,"The Hundred Men's Competition","4","Headingley, Leeds","Leeds","Northern Superchargers","field","Qais Ahmad","NA Mallender","NJ Llong","SJ O'Shaughnessy","MJ Saggers","S Cummings","Welsh Fire",5,NA,NA,NA
1252671,5,"Birmingham Phoenix","Manchester Originals","male","2021",2021-07-25,"The Hundred Men's Competition","6","Old Trafford, Manchester","Manchester","Birmingham Phoenix","bat","MW Parkinson","AG Wharf","SJ O'Shaughnessy","NA Mallender","NJ Llong","SJ Davis","Manchester Originals",NA,6,NA,NA
1252672,5,"Northern Superchargers","Trent Rockets","male","2021",2021-07-26,"The Hundred Men's Competition","7","Trent Bridge, Nottingham","Nottingham","Northern Superchargers","bat","Rashid Khan","RJ Warren","RT Robinson","DJ Millns","MJ Saggers","Wayne Noon","Trent Rockets",NA,2,NA,NA
1252673,5,"Welsh Fire","Southern Brave","male","2021",2021-07-27,"The Hundred Men's Competition","8","Sophia Gardens, Cardiff","Cardiff","Southern Brave","field","JM Bairstow","NJ Llong","RJ Bailey","AG Wharf","NL Bainton","DA Cosker","Welsh Fire",18,NA,NA,NA
1252675,5,"Trent Rockets","London Spirit","male","2021",2021-07-29,"The Hundred Men's Competition","10","Lord's, London","London","London Spirit","field","DJM Short","AG Wharf","NJ Llong","NA Mallender","PK Baldwin","SJ Davis","Trent Rockets",7,NA,NA,NA
1252676,5,"Birmingham Phoenix","Southern Brave","male","2021",2021-07-30,"The Hundred Men's Competition","11","The Rose Bowl, Southampton","Southampton","Southern Brave","field","JM Vince","DJ Millns","MJ Saggers","RJ Warren","NL Bainton","DA Cosker","Southern Brave",NA,4,NA,NA
1252677,5,"Welsh Fire","Manchester Originals","male","2021",2021-07-31,"The Hundred Men's Competition","12","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","bat","JM Clarke","RJ Bailey","RT Robinson","NA Mallender","PK Baldwin","S Cummings","Manchester Originals",NA,7,NA,NA
1252678,5,"Oval Invincibles","Northern Superchargers","male","2021",2021-07-31,"The Hundred Men's Competition","13","Headingley, Leeds","Leeds","Oval Invincibles","bat","HC Brook","AG Wharf","NGB Cook","SJ O'Shaughnessy","NJ Llong","Phil Whitticase","Northern Superchargers",NA,6,NA,NA
1252679,5,"Trent Rockets","Birmingham Phoenix","male","2021",2021-08-01,"The Hundred Men's Competition","14","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","WCF Smeed","NJ Llong","SJ O'Shaughnessy","RJ Bailey","RT Robinson","Phil Whitticase","Birmingham Phoenix",NA,6,NA,NA
1252680,5,"Southern Brave","London Spirit","male","2021",2021-08-01,"The Hundred Men's Competition","15","Lord's, London","London","London Spirit","field","CJ Jordan","GD Lloyd","RJ Warren","PJ Hartley","MJ Saggers","Wayne Noon","Southern Brave",4,NA,NA,NA
1252681,5,"Welsh Fire","Oval Invincibles","male","2021",2021-08-02,"The Hundred Men's Competition","16","Kennington Oval, London","London","Oval Invincibles","field","SW Billings","AG Wharf","NA Mallender","GD Lloyd","PK Baldwin","Wayne Noon","Oval Invincibles",NA,6,NA,NA
1252682,5,"Northern Superchargers","London Spirit","male","2021",2021-08-03,"The Hundred Men's Competition","17","Lord's, London","London","Northern Superchargers","bat","DJ Willey","NJ Llong","SJ O'Shaughnessy","RJ Bailey","RT Robinson","Phil Whitticase","Northern Superchargers",63,NA,NA,NA
1252683,5,"Oval Invincibles","Birmingham Phoenix","male","2021",2021-08-04,"The Hundred Men's Competition","18","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","CG Benjamin","PJ Hartley","RJ Warren","MJ Saggers","NL Bainton","Wayne Noon","Birmingham Phoenix",NA,6,NA,NA
1252684,5,"Manchester Originals","Southern Brave","male","2021",2021-08-05,"The Hundred Men's Competition","19","Old Trafford, Manchester","Manchester","Southern Brave","field",NA,"SJ O'Shaughnessy","RT Robinson","AG Wharf","NJ Llong","S Cummings",NA,NA,NA,"no result",NA
1252685,5,"Welsh Fire","Trent Rockets","male","2021",2021-08-06,"The Hundred Men's Competition","20","Sophia Gardens, Cardiff","Cardiff","Trent Rockets","field","SR Patel","MJ Saggers","RJ Bailey","PJ Hartley","NL Bainton","DA Cosker","Trent Rockets",NA,6,NA,NA
1252686,5,"Northern Superchargers","Southern Brave","male","2021",2021-08-07,"The Hundred Men's Competition","21","The Rose Bowl, Southampton","Southampton","Northern Superchargers","bat","Q de Kock","GD Lloyd","RT Robinson","NGB Cook","PK Baldwin","S Cummings","Southern Brave",NA,5,NA,NA
1252687,5,"Oval Invincibles","Trent Rockets","male","2021",2021-08-08,"The Hundred Men's Competition","22","Kennington Oval, London","London","Trent Rockets","field","JJ Roy","NGB Cook","NJ Llong","RJ Bailey","MJ Saggers","S Cummings","Oval Invincibles",9,NA,NA,NA
1252688,5,"Birmingham Phoenix","Welsh Fire","male","2021",2021-08-09,"The Hundred Men's Competition","23","Edgbaston, Birmingham","Birmingham","Welsh Fire","field","Imran Tahir","SJ O'Shaughnessy","RT Robinson","RJ Warren","PK Baldwin","Phil Whitticase","Birmingham Phoenix",93,NA,NA,NA
1252689,5,"London Spirit","Manchester Originals","male","2021",2021-08-10,"The Hundred Men's Competition","24","Old Trafford, Manchester","Manchester","London Spirit","bat","BTJ Wheal","MJ Saggers","RJ Bailey","PJ Hartley","NJ Llong","Wayne Noon","London Spirit",6,NA,NA,NA
1252690,5,"Welsh Fire","Southern Brave","male","2021",2021-08-11,"The Hundred Men's Competition","25","The Rose Bowl, Southampton","Southampton","Southern Brave","field","Q de Kock","DJ Millns","RJ Warren","GD Lloyd","RT Robinson","Phil Whitticase","Southern Brave",NA,8,NA,NA
1252691,5,"Northern Superchargers","Manchester Originals","male","2021",2021-08-12,"The Hundred Men's Competition","26","Headingley, Leeds","Leeds","Manchester Originals","field","JA Simpson","MJ Saggers","RJ Bailey","NJ Llong","NL Bainton","DA Cosker","Northern Superchargers",69,NA,NA,NA
1252692,5,"Birmingham Phoenix","Trent Rockets","male","2021",2021-08-13,"The Hundred Men's Competition","27","Trent Bridge, Nottingham","Nottingham","Trent Rockets","field","LS Livingstone","DJ Millns","PJ Hartley","RJ Bailey","MJ Saggers","DA Cosker","Birmingham Phoenix",16,NA,NA,NA
1252693,5,"London Spirit","Oval Invincibles","male","2021",2021-08-14,"The Hundred Men's Competition","28","Kennington Oval, London","London","London Spirit","bat","LJ Evans","NA Mallender","NGB Cook","RT Robinson","NL Bainton","Wayne Noon","Oval Invincibles",NA,2,NA,NA
1252694,5,"Manchester Originals","Trent Rockets","male","2021",2021-08-15,"The Hundred Men's Competition","29","Trent Bridge, Nottingham","Nottingham","Manchester Originals","bat","DJ Malan","RJ Warren","SJ O'Shaughnessy","GD Lloyd","PK Baldwin","Phil Whitticase","Trent Rockets",NA,7,NA,NA
1252695,5,"Oval Invincibles","Southern Brave","male","2021",2021-08-16,"The Hundred Men's Competition","30","The Rose Bowl, Southampton","Southampton","Southern Brave","field","AL Davies","MJ Saggers","RJ Bailey","NGB Cook","NJ Llong","SJ Davis","Southern Brave",NA,6,NA,NA
1252696,5,"Northern Superchargers","Birmingham Phoenix","male","2021",2021-08-17,"The Hundred Men's Competition","31","Headingley, Leeds","Leeds","Birmingham Phoenix","field","LS Livingstone","NA Mallender","RJ Warren","SJ O'Shaughnessy","RT Robinson","S Cummings","Birmingham Phoenix",NA,8,NA,NA
1252697,5,"London Spirit","Welsh Fire","male","2021",2021-08-18,"The Hundred Men's Competition","32","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","field","GD Phillips","NGB Cook","NJ Llong","DJ Millns","MJ Saggers","Phil Whitticase","Welsh Fire",NA,3,NA,NA
1252698,5,"Trent Rockets","Southern Brave","male","2021",2021-08-20,"The Hundred Men's Competition",NA,"Kennington Oval, London","London","Southern Brave","field","GHS Garton","DJ Millns","RJ Warren","RJ Bailey","NL Bainton","Wayne Noon","Southern Brave",NA,7,NA,NA
1252699,5,"Southern Brave","Birmingham Phoenix","male","2021",2021-08-21,"The Hundred Men's Competition",NA,"Lord's, London","London","Birmingham Phoenix","field","PR Stirling","AG Wharf","MJ Saggers","SJ O'Shaughnessy","NJ Llong","S Cummings","Southern Brave",32,NA,NA,NA
1299171,5,"Welsh Fire","Southern Brave","male","2022",2022-08-03,"The Hundred Men's Competition","1","The Rose Bowl, Southampton","Southampton","Southern Brave","field","JM Vince","AG Wharf","RJ Warren","ID Blackwell","PK Baldwin","SJ Davis","Southern Brave",NA,9,NA,NA
1299172,5,"London Spirit","Oval Invincibles","male","2022",2022-08-04,"The Hundred Men's Competition","2","Kennington Oval, London","London","Oval Invincibles","field","NT Ellis","DJ Millns","NGB Cook","Tom Lungley","NJ Llong","PM Such","London Spirit",3,NA,NA,NA
1299173,5,"Manchester Originals","Northern Superchargers","male","2022",2022-08-05,"The Hundred Men's Competition","3","Old Trafford, Manchester","Manchester","Northern Superchargers","field","A Lyth","NA Mallender","RJ Bailey","James Middlebrook","SJ O'Shaughnessy","WR Smith","Northern Superchargers",NA,6,NA,NA
1299174,5,"Birmingham Phoenix","Trent Rockets","male","2022",2022-08-06,"The Hundred Men's Competition","4","Trent Bridge, Nottingham","Nottingham","Trent Rockets","field","AD Hales","PJ Hartley","SJ O'Shaughnessy","Rob White","DJ Millns","DA Cosker","Trent Rockets",NA,6,NA,NA
1299175,5,"Oval Invincibles","Welsh Fire","male","2022",2022-08-07,"The Hundred Men's Competition","5","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","field","WG Jacks","AG Wharf","NJ Llong","PR Pollard","PK Baldwin","SJ Davis","Oval Invincibles",39,NA,NA,NA
1299176,5,"London Spirit","Manchester Originals","male","2022",2022-08-08,"The Hundred Men's Competition","6","Lord's, London","London","London Spirit","bat","JA Thompson","NA Mallender","RJ Warren","BJ Debenham","NJ Llong","DA Cosker","London Spirit",52,NA,NA,NA
1299177,5,"Northern Superchargers","Trent Rockets","male","2022",2022-08-09,"The Hundred Men's Competition","7","Headingley, Leeds","Leeds","Trent Rockets","field","DJ Malan","DJ Millns","ID Blackwell","BV Taylor","SJ O'Shaughnessy","Phil Whitticase","Trent Rockets",NA,7,NA,NA
1299178,5,"Birmingham Phoenix","Southern Brave","male","2022",2022-08-10,"The Hundred Men's Competition","8","Edgbaston, Birmingham","Birmingham","Southern Brave","field","WCF Smeed","NGB Cook","PJ Hartley","N Pratt","NL Bainton","Phil Whitticase","Birmingham Phoenix",53,NA,NA,NA
1299179,5,"Northern Superchargers","Oval Invincibles","male","2022",2022-08-11,"The Hundred Men's Competition","9","Kennington Oval, London","London","Oval Invincibles","field","SM Curran","AG Wharf","RJ Bailey","Hassan Adnan","NJ Llong","JJ Whitaker","Oval Invincibles",NA,3,NA,NA
1299180,5,"London Spirit","Southern Brave","male","2022",2022-08-12,"The Hundred Men's Competition","10","The Rose Bowl, Southampton","Southampton","London Spirit","bat","DJ Bell-Drummond","BJ Debenham","NGB Cook","Mark Newell","PK Baldwin","JJ Whitaker","London Spirit",9,NA,NA,NA
1299181,5,"Manchester Originals","Trent Rockets","male","2022",2022-08-13,"The Hundred Men's Competition","11","Old Trafford, Manchester","Manchester","Trent Rockets","field","DJ Malan","NJ Llong","SJ O'Shaughnessy","BV Taylor","GD Lloyd","PM Such","Trent Rockets",NA,8,NA,NA
1299182,5,"Birmingham Phoenix","Welsh Fire","male","2022",2022-08-13,"The Hundred Men's Competition","12","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","field","KW Richardson","PJ Hartley","RJ Warren","ID Blackwell","AG Wharf","SG Hinks","Birmingham Phoenix",4,NA,NA,NA
1299183,5,"Northern Superchargers","London Spirit","male","2022",2022-08-14,"The Hundred Men's Competition","13","Headingley, Leeds","Leeds","Northern Superchargers","bat","AM Rossington","GD Lloyd","Rob White","N Pratt","SJ O'Shaughnessy","PM Such","London Spirit",NA,7,NA,NA
1299184,5,"Southern Brave","Oval Invincibles","male","2022",2022-08-14,"The Hundred Men's Competition","14","Kennington Oval, London","London","Oval Invincibles","field","WG Jacks","AG Wharf","DJ Millns","BJ Debenham","NL Bainton","DA Cosker","Oval Invincibles",NA,7,NA,NA
1299185,5,"Trent Rockets","Birmingham Phoenix","male","2022",2022-08-15,"The Hundred Men's Competition","15","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","MM Ali","MJ Saggers","Tom Lungley","JD Shantry","SJ O'Shaughnessy","Wayne Noon","Birmingham Phoenix",NA,7,NA,NA
1299186,5,"Manchester Originals","Welsh Fire","male","2022",2022-08-16,"The Hundred Men's Competition","16","Old Trafford, Manchester","Manchester","Welsh Fire","field","SA Abbott","DJ Millns","N Pratt","Naeem Ashraf","GD Lloyd","JJ Whitaker","Manchester Originals",47,NA,NA,NA
1299187,5,"Trent Rockets","Oval Invincibles","male","2022",2022-08-17,"The Hundred Men's Competition","17","Trent Bridge, Nottingham","Nottingham","Oval Invincibles","field","AD Hales","NA Mallender","RA Kettleborough","Chris Watts","MJ Saggers","JJ Whitaker","Trent Rockets",25,NA,NA,NA
1299188,5,"Manchester Originals","Southern Brave","male","2022",2022-08-18,"The Hundred Men's Competition","18","The Rose Bowl, Southampton","Southampton","Southern Brave","field","AD Russell","MJ Saggers","RJ Bailey","Surendiran Shanmugam","NL Bainton","SJ Davis","Manchester Originals",68,NA,NA,NA
1299189,5,"Northern Superchargers","Birmingham Phoenix","male","2022",2022-08-19,"The Hundred Men's Competition","19","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","D Wiese","James Middlebrook","SJ O'Shaughnessy","AC Harris","M Burns","WR Smith","Northern Superchargers",32,NA,NA,NA
1299190,5,"London Spirit","Trent Rockets","male","2022",2022-08-20,"The Hundred Men's Competition","20","Trent Bridge, Nottingham","Nottingham","Trent Rockets","field","C Munro","MJ Saggers","PR Pollard","NL Bainton","DJ Millns","WR Smith","Trent Rockets",NA,6,NA,NA
1299191,5,"Manchester Originals","Northern Superchargers","male","2022",2022-08-21,"The Hundred Men's Competition","21","Headingley, Leeds","Leeds","Northern Superchargers","field","PD Salt","M Burns","Rob White","Chris Watts","PK Baldwin","SG Hinks","Manchester Originals",23,NA,NA,NA
1299192,5,"Welsh Fire","Southern Brave","male","2022",2022-08-22,"The Hundred Men's Competition","22","Sophia Gardens, Cardiff","Cardiff","Southern Brave","field","GHS Garton","BJ Debenham","GD Lloyd","Mark Newell","NL Bainton","PM Such","Southern Brave",NA,9,NA,NA
1299193,5,"Birmingham Phoenix","Oval Invincibles","male","2022",2022-08-23,"The Hundred Men's Competition","23","Kennington Oval, London","London","Oval Invincibles","field","KW Richardson","James Middlebrook","MJ Saggers","PK Baldwin","NL Bainton","Wayne Noon","Birmingham Phoenix",10,NA,NA,NA
1299194,5,"London Spirit","Welsh Fire","male","2022",2022-08-24,"The Hundred Men's Competition","24","Lord's, London","London","Welsh Fire","field","DW Lawrence","Hassan Adnan","RA Kettleborough","BV Taylor","GD Lloyd","Wayne Noon","London Spirit",17,NA,NA,NA
1299195,5,"Trent Rockets","Southern Brave","male","2022",2022-08-25,"The Hundred Men's Competition","25","The Rose Bowl, Southampton","Southampton","Southern Brave","field","AL Davies","AG Wharf","BV Taylor","S McLelland","S Redfern","Phil Whitticase","Southern Brave",NA,6,NA,NA
1299196,5,"Welsh Fire","Northern Superchargers","male","2022",2022-08-26,"The Hundred Men's Competition","26","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","bat","A Lyth","RA Kettleborough","Tom Lungley","NL Bainton","AG Wharf","DA Cosker","Northern Superchargers",NA,6,NA,NA
1299197,5,"London Spirit","Oval Invincibles","male","2022",2022-08-27,"The Hundred Men's Competition","27","Lord's, London","London","London Spirit","bat","SM Curran","NJ Llong","RA Kettleborough","James Middlebrook","MJ Saggers","WR Smith","Oval Invincibles",NA,6,NA,NA
1299198,5,"Manchester Originals","Birmingham Phoenix","male","2022",2022-08-28,"The Hundred Men's Competition","28","Edgbaston, Birmingham","Birmingham","Manchester Originals","bat","TW Hartley","AG Wharf","PR Pollard","Chris Watts","DJ Millns","DA Cosker","Manchester Originals",79,NA,NA,NA
1299199,5,"Trent Rockets","Welsh Fire","male","2022",2022-08-29,"The Hundred Men's Competition","29","Trent Bridge, Nottingham","Nottingham","Welsh Fire","field","DJ Malan","GD Lloyd","ID Blackwell","NL Bainton","SJ O'Shaughnessy","SG Hinks","Trent Rockets",29,NA,NA,NA
1299200,5,"London Spirit","Birmingham Phoenix","male","2022",2022-08-30,"The Hundred Men's Competition","30","Lord's, London","London","Birmingham Phoenix","field","MS Wade","MJ Saggers","M Burns","BJ Debenham","PK Baldwin","SJ Davis","Birmingham Phoenix",NA,1,NA,NA
1299201,5,"Northern Superchargers","Southern Brave","male","2022",2022-08-31,"The Hundred Men's Competition","31","Headingley, Leeds","Leeds","Southern Brave","field","WD Parnell","NA Mallender","SJ O'Shaughnessy","Hassan Adnan","GD Lloyd","JJ Whitaker","Northern Superchargers",16,NA,NA,NA
1299202,5,"Oval Invincibles","Manchester Originals","male","2022",2022-08-31,"The Hundred Men's Competition","32","Old Trafford, Manchester","Manchester","Oval Invincibles","bat","J Little","AG Wharf","NJ Llong","PR Pollard","NL Bainton","SG Hinks","Manchester Originals",NA,6,NA,NA
1299203,5,"London Spirit","Manchester Originals","male","2022",2022-09-02,"The Hundred Men's Competition",NA,"The Rose Bowl, Southampton","Southampton","London Spirit","bat","LJ Evans","AG Wharf","RJ Warren","SJ O'Shaughnessy","GD Lloyd","DA Cosker","Manchester Originals",NA,5,NA,NA
1299204,5,"Manchester Originals","Trent Rockets","male","2022",2022-09-03,"The Hundred Men's Competition",NA,"Lord's, London","London","Manchester Originals","bat","SJ Cook","MJ Saggers","M Burns","BJ Debenham","NJ Llong","Phil Whitticase","Trent Rockets",NA,2,NA,NA
1355606,5,"Trent Rockets","Southern Brave","male","2023",2023-08-01,"The Hundred Men's Competition","1","Trent Bridge, Nottingham","Nottingham","Southern Brave","field","SR Hain","MJ Saggers","RJ Warren","Tom Lungley","NJ Llong","Wayne Noon","Trent Rockets",6,NA,NA,NA
1355607,5,"Welsh Fire","Manchester Originals","male","2023",2023-08-02,"The Hundred Men's Competition","2","Sophia Gardens, Cardiff","Cardiff","Manchester Originals","field","LWP Wells","BJ Debenham","ID Blackwell","AC Harris","PK Baldwin","SG Hinks","Welsh Fire",9,NA,NA,NA
