"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Lyth",2021,"The Hundred Men's Competition","Northern Superchargers",5,40,37,108.108108108108,8,5,1,0,0,0,25
"A Lyth",2022,"The Hundred Men's Competition","Northern Superchargers",8,299,170,175.882352941176,37.375,22,20,0,0,3,79
"A Lyth",2023,"The Hundred Men's Competition","Northern Superchargers",3,29,26,111.538461538462,9.66666666666667,2,2,0,0,0,26
"A Zampa",2022,"The Hundred Men's Competition","Welsh Fire",3,26,24,108.333333333333,26,3,0,2,0,0,14
"AAP Atkinson",2023,"The Hundred Men's Competition","Oval Invincibles",2,3,4,75,Inf,0,0,2,0,0,3
"AD Hales",2021,"The Hundred Men's Competition","Trent Rockets",9,185,140,132.142857142857,23.125,20,6,1,0,0,40
"AD Hales",2022,"The Hundred Men's Competition","Trent Rockets",9,259,170,152.352941176471,28.7777777777778,27,11,0,0,2,59
"AD Hales",2023,"The Hundred Men's Competition","Trent Rockets",7,88,66,133.333333333333,12.5714285714286,15,1,0,0,0,29
"AD Russell",2022,"The Hundred Men's Competition","Manchester Originals",6,148,88,168.181818181818,37,9,12,2,0,1,64
"AF Milne",2021,"The Hundred Men's Competition","Birmingham Phoenix",2,9,3,300,Inf,2,0,2,0,0,5
"AF Milne",2023,"The Hundred Men's Competition","Birmingham Phoenix",5,23,27,85.1851851851852,11.5,0,1,3,0,0,13
"AJ Blake",2021,"The Hundred Men's Competition","Oval Invincibles",3,54,39,138.461538461538,27,2,4,1,0,0,44
"AJ Hose",2022,"The Hundred Men's Competition","Northern Superchargers",7,182,114,159.649122807018,30.3333333333333,17,7,1,0,2,59
"AJ Hose",2023,"The Hundred Men's Competition","Northern Superchargers",7,134,91,147.252747252747,22.3333333333333,16,5,1,0,0,41
"AJ Turner",2022,"The Hundred Men's Competition","Manchester Originals",4,75,44,170.454545454545,25,7,2,1,0,0,26
"AJ Turner",2023,"The Hundred Men's Competition","Manchester Originals",8,78,52,150,19.5,3,4,4,0,0,21
"AL Davies",2021,"The Hundred Men's Competition","Southern Brave",9,202,152,132.894736842105,28.8571428571429,20,3,2,0,1,50
"AL Davies",2022,"The Hundred Men's Competition","Southern Brave",7,155,130,119.230769230769,25.8333333333333,12,3,1,0,1,51
"AM Rossington",2021,"The Hundred Men's Competition","London Spirit",6,140,92,152.173913043478,23.3333333333333,16,4,0,0,0,46
"AM Rossington",2022,"The Hundred Men's Competition","London Spirit",9,164,92,178.260869565217,18.2222222222222,14,11,0,0,1,66
"AM Rossington",2023,"The Hundred Men's Competition","London Spirit",5,156,89,175.280898876405,31.2,13,10,0,0,2,61
"AU Rashid",2021,"The Hundred Men's Competition","Northern Superchargers",2,11,7,157.142857142857,11,1,0,1,0,0,10
"AU Rashid",2022,"The Hundred Men's Competition","Northern Superchargers",1,0,2,0,0,0,0,0,0,0,0
"AU Rashid",2023,"The Hundred Men's Competition","Northern Superchargers",4,27,31,87.0967741935484,6.75,3,1,0,0,0,13
"BA Carse",2021,"The Hundred Men's Competition","Northern Superchargers",4,21,16,131.25,21,1,1,3,0,0,11
"BA Carse",2023,"The Hundred Men's Competition","Northern Superchargers",5,62,51,121.56862745098,15.5,6,1,1,0,0,33
"BA Raine",2021,"The Hundred Men's Competition","Northern Superchargers",2,21,19,110.526315789474,10.5,3,0,0,0,0,18
"BA Raine",2022,"The Hundred Men's Competition","Northern Superchargers",3,14,9,155.555555555556,Inf,2,0,3,0,0,7
"BA Stokes",2021,"The Hundred Men's Competition","Northern Superchargers",2,10,14,71.4285714285714,5,1,0,0,0,0,5
"BAC Howell",2021,"The Hundred Men's Competition","Birmingham Phoenix",6,62,46,134.782608695652,15.5,6,2,2,0,0,20
"BAC Howell",2022,"The Hundred Men's Competition","Birmingham Phoenix",6,63,50,126,15.75,4,1,2,0,0,22
"BAC Howell",2023,"The Hundred Men's Competition","Birmingham Phoenix",6,58,42,138.095238095238,19.3333333333333,2,3,3,0,0,23
"BC Cullen",2021,"The Hundred Men's Competition","London Spirit",4,18,15,120,9,1,1,2,0,0,15
"BGF Green",2023,"The Hundred Men's Competition","Welsh Fire",3,51,42,121.428571428571,17,1,3,0,0,0,25
"BJ Dwarshuis",2022,"The Hundred Men's Competition","Birmingham Phoenix",1,0,2,0,0,0,0,0,0,0,0
"BL D'Oliveira",2022,"The Hundred Men's Competition","Birmingham Phoenix",2,10,22,45.4545454545455,5,0,0,0,0,0,8
"BM Duckett",2021,"The Hundred Men's Competition","Welsh Fire",8,232,169,137.278106508876,29,28,3,0,0,2,65
"BM Duckett",2022,"The Hundred Men's Competition","Welsh Fire",8,220,162,135.802469135802,31.4285714285714,21,5,1,0,1,64
"BM Duckett",2023,"The Hundred Men's Competition","Birmingham Phoenix",7,170,123,138.211382113821,28.3333333333333,24,1,1,0,0,47
"BR McDermott",2022,"The Hundred Men's Competition","London Spirit",5,157,118,133.050847457627,31.4,12,6,0,0,1,59
"C Munro",2021,"The Hundred Men's Competition","Manchester Originals",7,165,121,136.363636363636,33,18,6,2,0,0,45
"C Munro",2022,"The Hundred Men's Competition","Trent Rockets",8,206,122,168.852459016393,41.2,21,9,3,0,1,67
"C Munro",2023,"The Hundred Men's Competition","Trent Rockets",7,221,139,158.992805755396,36.8333333333333,11,13,1,0,1,66
"C Overton",2021,"The Hundred Men's Competition","Southern Brave",1,4,5,80,Inf,0,0,1,0,0,4
"C Overton",2023,"The Hundred Men's Competition","Southern Brave",2,7,8,87.5,7,0,0,1,0,0,6
"C de Grandhomme",2021,"The Hundred Men's Competition","Southern Brave",6,56,46,121.739130434783,14,3,2,2,0,0,40
"CA Ingram",2021,"The Hundred Men's Competition","Oval Invincibles",7,120,92,130.434782608696,20,9,5,1,0,1,81
"CA Lynn",2021,"The Hundred Men's Competition","Northern Superchargers",7,150,127,118.110236220472,21.4285714285714,14,5,0,0,0,48
"CB Cooke",2021,"The Hundred Men's Competition","Birmingham Phoenix",3,20,21,95.2380952380952,6.66666666666667,1,0,0,0,0,11
"CF Parkinson",2021,"The Hundred Men's Competition","Northern Superchargers",1,1,1,100,Inf,0,0,1,0,0,1
"CF Parkinson",2023,"The Hundred Men's Competition","Northern Superchargers",3,3,6,50,3,0,0,2,0,0,2
"CG Benjamin",2021,"The Hundred Men's Competition","Birmingham Phoenix",7,112,82,136.585365853659,37.3333333333333,11,4,4,0,0,37
"CG Benjamin",2022,"The Hundred Men's Competition","Birmingham Phoenix",7,66,70,94.2857142857143,9.42857142857143,6,2,0,0,0,18
"CG Benjamin",2023,"The Hundred Men's Competition","Birmingham Phoenix",4,30,19,157.894736842105,15,1,2,2,0,0,14
"CG Harrison",2021,"The Hundred Men's Competition","Manchester Originals",3,37,31,119.354838709677,12.3333333333333,5,0,0,0,0,23
"CG Harrison",2023,"The Hundred Men's Competition","Manchester Originals",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"CJ Jordan",2021,"The Hundred Men's Competition","Southern Brave",5,54,39,138.461538461538,27,4,2,3,0,0,17
"CJ Jordan",2022,"The Hundred Men's Competition","Southern Brave",2,22,12,183.333333333333,22,2,1,1,0,0,15
"CJ Jordan",2023,"The Hundred Men's Competition","Southern Brave",4,107,53,201.88679245283,53.5,5,10,2,0,1,70
"CN Ackermann",2021,"The Hundred Men's Competition","Manchester Originals",5,88,75,117.333333333333,17.6,6,3,0,0,1,53
"CN Ackermann",2022,"The Hundred Men's Competition","Manchester Originals",1,3,2,150,Inf,0,0,1,0,0,3
"CN Ackermann",2023,"The Hundred Men's Competition","Southern Brave",3,32,32,100,32,4,0,2,0,0,24
"CN Miles",2022,"The Hundred Men's Competition","Northern Superchargers",1,1,2,50,Inf,0,0,1,0,0,1
"CP Wood",2021,"The Hundred Men's Competition","London Spirit",1,0,1,0,0,0,0,0,0,0,0
"CP Wood",2022,"The Hundred Men's Competition","London Spirit",1,1,1,100,1,0,0,0,0,0,1
"CP Wood",2023,"The Hundred Men's Competition","London Spirit",1,5,3,166.666666666667,Inf,1,0,1,0,0,5
"CR Brathwaite",2021,"The Hundred Men's Competition","Manchester Originals",6,94,67,140.298507462687,23.5,4,7,2,0,0,37
"CR Woakes",2023,"The Hundred Men's Competition","Birmingham Phoenix",3,20,20,100,10,0,1,1,0,0,16
"D Moriarty",2022,"The Hundred Men's Competition","Southern Brave",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"D Pretorius",2022,"The Hundred Men's Competition","Welsh Fire",4,71,40,177.5,23.6666666666667,6,5,1,0,0,29
"D Wiese",2021,"The Hundred Men's Competition","London Spirit",2,3,5,60,3,0,0,1,0,0,2
"D Wiese",2022,"The Hundred Men's Competition","Northern Superchargers",7,150,82,182.926829268293,25,6,14,1,0,1,50
"D Wiese",2023,"The Hundred Men's Competition","Northern Superchargers",7,80,54,148.148148148148,13.3333333333333,4,4,1,0,1,54
"DA Douthwaite",2021,"The Hundred Men's Competition","Manchester Originals",1,4,10,40,4,0,0,0,0,0,4
"DA Miller",2022,"The Hundred Men's Competition","Welsh Fire",7,73,80,91.25,12.1666666666667,2,2,1,0,0,35
"DA Payne",2021,"The Hundred Men's Competition","Welsh Fire",1,0,1,0,0,0,0,0,0,0,0
"DA Payne",2022,"The Hundred Men's Competition","Welsh Fire",3,10,9,111.111111111111,5,0,1,1,0,0,8
"DA Payne",2023,"The Hundred Men's Competition","Welsh Fire",1,0,1,0,0,0,0,0,0,0,0
"DG Bedingham",2021,"The Hundred Men's Competition","Birmingham Phoenix",1,0,2,0,0,0,0,0,0,0,0
"DJ Bell-Drummond",2021,"The Hundred Men's Competition","Birmingham Phoenix",3,32,36,88.8888888888889,10.6666666666667,1,1,0,0,0,12
"DJ Bell-Drummond",2022,"The Hundred Men's Competition","London Spirit",4,97,68,142.647058823529,24.25,9,3,0,0,0,46
"DJ Bell-Drummond",2023,"The Hundred Men's Competition","London Spirit",1,23,14,164.285714285714,23,4,0,0,0,0,23
"DJ Bravo",2022,"The Hundred Men's Competition","Northern Superchargers",4,27,25,108,13.5,3,0,2,0,0,19
"DJ Malan",2021,"The Hundred Men's Competition","Trent Rockets",9,214,176,121.590909090909,26.75,26,4,1,0,3,62
"DJ Malan",2022,"The Hundred Men's Competition","Trent Rockets",9,377,226,166.814159292035,53.8571428571429,27,20,2,0,4,98
"DJ Malan",2023,"The Hundred Men's Competition","Trent Rockets",4,28,32,87.5,7,5,0,0,0,0,11
"DJ Mitchell",2023,"The Hundred Men's Competition","London Spirit",6,136,104,130.769230769231,27.2,10,4,1,0,1,57
