"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"NE Farrant","Oval Invincibles",2021,"The Hundred Women's Competition",9,"35.4",0,185,18,10.2777777777778,5.16759776536313,9.94444444444444,82,1,0,"4/10"
"A Wellington","Southern Brave",2022,"The Hundred Women's Competition",8,"32.0",0,201,17,11.8235294117647,6.28125,9.41176470588235,56,0,0,"3/17"
"GL Adams","Southern Brave",2023,"The Hundred Women's Competition",9,"36.0",0,205,16,12.8125,5.69444444444444,11.25,62,1,0,"4/11"
"SJ Johnson","Trent Rockets",2021,"The Hundred Women's Competition",7,"26.4",0,154,15,10.2666666666667,5.74626865671642,8.93333333333333,52,1,0,"4/15"
"KL Gordon","Birmingham Phoenix",2021,"The Hundred Women's Competition",9,"34.0",1,212,15,14.1333333333333,6.23529411764706,11.3333333333333,62,0,0,"3/14"
"A Wellington","Southern Brave",2021,"The Hundred Women's Competition",9,"35.0",2,161,14,11.5,4.6,12.5,78,2,0,"4/12"
"KL Cross","Manchester Originals",2021,"The Hundred Women's Competition",7,"27.1",2,169,12,14.0833333333333,6.21323529411765,11.3333333333333,61,0,0,"3/19"
"LK Bell","Southern Brave",2021,"The Hundred Women's Competition",9,"33.0",1,191,12,15.9166666666667,5.78787878787879,13.75,75,0,0,"3/22"
"M Kapp","Oval Invincibles",2021,"The Hundred Women's Competition",5,"16.3",1,70,11,6.36363636363636,4.21686746987952,7.54545454545455,47,1,0,"4/9"
"S Glenn","London Spirit",2023,"The Hundred Women's Competition",6,"24.0",0,119,11,10.8181818181818,4.95833333333333,10.9090909090909,47,0,0,"3/15"
"M Kapp","Oval Invincibles",2023,"The Hundred Women's Competition",7,"28.0",2,138,11,12.5454545454545,4.92857142857143,12.7272727272727,74,1,0,"4/18"
"KA Levick","Birmingham Phoenix",2023,"The Hundred Women's Competition",7,"28.0",0,159,11,14.4545454545455,5.67857142857143,12.7272727272727,57,0,0,"2/12"
"S Ismail","Welsh Fire",2023,"The Hundred Women's Competition",7,"28.0",1,165,11,15,5.89285714285714,12.7272727272727,64,0,0,"3/12"
"LK Bell","Southern Brave",2022,"The Hundred Women's Competition",8,"31.0",1,176,11,16,5.67741935483871,14.0909090909091,73,1,0,"4/10"
"HK Matthews","Welsh Fire",2021,"The Hundred Women's Competition",8,"29.4",1,186,11,16.9090909090909,6.24161073825503,13.5454545454545,47,0,0,"3/23"
"G Wareham","Northern Superchargers",2023,"The Hundred Women's Competition",10,"39.0",0,218,11,19.8181818181818,5.58974358974359,17.7272727272727,79,0,0,"3/7"
"A Capsey","Oval Invincibles",2021,"The Hundred Women's Competition",7,"27.0",1,122,10,12.2,4.51851851851852,13.5,61,0,0,"2/9"
"AC Kerr","London Spirit",2023,"The Hundred Women's Competition",6,"21.1",0,129,10,12.9,6.08490566037736,10.6,39,1,0,"4/13"
"DB Sharma","London Spirit",2021,"The Hundred Women's Competition",8,"31.0",1,136,10,13.6,4.38709677419355,15.5,69,0,0,"2/10"
