"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"TS Mills","Southern Brave",2023,"The Hundred Men's Competition",8,"32.0",0,209,16,13.0625,6.53125,10,55,1,0,"4/13"
"PI Walter","Manchester Originals",2022,"The Hundred Men's Competition",9,"27.0",1,160,14,11.4285714285714,5.92592592592593,9.64285714285714,49,0,0,"3/20"
"TG Helm","Birmingham Phoenix",2022,"The Hundred Men's Competition",8,"28.2",0,197,14,14.0714285714286,6.93661971830986,10.1428571428571,65,1,0,"4/17"
"JA Thompson","London Spirit",2022,"The Hundred Men's Competition",9,"33.1",0,253,14,18.0714285714286,7.62048192771084,11.8571428571429,52,1,0,"4/21"
"J Little","Manchester Originals",2022,"The Hundred Men's Competition",5,"16.4",0,104,13,8,6.19047619047619,6.46153846153846,40,0,1,"5/13"
"KW Richardson","Birmingham Phoenix",2022,"The Hundred Men's Competition",7,"26.0",1,171,13,13.1538461538462,6.57692307692308,10,55,0,0,"3/19"
"SR Patel","Trent Rockets",2022,"The Hundred Men's Competition",9,"28.0",0,187,13,14.3846153846154,6.67857142857143,10.7692307692308,49,0,0,"3/23"
"RJW Topley","Northern Superchargers",2023,"The Hundred Men's Competition",8,"29.0",1,208,13,16,7.17241379310345,11.1538461538462,60,0,0,"3/29"
"AF Milne","Birmingham Phoenix",2021,"The Hundred Men's Competition",8,"27.0",1,129,12,10.75,4.77777777777778,11.25,74,0,0,"3/15"
"M de Lange","Trent Rockets",2021,"The Hundred Men's Competition",7,"23.4",1,157,12,13.0833333333333,6.59663865546218,9.91666666666667,49,0,1,"5/20"
"AU Rashid","Northern Superchargers",2021,"The Hundred Men's Competition",7,"27.0",1,173,12,14.4166666666667,6.40740740740741,11.25,57,0,0,"3/13"
"DR Sams","Trent Rockets",2023,"The Hundred Men's Competition",7,"26.4",0,215,12,17.9166666666667,8.02238805970149,11.1666666666667,41,0,0,"3/17"
"MS Crane","London Spirit",2022,"The Hundred Men's Competition",9,"27.3",0,223,12,18.5833333333333,8.07971014492754,11.5,41,1,0,"4/24"
"Rashid Khan","Trent Rockets",2021,"The Hundred Men's Competition",9,"34.0",1,231,12,19.25,6.79411764705882,14.1666666666667,67,0,0,"3/16"
"SP Narine","Oval Invincibles",2022,"The Hundred Men's Competition",6,"24.0",0,121,11,11,5.04166666666667,10.9090909090909,51,0,0,"3/11"
"SJ Cook","Trent Rockets",2022,"The Hundred Men's Competition",6,"22.3",0,146,11,13.2727272727273,6.46017699115044,10.2727272727273,45,1,0,"4/18"
"AU Rashid","Northern Superchargers",2023,"The Hundred Men's Competition",8,"30.2",0,191,11,17.3636363636364,6.28289473684211,13.8181818181818,46,1,0,"4/18"
