"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Bosch",9,57,58,98.2758620689655,8.14285714285714,7,0,2,0,0,14
"A Capsey",25,542,469,115.565031982942,22.5833333333333,60,12,1,0,2,80
"A Day",2,9,5,180,9,0,1,1,0,0,9
"A Gardner",102,2168,1764,122.902494331066,23.5652173913043,210,81,10,1,12,114
"A Genford",4,12,19,63.1578947368421,3,0,0,0,0,0,8
"A Hartley",4,2,6,33.3333333333333,1,0,0,2,0,0,2
"A King",56,507,467,108.565310492505,14.0833333333333,33,18,20,0,0,33
"A Lanning",25,263,288,91.3194444444444,11.9545454545455,29,2,3,0,1,73
"A Learoyd",21,277,319,86.833855799373,16.2941176470588,26,3,4,0,0,34
"A O'Neil",4,10,16,62.5,3.33333333333333,1,0,1,0,0,5
"A Price",13,86,97,88.659793814433,7.16666666666667,8,0,1,0,0,19
"A Shrubsole",3,3,7,42.8571428571429,1,0,0,0,0,0,3
"A Smith",24,75,102,73.5294117647059,6.25,3,0,12,0,0,10
"A Sutherland",71,1173,1114,105.296229802513,19.55,99,23,11,0,3,72
"A Wellington",59,521,414,125.845410628019,11.5777777777778,50,8,14,0,1,55
"A Yates",4,30,32,93.75,7.5,3,0,0,0,0,17
"AC Jayangani",46,1053,955,110.261780104712,27,129,25,7,0,7,80
"AC Kerr",44,842,711,118.424753867792,24.0571428571429,101,1,9,0,2,64
"AC Mushangwe",1,2,2,100,Inf,0,0,1,0,0,2
"AE Jones",55,1181,1004,117.629482071713,24.6041666666667,122,20,7,0,6,80
"AE Satterthwaite",51,1162,1165,99.7424892703863,27.6666666666667,122,5,9,0,5,66
"AJ Blackwell",45,1140,1043,109.300095877277,32.5714285714286,121,15,10,0,5,81
"AJ Healy",97,2442,1797,135.893155258765,26.8351648351648,321,58,6,4,13,112
"AL Edgar",18,221,224,98.6607142857143,18.4166666666667,23,4,6,0,0,36
"AR Reakes",52,520,532,97.7443609022556,13.3333333333333,53,7,13,0,0,33
"B Hepburn",20,82,107,76.6355140186916,5.85714285714286,3,0,6,0,0,15
"B Vakarewa",21,73,78,93.5897435897436,9.125,7,0,13,0,0,15
"BAM Heath",14,183,155,118.064516129032,15.25,28,3,2,0,1,51
"BC Binch",1,3,3,100,Inf,0,0,1,0,0,3
"BE Patterson",102,1511,1456,103.777472527473,18.8875,128,23,22,0,4,70
"BF Smith",12,90,132,68.1818181818182,7.5,11,0,0,0,0,28
"BL Mooney",112,4072,3202,127.170518425984,49.6585365853659,481,31,30,3,34,102
"BM Devchand",3,17,22,77.2727272727273,8.5,0,0,1,0,0,8
"C Leeson",32,373,338,110.355029585799,14.3461538461538,31,6,6,0,1,52
"C Moore",5,4,17,23.5294117647059,1.33333333333333,0,0,2,0,0,2
"C Piparo",63,754,752,100.265957446809,15.08,82,1,13,0,1,50
"C Raack",4,5,4,125,2.5,1,0,2,0,0,5
"C Smith",5,116,109,106.422018348624,23.2,13,2,0,0,0,37
"C Webb",67,1111,1093,101.646843549863,21.7843137254902,105,9,16,0,1,54
"CC Ainsworth",4,27,32,84.375,27,2,0,3,0,0,10
"CE Brock",1,31,29,106.896551724138,31,2,0,0,0,0,31
"CG Sippel",11,30,33,90.9090909090909,15,2,0,9,0,0,6
"CJ Koski",30,294,276,106.521739130435,14,24,3,9,0,0,39
"CL Hall",60,765,737,103.799185888738,15.3,54,0,10,0,1,50
"CL Rafferty",2,6,6,100,6,0,0,1,0,0,6
"CL Tryon",43,757,591,128.087986463621,21.0277777777778,77,27,7,0,0,46
"CM Edwards",11,337,330,102.121212121212,33.7,42,0,1,0,3,63
"CR Knott",37,467,371,125.876010781671,18.68,48,12,12,0,0,32
"D Brown",2,3,4,75,3,0,0,1,0,0,3
"D Hazell",5,11,17,64.7058823529412,2.75,0,0,1,0,0,5
"D van Niekerk",59,961,892,107.735426008969,20.4468085106383,97,22,12,0,3,62
"DB Sharma",11,211,198,106.565656565657,35.1666666666667,20,0,5,0,0,44
"DJS Dottin",35,583,572,101.923076923077,20.1034482758621,65,16,6,0,3,68
