"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"JL Jonassen",114,"396.4",2,2689,141,19.0709219858156,6.77899159663866,16.8794326241135,990,7,0,"4/13"
"A Wellington",113,"372.5",3,2477,130,19.0538461538462,6.64371926687528,17.2076923076923,929,1,2,"5/8"
"ML Schutt",109,"402.2",11,2376,124,19.1612903225806,5.90555095277548,19.4677419354839,1264,2,1,"6/19"
"H Graham",104,"344.1",2,2429,120,20.2416666666667,7.05762711864407,17.2083333333333,751,0,0,"3/12"
"M Strano",105,"364.3",4,2448,120,20.4,6.71604938271605,18.225,882,3,0,"4/16"
"M Kapp",102,"371.1",10,2149,103,20.8640776699029,5.78985181859003,21.621359223301,1186,2,0,"4/10"
"A King",96,"315.3",0,2116,101,20.950495049505,6.7068145800317,18.7425742574257,786,1,0,"4/11"
"SJ Coyte",100,"329.3",2,2306,101,22.8316831683168,6.99848254931715,19.5742574257426,774,0,0,"3/9"
"SJ Johnson",100,"329.1",2,2319,101,22.960396039604,7.04506329113924,19.5544554455446,876,1,0,"4/26"
"NJ Carey",94,"309.0",3,2289,98,23.3571428571429,7.40776699029126,18.9183673469388,728,0,0,"3/10"
"NM Hancock",88,"284.3",2,2091,95,22.0105263157895,7.34973637961336,17.9684210526316,785,3,0,"4/20"
"SL Bates",96,"349.3",7,2178,89,24.4719101123596,6.23175965665236,23.561797752809,924,0,0,"3/9"
"SFM Devine",93,"269.1",3,2012,88,22.8636363636364,7.47492260061919,18.3522727272727,684,0,1,"5/41"
"A Sutherland",81,"254.4",7,1842,80,23.025,7.23298429319372,19.1,651,3,0,"4/20"
"HJ Darlington",57,"208.0",0,1470,79,18.6075949367089,7.06730769230769,15.7974683544304,473,1,1,"5/10"
"A Gardner",95,"275.0",0,1976,78,25.3333333333333,7.18545454545455,21.1538461538462,655,3,0,"4/23"
"TM McGrath",96,"258.2",2,1817,72,25.2361111111111,7.03354838709677,21.5277777777778,616,0,0,"3/8"
"JL Barsby",89,"233.4",1,1561,71,21.9859154929577,6.68045649072753,19.7464788732394,468,2,0,"4/2"
"S Molineux",77,"257.1",1,1732,68,25.4705882352941,6.7349319507453,22.6911764705882,656,2,0,"4/18"
"M Brown",78,"242.5",1,1728,66,26.1818181818182,7.11599176389842,22.0757575757576,601,0,0,"3/16"
"LG Smith",86,"215.1",1,1507,64,23.546875,7.00387296669249,20.171875,446,1,1,"5/17"
"KJ Garth",72,"240.5",4,1527,64,23.859375,6.34048442906574,22.578125,703,0,0,"3/11"
"HK Matthews",60,"205.1",1,1413,62,22.7903225806452,6.88708367181154,19.8548387096774,506,1,1,"5/19"
"DM Kimmince",63,"205.0",4,1443,62,23.2741935483871,7.0390243902439,19.8387096774194,491,1,0,"4/18"
"L Cheatle",59,"185.3",1,1264,61,20.7213114754098,6.81401617250674,18.2459016393443,517,0,0,"3/15"
"AC Kerr",56,"203.4",2,1320,61,21.6393442622951,6.48117839607201,20.0327868852459,454,1,0,"4/20"
"SE Aley",56,"169.4",4,1126,60,18.7666666666667,6.63654223968566,16.9666666666667,422,3,0,"4/8"
"D van Niekerk",69,"218.0",2,1434,60,23.9,6.57798165137615,21.8,478,2,0,"4/13"
"S Day",48,"138.4",0,957,53,18.0566037735849,6.90144230769231,15.6981132075472,299,4,1,"5/25"
"ML Gibson",56,"173.2",0,1223,53,23.0754716981132,7.05576923076923,19.622641509434,385,2,0,"4/24"
"LMM Tahuhu",62,"216.2",7,1349,53,25.4528301886792,6.23574730354391,24.4905660377358,698,0,0,"3/13"
"EA Perry",92,"232.4",6,1687,52,32.4423076923077,7.25071633237822,26.8461538461538,678,0,1,"5/22"
"D Brown",44,"160.0",0,964,49,19.6734693877551,6.025,19.5918367346939,520,1,0,"4/16"
"GM Harris",74,"178.3",0,1273,49,25.9795918367347,7.13165266106443,21.8571428571429,409,1,0,"4/16"
"P Cleary",69,"189.0",2,1357,49,27.6938775510204,7.17989417989418,23.1428571428571,490,0,0,"3/16"
"RM Farrell",41,"153.4",2,1057,48,22.0208333333333,6.87852494577007,19.2083333333333,399,0,0,"3/12"
"S Ismail",53,"194.0",4,1202,48,25.0416666666667,6.19587628865979,24.25,595,0,0,"3/10"
"B Vakarewa",67,"213.4",5,1348,48,28.0833333333333,6.30889235569423,26.7083333333333,615,0,0,"3/8"
