"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Bosch","2021/22","Women's Big Bash League","Brisbane Heat",9,57,58,98.2758620689655,8.14285714285714,7,0,2,0,0,14
"A Capsey","2022/23","Women's Big Bash League","Melbourne Stars",11,259,201,128.855721393035,25.9,24,9,1,0,1,80
"A Capsey","2023/24","Women's Big Bash League","Melbourne Stars",14,283,268,105.597014925373,20.2142857142857,36,3,0,0,1,52
"A Day","2018/19","Women's Big Bash League","Hobart Hurricanes",2,9,5,180,9,0,1,1,0,0,9
"A Gardner","2015/16","Women's Big Bash League","Sydney Sixers",3,8,9,88.8888888888889,2.66666666666667,1,0,0,0,0,4
"A Gardner","2016/17","Women's Big Bash League","Sydney Sixers",14,352,300,117.333333333333,29.3333333333333,30,12,2,0,3,56
"A Gardner","2017/18","Women's Big Bash League","Sydney Sixers",12,343,242,141.735537190083,31.1818181818182,32,21,1,1,1,114
"A Gardner","2018/19","Women's Big Bash League","Sydney Sixers",15,295,258,114.341085271318,22.6923076923077,32,12,2,0,1,79
"A Gardner","2019/20","Women's Big Bash League","Sydney Sixers",11,252,215,117.209302325581,22.9090909090909,32,5,0,0,1,54
"A Gardner","2020/21","Women's Big Bash League","Sydney Sixers",7,93,69,134.782608695652,15.5,8,5,1,0,1,53
"A Gardner","2021/22","Women's Big Bash League","Sydney Sixers",12,197,186,105.913978494624,17.9090909090909,20,5,1,0,2,86
"A Gardner","2022/23","Women's Big Bash League","Sydney Sixers",14,339,225,150.666666666667,28.25,32,14,2,0,2,85
"A Gardner","2023/24","Women's Big Bash League","Sydney Sixers",14,289,260,111.153846153846,22.2307692307692,23,7,1,0,1,72
"A Genford","2021/22","Women's Big Bash League","Hobart Hurricanes",1,8,12,66.6666666666667,8,0,0,0,0,0,8
"A Genford","2022/23","Women's Big Bash League","Sydney Sixers",3,4,7,57.1428571428571,1.33333333333333,0,0,0,0,0,3
"A Hartley","2018/19","Women's Big Bash League","Hobart Hurricanes",4,2,6,33.3333333333333,1,0,0,2,0,0,2
"A King","2016/17","Women's Big Bash League","Melbourne Stars",4,4,9,44.4444444444444,2,0,0,2,0,0,3
"A King","2017/18","Women's Big Bash League","Melbourne Stars",9,90,96,93.75,12.8571428571429,7,2,2,0,0,23
"A King","2018/19","Women's Big Bash League","Melbourne Stars",12,78,88,88.6363636363636,11.1428571428571,0,3,5,0,0,14
"A King","2019/20","Women's Big Bash League","Melbourne Stars",3,17,33,51.5151515151515,8.5,0,0,1,0,0,9
"A King","2020/21","Women's Big Bash League","Melbourne Stars",5,62,33,187.878787878788,15.5,3,6,1,0,0,27
"A King","2021/22","Women's Big Bash League","Perth Scorchers",8,85,78,108.974358974359,21.25,8,0,4,0,0,14
"A King","2022/23","Women's Big Bash League","Perth Scorchers",6,68,39,174.358974358974,13.6,4,5,1,0,0,29
"A King","2023/24","Women's Big Bash League","Perth Scorchers",9,103,91,113.186813186813,20.6,11,2,4,0,0,33
"A Lanning","2015/16","Women's Big Bash League","Melbourne Stars",1,0,5,0,0,0,0,0,0,0,0
"A Lanning","2016/17","Women's Big Bash League","Melbourne Stars",5,33,33,100,8.25,2,0,1,0,0,15
"A Lanning","2017/18","Women's Big Bash League","Melbourne Stars",10,118,146,80.8219178082192,13.1111111111111,13,0,1,0,0,25
