"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Day","Melbourne Stars","2023/24","Women's Big Bash League",14,"49.0",0,337,27,12.4814814814815,6.87755102040816,10.8888888888889,116,3,1,"5/25"
"ML Schutt","Adelaide Strikers","2022/23","Women's Big Bash League",14,"55.1",0,353,27,13.0740740740741,6.3987915407855,12.2592592592593,152,2,1,"6/19"
"JL Jonassen","Brisbane Heat","2022/23","Women's Big Bash League",16,"56.0",0,389,25,15.56,6.94642857142857,13.44,109,1,0,"4/23"
"JL Jonassen","Brisbane Heat","2023/24","Women's Big Bash League",16,"57.2",0,468,24,19.5,8.16279069767442,14.3333333333333,117,2,0,"4/20"
"A Wellington","Adelaide Strikers","2023/24","Women's Big Bash League",15,"49.0",0,268,23,11.6521739130435,5.46938775510204,12.7826086956522,140,0,0,"3/4"
"H Graham","Perth Scorchers","2018/19","Women's Big Bash League",14,"47.4",1,342,23,14.8695652173913,7.17482517482518,12.4347826086957,115,0,0,"3/25"
"A Sutherland","Melbourne Stars","2023/24","Women's Big Bash League",14,"48.4",2,347,23,15.0869565217391,7.13013698630137,12.695652173913,117,2,0,"4/22"
"A Wellington","Adelaide Strikers","2021/22","Women's Big Bash League",17,"57.0",2,374,23,16.2608695652174,6.56140350877193,14.8695652173913,139,0,1,"5/8"
"A Wellington","Adelaide Strikers","2022/23","Women's Big Bash League",15,"54.5",0,376,23,16.3478260869565,6.85714285714286,14.304347826087,130,0,1,"5/8"
"A Gardner","Sydney Sixers","2022/23","Women's Big Bash League",15,"57.0",0,378,23,16.4347826086957,6.63157894736842,14.8695652173913,134,2,0,"4/23"
"NM Hancock","Brisbane Heat","2023/24","Women's Big Bash League",17,"62.1",0,446,23,19.3913043478261,7.17426273458445,16.2173913043478,185,1,0,"4/20"
"SE Aley","Sydney Sixers","2016/17","Women's Big Bash League",13,"45.5",1,274,22,12.4545454545455,5.97818181818182,12.5,125,1,0,"4/23"
"SJ Johnson","Sydney Thunder","2020/21","Women's Big Bash League",14,"49.1",0,326,22,14.8181818181818,6.63050847457627,13.4090909090909,125,1,0,"4/26"
"ML Schutt","Adelaide Strikers","2023/24","Women's Big Bash League",15,"54.0",1,338,22,15.3636363636364,6.25925925925926,14.7272727272727,169,0,0,"3/3"
"HJ Darlington","Sydney Thunder","2023/24","Women's Big Bash League",13,"44.0",0,365,22,16.5909090909091,8.29545454545454,12,95,1,1,"5/10"
"M Strano","Melbourne Renegades","2019/20","Women's Big Bash League",14,"50.5",0,367,22,16.6818181818182,7.21967213114754,13.8636363636364,106,1,0,"4/28"
"DM Kimmince","Brisbane Heat","2018/19","Women's Big Bash League",16,"56.5",1,387,22,17.5909090909091,6.80938416422287,15.5,142,1,0,"4/18"
"NM Hancock","Brisbane Heat","2022/23","Women's Big Bash League",16,"48.3",0,408,22,18.5454545454545,8.41237113402062,13.2272727272727,128,1,0,"4/32"
"KH Brunt","Perth Scorchers","2017/18","Women's Big Bash League",13,"50.0",1,239,21,11.3809523809524,4.78,14.2857142857143,175,0,0,"3/11"
"JL Jonassen","Brisbane Heat","2021/22","Women's Big Bash League",15,"48.5",0,327,21,15.5714285714286,6.6962457337884,13.952380952381,125,0,0,"3/10"
"L Cheatle","Sydney Sixers","2023/24","Women's Big Bash League",14,"52.3",0,362,21,17.2380952380952,6.8952380952381,15,159,0,0,"2/13"
"A Sutherland","Melbourne Stars","2022/23","Women's Big Bash League",14,"47.5",1,383,21,18.2380952380952,8.00696864111498,13.6666666666667,103,0,0,"3/17"
"A Gardner","Sydney Sixers","2023/24","Women's Big Bash League",14,"49.4",0,390,21,18.5714285714286,7.85234899328859,14.1904761904762,115,1,0,"4/26"
"AC Kerr","Brisbane Heat","2022/23","Women's Big Bash League",16,"59.0",0,408,21,19.4285714285714,6.91525423728814,16.8571428571429,128,0,0,"3/26"
"SK Moloney","Melbourne Stars","2022/23","Women's Big Bash League",14,"48.1",0,301,20,15.05,6.24913494809689,14.45,121,2,0,"4/15"
"AL Edgar","Perth Scorchers","2023/24","Women's Big Bash League",15,"47.4",0,322,20,16.1,6.75524475524476,14.3,126,1,0,"4/19"
"D Brown","Adelaide Strikers","2021/22","Women's Big Bash League",15,"55.0",0,334,20,16.7,6.07272727272727,16.5,186,0,0,"3/19"
"M Kapp","Sydney Sixers","2018/19","Women's Big Bash League",16,"58.2",1,336,20,16.8,5.76,17.5,183,1,0,"4/27"
"S Ecclestone","Sydney Sixers","2022/23","Women's Big Bash League",15,"56.5",0,358,20,17.9,6.29912023460411,17.05,161,1,0,"4/17"
"SJ Johnson","Brisbane Heat","2018/19","Women's Big Bash League",16,"58.2",1,359,20,17.95,6.15428571428571,17.5,178,0,0,"3/12"
"JL Jonassen","Brisbane Heat","2019/20","Women's Big Bash League",15,"55.0",0,376,20,18.8,6.83636363636364,16.5,144,3,0,"4/13"
"HJ Darlington","Sydney Thunder","2020/21","Women's Big Bash League",12,"42.0",0,260,19,13.6842105263158,6.19047619047619,13.2631578947368,100,0,0,"3/19"
"HK Matthews","Hobart Hurricanes","2016/17","Women's Big Bash League",12,"42.0",1,278,19,14.6315789473684,6.61904761904762,13.2631578947368,112,1,1,"5/19"
"SR Taylor","Sydney Thunder","2018/19","Women's Big Bash League",14,"43.4",0,302,19,15.8947368421053,6.91603053435115,13.7894736842105,90,0,0,"3/23"
"NR Sciver","Melbourne Stars","2020/21","Women's Big Bash League",13,"46.0",0,318,19,16.7368421052632,6.91304347826087,14.5263157894737,113,1,0,"4/29"
"M Strano","Melbourne Renegades","2018/19","Women's Big Bash League",16,"52.3",0,342,19,18,6.51428571428571,16.5789473684211,134,1,0,"4/21"
"A King","Perth Scorchers","2023/24","Women's Big Bash League",15,"52.2",0,346,19,18.2105263157895,6.61146496815287,16.5263157894737,144,0,0,"3/19"
"SE Aley","Sydney Sixers","2017/18","Women's Big Bash League",13,"47.5",3,273,18,15.1666666666667,5.70731707317073,15.9444444444444,135,1,0,"4/18"
"M Strano","Hobart Hurricanes","2022/23","Women's Big Bash League",14,"48.0",0,289,18,16.0555555555556,6.02083333333333,16,124,1,0,"4/16"
"JL Barsby","Adelaide Strikers","2022/23","Women's Big Bash League",15,"50.0",0,293,18,16.2777777777778,5.86,16.6666666666667,114,0,0,"3/22"
"H Graham","Perth Scorchers","2021/22","Women's Big Bash League",13,"47.0",0,300,18,16.6666666666667,6.38297872340426,15.6666666666667,111,0,0,"3/16"
"SL Bates","Sydney Thunder","2020/21","Women's Big Bash League",14,"50.5",2,302,18,16.7777777777778,5.94098360655738,16.9444444444444,136,0,0,"3/9"
"D van Niekerk","Sydney Sixers","2018/19","Women's Big Bash League",15,"55.0",1,363,18,20.1666666666667,6.6,18.3333333333333,125,0,0,"3/32"
"SFM Devine","Adelaide Strikers","2019/20","Women's Big Bash League",15,"54.0",0,372,18,20.6666666666667,6.88888888888889,18,143,0,0,"3/13"
"SJ Coyte","Adelaide Strikers","2019/20","Women's Big Bash League",15,"54.1",1,375,18,20.8333333333333,6.92307692307692,18.0555555555556,117,0,0,"3/9"
"AC Kerr","Brisbane Heat","2020/21","Women's Big Bash League",13,"46.2",0,246,17,14.4705882352941,5.30935251798561,16.3529411764706,116,1,0,"4/20"
"SJ Coyte","Adelaide Strikers","2020/21","Women's Big Bash League",12,"40.2",0,255,17,15,6.32231404958678,14.2352941176471,116,0,0,"3/10"
"A King","Perth Scorchers","2022/23","Women's Big Bash League",13,"46.0",0,272,17,16,5.91304347826087,16.2352941176471,129,0,0,"3/15"
"S Glenn","Perth Scorchers","2020/21","Women's Big Bash League",14,"51.2",0,321,17,18.8823529411765,6.25324675324675,18.1176470588235,126,2,0,"4/18"
