"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"GM Harris",2023-10-22,"Brisbane Heat","Perth Scorchers",1,136,59,12,11,230.508474576271,TRUE,"Women's Big Bash League","2023/24",1387176,"North Sydney Oval, Sydney","Sydney","Brisbane Heat","Perth Scorchers","Perth Scorchers","field","GM Harris","Brisbane Heat",NA,"50"
"A Gardner",2017-12-09,"Sydney Sixers","Melbourne Stars",1,114,52,9,10,219.230769230769,FALSE,"Women's Big Bash League","2017/18",1118474,"North Sydney Oval","Sydney","Sydney Sixers","Melbourne Stars","Melbourne Stars","field","A Gardner","Sydney Sixers",NA,"86"
"S Mandhana",2021-11-17,"Sydney Thunder","Melbourne Renegades",2,114,64,14,3,178.125,TRUE,"Women's Big Bash League","2021/22",1269102,"Ray Mitchell Oval, Harrup Park, Mackay","Mackay","Melbourne Renegades","Sydney Thunder","Sydney Thunder","field","S Mandhana","Melbourne Renegades",NA,"4"
"AJ Healy",2018-12-28,"Sydney Sixers","Adelaide Strikers",1,112,69,17,2,162.31884057971,TRUE,"Women's Big Bash League","2018/19",1152756,"Hurstville Oval","Sydney","Sydney Sixers","Adelaide Strikers","Adelaide Strikers","field","AJ Healy","Sydney Sixers",NA,"74"
"AJ Healy",2020-11-22,"Sydney Sixers","Melbourne Stars",2,111,52,15,6,213.461538461538,FALSE,"Women's Big Bash League","2020/21",1226959,"North Sydney Oval","Sydney","Melbourne Stars","Sydney Sixers","Sydney Sixers","field","AJ Healy","Sydney Sixers","5",NA
"AJ Healy",2022-11-13,"Sydney Sixers","Perth Scorchers",2,107,64,12,4,167.1875,TRUE,"Women's Big Bash League","2022/23",1323595,"Junction Oval, Melbourne","Melbourne","Perth Scorchers","Sydney Sixers","Sydney Sixers","field","AJ Healy","Sydney Sixers","6",NA
"RH Priest",2021-10-19,"Hobart Hurricanes","Melbourne Stars",1,107,68,10,7,157.352941176471,TRUE,"Women's Big Bash League","2021/22",1269060,"Bellerive Oval, Hobart","Hobart","Hobart Hurricanes","Melbourne Stars","Melbourne Stars","field","RH Priest","Hobart Hurricanes",NA,"63"
"SFM Devine",2023-11-09,"Perth Scorchers","Brisbane Heat",1,106,62,14,4,170.967741935484,FALSE,"Women's Big Bash League","2023/24",1387202,"Allan Border Field, Brisbane","Brisbane","Perth Scorchers","Brisbane Heat","Brisbane Heat","field","SFM Devine","Perth Scorchers",NA,"39"
"AJ Healy",2018-01-27,"Sydney Sixers","Adelaide Strikers",2,106,66,13,3,160.606060606061,FALSE,"Women's Big Bash League","2017/18",1118521,"Hurstville Oval","Sydney","Adelaide Strikers","Sydney Sixers","Adelaide Strikers","bat","AJ Healy","Sydney Sixers","7",NA
"EA Perry",2018-12-22,"Sydney Sixers","Brisbane Heat",1,103,64,10,5,160.9375,TRUE,"Women's Big Bash League","2018/19",1152748,"Sydney Cricket Ground","Sydney","Sydney Sixers","Brisbane Heat","Sydney Sixers","bat","EA Perry","Sydney Sixers",NA,"11"
"L Lee",2019-11-02,"Melbourne Stars","Perth Scorchers",1,103,65,13,3,158.461538461538,TRUE,"Women's Big Bash League","2019/20",1188399,"W.A.C.A. Ground","Perth","Perth Scorchers","Melbourne Stars","Perth Scorchers","field","L Lee","Melbourne Stars",NA,"20"
"SFM Devine",2020-11-08,"Perth Scorchers","Sydney Sixers",1,103,68,5,7,151.470588235294,FALSE,"Women's Big Bash League","2020/21",1226932,"Hurstville Oval","Sydney","Perth Scorchers","Sydney Sixers","Perth Scorchers","bat","SFM Devine","Perth Scorchers",NA,"36"
"BL Mooney",2019-01-12,"Brisbane Heat","Sydney Thunder",2,102,55,14,1,185.454545454545,FALSE,"Women's Big Bash League","2018/19",1152777,"Cazaly's Stadium","Cairns","Brisbane Heat","Sydney Thunder","Brisbane Heat","field","BL Mooney","Brisbane Heat","3",NA
"L Lee",2018-12-01,"Melbourne Stars","Sydney Sixers",2,102,56,16,3,182.142857142857,TRUE,"Women's Big Bash League","2018/19",1152726,"Junction Oval","Melbourne","Sydney Sixers","Melbourne Stars","Sydney Sixers","bat","L Lee","Melbourne Stars","7",NA
"EA Perry",2018-12-07,"Sydney Sixers","Perth Scorchers",2,102,59,14,2,172.881355932203,TRUE,"Women's Big Bash League","2018/19",1152729,"North Sydney Oval","Sydney","Sydney Sixers","Perth Scorchers","Perth Scorchers","bat","EA Perry","Sydney Sixers","6",NA
"GM Harris",2018-12-19,"Brisbane Heat","Melbourne Stars",2,101,42,13,6,240.47619047619,TRUE,"Women's Big Bash League","2018/19",1152745,"Brisbane Cricket Ground, Woolloongabba","Brisbane","Brisbane Heat","Melbourne Stars","Melbourne Stars","bat","GM Harris","Brisbane Heat","10",NA
"L Lee",2023-11-23,"Hobart Hurricanes","Melbourne Renegades",1,101,53,12,4,190.566037735849,TRUE,"Women's Big Bash League","2023/24",1387222,"Bellerive Oval, Hobart","Hobart","Hobart Hurricanes","Melbourne Renegades","Melbourne Renegades","field","L Lee","Hobart Hurricanes",NA,"93"
