"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"ML Schutt",2022-11-20,"Sydney Thunder","Adelaide Strikers",2,"3.3",0,19,6,5.42857142857143,14,"Women's Big Bash League","2022/23",1323609,"North Sydney Oval, Sydney","Sydney","Adelaide Strikers","Sydney Thunder","Sydney Thunder","field","ML Schutt","Adelaide Strikers",NA,"26"
"A Wellington",2021-11-24,"Brisbane Heat","Adelaide Strikers",1,"4.0",1,8,5,2,18,"Women's Big Bash League","2021/22",1269111,"Adelaide Oval","Adelaide","Brisbane Heat","Adelaide Strikers","Adelaide Strikers","field","A Wellington","Adelaide Strikers","8",NA
"A Wellington",2022-10-24,"Melbourne Renegades","Adelaide Strikers",1,"3.5",0,8,5,2.08695652173913,16,"Women's Big Bash League","2022/23",1323570,"Karen Rolton Oval, Adelaide","Adelaide","Melbourne Renegades","Adelaide Strikers","Adelaide Strikers","field","A Wellington","Adelaide Strikers","8",NA
"HJ Darlington",2023-11-10,"Melbourne Stars","Sydney Thunder",2,"4.0",0,10,5,2.5,16,"Women's Big Bash League","2023/24",1387203,"North Sydney Oval, Sydney","Sydney","Sydney Thunder","Melbourne Stars","Sydney Thunder","bat","HJ Darlington","Sydney Thunder",NA,"4"
"AE Satterthwaite",2017-01-16,"Sydney Thunder","Hobart Hurricanes",1,"4.0",0,17,5,4.25,11,"Women's Big Bash League","2016/17",1064709,"Bellerive Oval","Hobart","Sydney Thunder","Hobart Hurricanes","Sydney Thunder","bat","AE Satterthwaite","Hobart Hurricanes","6",NA
"LG Smith",2022-10-22,"Perth Scorchers","Sydney Thunder",2,"4.0",0,17,5,4.25,11,"Women's Big Bash League","2022/23",1323567,"Western Australia Cricket Association Ground, Perth","Perth","Sydney Thunder","Perth Scorchers","Perth Scorchers","field","LG Smith","Sydney Thunder",NA,"25"
"HK Matthews",2017-01-09,"Brisbane Heat","Hobart Hurricanes",1,"3.4",0,19,5,5.18181818181818,11,"Women's Big Bash League","2016/17",1064700,"Bellerive Oval","Hobart","Brisbane Heat","Hobart Hurricanes","Brisbane Heat","bat","HK Matthews","Hobart Hurricanes","8",NA
"EA Perry",2023-11-05,"Melbourne Renegades","Sydney Sixers",1,"3.5",0,22,5,5.73913043478261,14,"Women's Big Bash League","2023/24",1387196,"Western Australia Cricket Association Ground, Perth","Perth","Melbourne Renegades","Sydney Sixers","Sydney Sixers","field","EA Perry","Sydney Sixers","7",NA
"S Day",2023-11-08,"Sydney Sixers","Melbourne Stars",1,"4.0",0,25,5,6.25,7,"Women's Big Bash League","2023/24",1387199,"Jubilee Park, Ringwood, Melbourne","Melbourne","Sydney Sixers","Melbourne Stars","Melbourne Stars","field","S Day","Sydney Sixers",NA,"4"
"SFM Devine",2018-12-23,"Melbourne Stars","Adelaide Strikers",2,"4.0",0,41,5,10.25,10,"Women's Big Bash League","2018/19",1152750,"Adelaide Oval","Adelaide","Adelaide Strikers","Melbourne Stars","Melbourne Stars","field","SFM Devine","Adelaide Strikers",NA,"19"
"JL Barsby",2018-01-28,"Sydney Thunder","Brisbane Heat",1,"2.0",0,2,4,1,10,"Women's Big Bash League","2017/18",1118527,"Allan Border Field","Brisbane","Sydney Thunder","Brisbane Heat","Brisbane Heat","field","B Vakarewa","Sydney Thunder",NA,"2"
