"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Mohammed",3,20,30,66.6666666666667,6.66666666666667,2,0,0,0,0,10
"A Wellington",3,31,18,172.222222222222,31,5,0,2,0,0,15
"AA Alleyne",6,52,80,65,8.66666666666667,1,0,0,0,0,19
"AC Jayangani",2,21,23,91.304347826087,21,3,0,1,0,0,19
"ASS Fletcher",3,9,16,56.25,4.5,0,0,1,0,0,8
"B Cooper",5,13,21,61.9047619047619,2.6,1,0,0,0,0,5
"C Noel",1,4,11,36.3636363636364,4,0,0,0,0,0,4
"CA Henry",7,60,80,75,12,5,1,2,0,0,11
"CL Tryon",3,64,55,116.363636363636,21.3333333333333,4,4,0,0,0,38
"CN Nation",3,23,22,104.545454545455,11.5,2,0,1,0,0,12
"CS Fraser",1,0,1,0,0,0,0,0,0,0,0
"DJS Dottin",6,207,186,111.290322580645,34.5,19,7,0,0,1,59
"EA Burns",5,102,77,132.467532467532,51,10,2,3,0,1,53
"FC Jonas",3,3,8,37.5,3,0,0,2,0,0,2
"Fatima Sana",1,6,6,100,Inf,0,0,1,0,0,6
"G Kodali",3,8,18,44.4444444444444,4,0,0,1,0,0,6
"GH Lewis",5,159,140,113.571428571429,31.8,23,1,0,0,1,62
"HK Matthews",8,277,231,119.91341991342,34.625,33,4,0,0,1,82
"HNK Jensen",3,47,46,102.173913043478,47,3,2,2,0,0,25
"J Glasgow",1,0,1,0,0,0,0,0,0,0,0
"K Ramharack",2,2,2,100,2,0,0,1,0,0,1
"Kycia A Knight",4,77,96,80.2083333333333,19.25,4,1,0,0,0,30
"Kyshona A Knight",7,33,53,62.2641509433962,5.5,2,0,1,0,0,8
"L Harris",5,53,30,176.666666666667,10.6,3,6,0,0,0,30
"LAGL Kirby",5,57,89,64.0449438202247,11.4,7,2,0,0,0,30
"M Kelly",4,57,49,116.326530612245,14.25,10,0,0,0,0,28
"M Mangru",2,0,6,0,0,0,0,0,0,0,0
"M du Preez",4,51,45,113.333333333333,17,3,1,1,0,0,36
"NY McLean",7,121,111,109.009009009009,20.1666666666667,7,7,1,0,0,38
"O Prendergast",1,9,10,90,9,1,0,0,0,0,9
"Q Joseph",3,41,29,141.379310344828,41,1,3,2,0,0,30
"R Boyce",3,10,20,50,5,0,0,1,0,0,5
"R Vincent",1,1,1,100,1,0,0,0,0,0,1
"RS Williams",6,90,94,95.7446808510638,18,11,1,1,0,0,36
"S Gajnabi",4,6,11,54.5454545454545,2,0,0,1,0,0,4
"S Hector",1,1,2,50,1,0,0,0,0,0,1
"S Ismail",2,10,5,200,5,1,1,0,0,0,10
"S Luus",3,38,52,73.0769230769231,12.6666666666667,2,0,0,0,0,17
"S Ramnath",1,0,3,0,0,0,0,0,0,0,0
"SA Campbelle",4,89,83,107.228915662651,44.5,7,2,2,0,0,47
"SC Selman",2,6,7,85.7142857142857,Inf,0,0,2,0,0,5
"SFM Devine",5,253,182,139.010989010989,84.3333333333333,26,10,2,1,0,103
"SR Patil",2,4,7,57.1428571428571,2,0,0,0,0,0,3
"SR Taylor",6,117,113,103.53982300885,29.25,11,1,2,0,0,32
"SS Connell",4,7,15,46.6666666666667,7,0,0,3,0,0,4
"SS Grimmond",4,8,11,72.7272727272727,4,1,0,2,0,0,5
"SW Bates",5,123,116,106.034482758621,24.6,14,0,0,0,0,36
"Snigdha Paul",1,4,6,66.6666666666667,4,0,0,0,0,0,4
"T Holder",1,4,5,80,4,0,0,0,0,0,4
"Z James",3,7,27,25.9259259259259,2.33333333333333,0,0,0,0,0,4
