"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"HK Matthews",8,"30.0",0,196,12,16.3333333333333,6.53333333333333,15,81,0,0,"3/22"
"SR Patil",5,"18.0",1,105,9,11.6666666666667,5.83333333333333,12,64,1,0,"4/34"
"A Mohammed",6,"17.1",0,117,9,13,6.81553398058252,11.4444444444444,45,1,0,"4/28"
"A Wellington",5,"20.0",2,96,8,12,4.8,15,58,1,0,"4/23"
"SC Selman",6,"20.2",0,106,8,13.25,5.21311475409836,15.25,52,0,0,"2/15"
"S Ismail",5,"18.0",1,106,7,15.1428571428571,5.88888888888889,15.4285714285714,61,1,0,"4/30"
"M Kelly",3,"9.5",0,63,6,10.5,6.40677966101695,9.83333333333333,21,1,0,"4/30"
"K Ramharack",7,"25.0",0,185,6,30.8333333333333,7.4,25,60,0,0,"3/12"
"SS Grimmond",6,"15.0",0,98,5,19.6,6.53333333333333,18,45,0,0,"2/22"
"SFM Devine",5,"16.0",0,109,5,21.8,6.8125,19.2,56,0,0,"2/27"
"CS Fraser",4,"12.0",0,111,5,22.2,9.25,14.4,30,0,0,"3/21"
"EA Burns",5,"14.2",0,114,5,22.8,7.95348837209302,17.2,36,0,0,"3/19"
"SS Connell",6,"16.0",1,73,4,18.25,4.5625,24,58,0,0,"2/9"
"HNK Jensen",2,"6.0",0,32,3,10.6666666666667,5.33333333333333,12,19,0,0,"2/18"
"LAGL Kirby",2,"5.0",0,33,3,11,6.6,10,17,0,0,"2/32"
"Fatima Sana",2,"6.0",0,44,3,14.6666666666667,7.33333333333333,12,14,0,0,"2/27"
"S Gajnabi",2,"7.0",1,46,3,15.3333333333333,6.57142857142857,14,22,0,0,"2/19"
"Z James",3,"9.0",0,70,3,23.3333333333333,7.77777777777778,18,22,0,0,"2/34"
"FC Jonas",4,"13.3",0,94,3,31.3333333333333,6.96296296296296,27,34,0,0,"2/29"
"Q Joseph",5,"16.0",1,99,3,33,6.1875,32,50,0,0,"1/14"
"ASS Fletcher",7,"22.4",0,115,3,38.3333333333333,5.07352941176471,45.3333333333333,54,0,0,"1/6"
"A Khaka",2,"8.0",0,24,2,12,3,24,33,0,0,"1/11"
"S Luus",2,"8.0",0,31,2,15.5,3.875,24,23,0,0,"2/17"
"DJS Dottin",4,"4.0",0,36,2,18,9,12,9,0,0,"1/9"
"CL Tryon",1,"2.0",0,11,1,11,5.5,12,7,0,0,"1/11"
"JKC Claxton",1,"2.4",0,21,1,21,7.875,16,6,0,0,"1/21"
"G Kodali",3,"6.0",0,28,1,28,4.66666666666667,36,23,0,0,"1/13"
"S Ramnath",2,"3.0",0,28,1,28,9.33333333333333,18,7,0,0,"1/13"
"AA Alleyne",5,"11.0",0,90,1,90,8.18181818181818,66,24,0,0,"1/7"
"CA Henry",7,"17.0",0,112,1,112,6.58823529411765,102,56,0,0,"1/16"
"O Prendergast",1,"1.0",0,7,0,Inf,7,Inf,3,0,0,"0/7"
"J Glasgow",1,"1.0",0,9,0,Inf,9,Inf,3,0,0,"0/9"
"VN Watts",1,"2.0",0,17,0,Inf,8.5,Inf,4,0,0,"0/17"
"SW Bates",3,"7.4",0,56,0,Inf,7.30434782608696,Inf,13,0,0,"0/12"
