"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Mohammed","A Wellington",5,6,0,4,1,0,5,83.3333333333333,Inf
"A Mohammed","EA Burns",0,1,0,1,0,0,0,0,NA
"A Mohammed","HK Matthews",1,3,1,2,0,0,2,33.3333333333333,1
"A Mohammed","K Ramharack",2,3,1,1,0,0,4,66.6666666666667,2
"A Mohammed","S Ismail",8,5,1,2,1,0,9.6,160,8
"A Mohammed","SC Selman",2,7,0,5,0,0,1.71428571428571,28.5714285714286,Inf
"A Mohammed","SFM Devine",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Mohammed","SR Patil",1,2,0,1,0,0,3,50,Inf
"A Wellington","CS Fraser",6,3,0,0,1,0,12,200,Inf
"A Wellington","K Ramharack",9,3,0,0,2,0,18,300,Inf
"A Wellington","S Ismail",7,5,0,1,1,0,8.4,140,Inf
"A Wellington","SC Selman",1,1,0,0,0,0,6,100,Inf
"A Wellington","SFM Devine",2,3,0,2,0,0,4,66.6666666666667,Inf
"A Wellington","Z James",6,3,0,1,1,0,12,200,Inf
"AA Alleyne","A Khaka",5,11,0,8,0,0,2.72727272727273,45.4545454545455,Inf
"AA Alleyne","A Mohammed",3,2,0,0,0,0,9,150,Inf
"AA Alleyne","CS Fraser",1,2,0,1,0,0,3,50,Inf
"AA Alleyne","FC Jonas",1,2,0,1,0,0,3,50,Inf
"AA Alleyne","G Kodali",6,14,0,9,0,0,2.57142857142857,42.8571428571429,Inf
"AA Alleyne","HNK Jensen",5,5,1,3,1,0,6,100,5
"AA Alleyne","K Ramharack",1,3,0,2,0,0,2,33.3333333333333,Inf
"AA Alleyne","LAGL Kirby",2,4,0,2,0,0,3,50,Inf
"AA Alleyne","S Gajnabi",0,1,1,1,0,0,0,0,0
"AA Alleyne","S Ismail",2,4,1,2,0,0,3,50,2
"AA Alleyne","S Luus",2,3,0,1,0,0,4,66.6666666666667,Inf
"AA Alleyne","SC Selman",2,2,0,0,0,0,6,100,Inf
"AA Alleyne","SR Patil",5,8,1,5,0,0,3.75,62.5,5
"AA Alleyne","SS Connell",4,5,0,1,0,0,4.8,80,Inf
"AA Alleyne","SS Grimmond",11,11,1,5,0,0,6,100,11
"AA Alleyne","Z James",2,3,1,1,0,0,4,66.6666666666667,2
"AC Jayangani","CA Henry",4,8,0,7,1,0,3,50,Inf
"AC Jayangani","Fatima Sana",8,3,1,1,2,0,16,266.666666666667,8
"AC Jayangani","HK Matthews",0,1,0,1,0,0,0,0,NA
"AC Jayangani","Q Joseph",7,6,0,2,0,0,7,116.666666666667,Inf
"AC Jayangani","SS Grimmond",2,5,0,4,0,0,2.4,40,Inf
"ASS Fletcher","A Mohammed",5,5,0,1,0,0,6,100,Inf
"ASS Fletcher","DJS Dottin",0,1,1,1,0,0,0,0,0
"ASS Fletcher","HNK Jensen",0,1,1,1,0,0,0,0,0
"ASS Fletcher","K Ramharack",1,1,0,0,0,0,6,100,Inf
"ASS Fletcher","LAGL Kirby",0,1,0,1,0,0,0,0,NA
"ASS Fletcher","S Luus",3,6,0,3,0,0,3,50,Inf
"ASS Fletcher","SS Grimmond",0,1,0,1,0,0,0,0,NA
"B Cooper","A Wellington",0,1,1,1,0,0,0,0,0
"B Cooper","EA Burns",4,5,0,3,0,0,4.8,80,Inf
"B Cooper","HNK Jensen",0,1,0,1,0,0,0,0,NA
"B Cooper","LAGL Kirby",3,7,2,5,0,0,2.57142857142857,42.8571428571429,1.5
"B Cooper","S Gajnabi",0,1,1,1,0,0,0,0,0
"B Cooper","SFM Devine",5,2,0,0,1,0,15,250,Inf
"B Cooper","SR Patil",0,1,1,1,0,0,0,0,0
"B Cooper","SS Grimmond",1,3,0,2,0,0,2,33.3333333333333,Inf
"C Noel","ASS Fletcher",1,2,0,1,0,0,3,50,Inf
"C Noel","EA Burns",1,3,0,2,0,0,2,33.3333333333333,Inf
"C Noel","HK Matthews",2,6,1,5,0,0,2,33.3333333333333,2
"CA Henry","A Khaka",1,4,0,3,0,0,1.5,25,Inf
"CA Henry","A Mohammed",2,7,1,5,0,0,1.71428571428571,28.5714285714286,2
"CA Henry","CS Fraser",5,4,0,2,1,0,7.5,125,Inf
"CA Henry","K Ramharack",15,12,1,4,2,0,7.5,125,15
"CA Henry","S Gajnabi",0,6,0,6,0,0,0,0,NA
"CA Henry","S Ismail",6,5,0,1,0,0,7.2,120,Inf
"CA Henry","S Luus",8,15,1,10,0,0,3.2,53.3333333333333,8
"CA Henry","SC Selman",2,6,1,4,0,0,2,33.3333333333333,2
"CA Henry","SFM Devine",9,6,0,2,0,1,9,150,Inf
"CA Henry","SR Patil",0,2,0,2,0,0,0,0,NA
"CA Henry","SS Connell",0,6,1,6,0,0,0,0,0
"CA Henry","SW Bates",2,3,0,1,0,0,4,66.6666666666667,Inf
"CA Henry","Z James",10,4,0,1,2,0,15,250,Inf
"CL Tryon","A Khaka",2,2,0,0,0,0,6,100,Inf
"CL Tryon","A Mohammed",5,5,1,1,0,0,6,100,5
"CL Tryon","CS Fraser",2,6,1,4,0,0,2,33.3333333333333,2
"CL Tryon","G Kodali",0,2,0,2,0,0,0,0,NA
"CL Tryon","HNK Jensen",2,7,0,5,0,0,1.71428571428571,28.5714285714286,Inf
"CL Tryon","K Ramharack",1,4,0,3,0,0,1.5,25,Inf
"CL Tryon","LAGL Kirby",26,16,1,8,1,3,9.75,162.5,26
"CL Tryon","S Gajnabi",14,5,0,0,1,1,16.8,280,Inf
"CL Tryon","S Luus",1,1,0,0,0,0,6,100,Inf
"CL Tryon","SS Grimmond",11,7,0,3,2,0,9.42857142857143,157.142857142857,Inf
"CN Nation","A Mohammed",7,3,0,0,1,0,14,233.333333333333,Inf
"CN Nation","CA Henry",5,3,1,1,1,0,10,166.666666666667,5
"CN Nation","HK Matthews",2,6,0,5,0,0,2,33.3333333333333,Inf
"CN Nation","M Kelly",4,4,0,1,0,0,6,100,Inf
"CN Nation","SC Selman",4,4,0,1,0,0,6,100,Inf
"CN Nation","SR Patil",0,1,1,1,0,0,0,0,0
"CN Nation","Z James",1,1,0,0,0,0,6,100,Inf
"CS Fraser","Fatima Sana",0,1,1,1,0,0,0,0,0
"DJS Dottin","A Wellington",3,16,0,13,0,0,1.125,18.75,Inf
"DJS Dottin","AA Alleyne",11,7,0,1,1,0,9.42857142857143,157.142857142857,Inf
"DJS Dottin","ASS Fletcher",6,16,0,10,0,0,2.25,37.5,Inf
"DJS Dottin","CA Henry",10,9,0,5,2,0,6.66666666666667,111.111111111111,Inf
"DJS Dottin","CL Tryon",9,8,0,4,0,1,6.75,112.5,Inf
"DJS Dottin","CS Fraser",2,2,0,0,0,0,6,100,Inf
"DJS Dottin","EA Burns",11,6,0,2,2,0,11,183.333333333333,Inf
"DJS Dottin","Fatima Sana",10,4,0,1,2,0,15,250,Inf
"DJS Dottin","HK Matthews",22,26,3,12,1,1,5.07692307692308,84.6153846153846,7.33333333333333
"DJS Dottin","JKC Claxton",14,11,0,3,2,0,7.63636363636364,127.272727272727,Inf
"DJS Dottin","K Ramharack",13,9,1,1,1,0,8.66666666666667,144.444444444444,13
"DJS Dottin","Q Joseph",10,10,0,4,1,0,6,100,Inf
"DJS Dottin","S Gajnabi",12,8,1,4,1,1,9,150,12
"DJS Dottin","S Ismail",5,2,0,0,1,0,15,250,Inf
"DJS Dottin","SC Selman",22,20,0,9,1,1,6.6,110,Inf
"DJS Dottin","SFM Devine",16,8,1,3,2,1,12,200,16
"DJS Dottin","SR Patil",11,8,0,2,0,1,8.25,137.5,Inf
"DJS Dottin","SS Connell",1,4,0,3,0,0,1.5,25,Inf
"DJS Dottin","SS Grimmond",14,8,0,3,1,1,10.5,175,Inf
"DJS Dottin","SW Bates",5,4,0,2,1,0,7.5,125,Inf
"EA Burns","CS Fraser",22,11,0,3,4,0,12,200,Inf
"EA Burns","FC Jonas",9,5,0,2,0,1,10.8,180,Inf
"EA Burns","K Ramharack",20,7,0,0,2,1,17.1428571428571,285.714285714286,Inf
"EA Burns","M Kelly",2,3,1,1,0,0,4,66.6666666666667,2
"EA Burns","S Ismail",10,12,0,5,1,0,5,83.3333333333333,Inf
"EA Burns","S Ramnath",2,2,0,0,0,0,6,100,Inf
"EA Burns","SC Selman",10,9,0,1,0,0,6.66666666666667,111.111111111111,Inf
"EA Burns","SFM Devine",4,6,0,2,0,0,4,66.6666666666667,Inf
"EA Burns","SR Patil",5,10,1,6,0,0,3,50,5
"EA Burns","SW Bates",16,7,0,1,3,0,13.7142857142857,228.571428571429,Inf
"EA Burns","Z James",2,5,0,3,0,0,2.4,40,Inf
"FC Jonas","ASS Fletcher",1,1,0,0,0,0,6,100,Inf
"FC Jonas","HK Matthews",1,2,0,1,0,0,3,50,Inf
"FC Jonas","K Ramharack",1,2,0,1,0,0,3,50,Inf
"FC Jonas","S Ismail",0,1,0,1,0,0,0,0,NA
"FC Jonas","SR Patil",0,2,1,2,0,0,0,0,0
"Fatima Sana","A Mohammed",4,3,0,0,0,0,8,133.333333333333,Inf
"Fatima Sana","S Luus",2,3,0,1,0,0,4,66.6666666666667,Inf
