"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Mohammed",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",3,20,30,66.6666666666667,6.66666666666667,2,0,0,0,0,10
"A Wellington",2023,"Women's Caribbean Premier League","Barbados Royals",3,31,18,172.222222222222,31,5,0,2,0,0,15
"AA Alleyne",2022,"Women's Caribbean Premier League","Barbados Royals",3,36,56,64.2857142857143,12,1,0,0,0,0,19
"AA Alleyne",2023,"Women's Caribbean Premier League","Barbados Royals",3,16,24,66.6666666666667,5.33333333333333,0,0,0,0,0,10
"AC Jayangani",2022,"Women's Caribbean Premier League","Guyana Amazon Warriors",2,21,23,91.304347826087,21,3,0,1,0,0,19
"ASS Fletcher",2022,"Women's Caribbean Premier League","Barbados Royals",2,8,15,53.3333333333333,4,0,0,0,0,0,8
"ASS Fletcher",2023,"Women's Caribbean Premier League","Barbados Royals",1,1,1,100,Inf,0,0,1,0,0,1
"B Cooper",2022,"Women's Caribbean Premier League","Barbados Royals",3,4,12,33.3333333333333,1.33333333333333,0,0,0,0,0,4
"B Cooper",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",2,9,9,100,4.5,1,0,0,0,0,5
"C Noel",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",1,4,11,36.3636363636364,4,0,0,0,0,0,4
"CA Henry",2022,"Women's Caribbean Premier League","Barbados Royals",3,21,48,43.75,7,1,0,0,0,0,11
"CA Henry",2023,"Women's Caribbean Premier League","Barbados Royals",4,39,32,121.875,19.5,4,1,2,0,0,10
"CL Tryon",2022,"Women's Caribbean Premier League","Barbados Royals",3,64,55,116.363636363636,21.3333333333333,4,4,0,0,0,38
"CN Nation",2022,"Women's Caribbean Premier League","Guyana Amazon Warriors",1,11,13,84.6153846153846,11,1,0,0,0,0,11
"CN Nation",2023,"Women's Caribbean Premier League","Barbados Royals",2,12,9,133.333333333333,12,1,0,1,0,0,12
"CS Fraser",2022,"Women's Caribbean Premier League","Guyana Amazon Warriors",1,0,1,0,0,0,0,0,0,0,0
"DJS Dottin",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",3,100,95,105.263157894737,33.3333333333333,7,4,0,0,1,59
"DJS Dottin",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",3,107,91,117.582417582418,35.6666666666667,12,3,0,0,0,47
"EA Burns",2023,"Women's Caribbean Premier League","Barbados Royals",5,102,77,132.467532467532,51,10,2,3,0,1,53
"FC Jonas",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",3,3,8,37.5,3,0,0,2,0,0,2
"Fatima Sana",2022,"Women's Caribbean Premier League","Barbados Royals",1,6,6,100,Inf,0,0,1,0,0,6
"G Kodali",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",3,8,18,44.4444444444444,4,0,0,1,0,0,6
"GH Lewis",2023,"Women's Caribbean Premier League","Barbados Royals",5,159,140,113.571428571429,31.8,23,1,0,0,1,62
"HK Matthews",2022,"Women's Caribbean Premier League","Barbados Royals",3,86,87,98.8505747126437,28.6666666666667,8,0,0,0,0,46
"HK Matthews",2023,"Women's Caribbean Premier League","Barbados Royals",5,191,144,132.638888888889,38.2,25,4,0,0,1,82
"HNK Jensen",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",3,47,46,102.173913043478,47,3,2,2,0,0,25
"J Glasgow",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",1,0,1,0,0,0,0,0,0,0,0
"K Ramharack",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",2,2,2,100,2,0,0,1,0,0,1
"Kycia A Knight",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",4,77,96,80.2083333333333,19.25,4,1,0,0,0,30
"Kyshona A Knight",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",3,21,34,61.7647058823529,7,1,0,0,0,0,8
"Kyshona A Knight",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",4,12,19,63.1578947368421,4,1,0,1,0,0,7
"L Harris",2023,"Women's Caribbean Premier League","Barbados Royals",5,53,30,176.666666666667,10.6,3,6,0,0,0,30
"LAGL Kirby",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",3,41,55,74.5454545454545,13.6666666666667,5,2,0,0,0,30
"LAGL Kirby",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",2,16,34,47.0588235294118,8,2,0,0,0,0,8
"M Kelly",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",4,57,49,116.326530612245,14.25,10,0,0,0,0,28
"M Mangru",2022,"Women's Caribbean Premier League","Barbados Royals",2,0,6,0,0,0,0,0,0,0,0
"M du Preez",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",4,51,45,113.333333333333,17,3,1,1,0,0,36
"NY McLean",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",3,30,50,60,10,1,1,0,0,0,20
"NY McLean",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",4,91,61,149.180327868852,30.3333333333333,6,6,1,0,0,38
"O Prendergast",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",1,9,10,90,9,1,0,0,0,0,9
"Q Joseph",2022,"Women's Caribbean Premier League","Barbados Royals",3,41,29,141.379310344828,41,1,3,2,0,0,30
"R Boyce",2022,"Women's Caribbean Premier League","Barbados Royals",3,10,20,50,5,0,0,1,0,0,5
"R Vincent",2022,"Women's Caribbean Premier League","Guyana Amazon Warriors",1,1,1,100,1,0,0,0,0,0,1
"RS Williams",2022,"Women's Caribbean Premier League","Guyana Amazon Warriors",2,23,35,65.7142857142857,23,2,0,1,0,0,16
"RS Williams",2023,"Women's Caribbean Premier League","Barbados Royals",4,67,59,113.559322033898,16.75,9,1,0,0,0,36
"S Gajnabi",2022,"Women's Caribbean Premier League","Guyana Amazon Warriors",1,0,0,NA,0,0,0,0,0,0,0
"S Gajnabi",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",3,6,11,54.5454545454545,3,0,0,1,0,0,4
"S Hector",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",1,1,2,50,1,0,0,0,0,0,1
"S Ismail",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",2,10,5,200,5,1,1,0,0,0,10
"S Luus",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",3,38,52,73.0769230769231,12.6666666666667,2,0,0,0,0,17
"S Ramnath",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",1,0,3,0,0,0,0,0,0,0,0
"SA Campbelle",2022,"Women's Caribbean Premier League","Guyana Amazon Warriors",1,16,25,64,16,0,0,0,0,0,16
"SA Campbelle",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",3,73,58,125.862068965517,73,7,2,2,0,0,47
"SC Selman",2022,"Women's Caribbean Premier League","Barbados Royals",1,5,6,83.3333333333333,Inf,0,0,1,0,0,5
"SC Selman",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",1,1,1,100,Inf,0,0,1,0,0,1
"SFM Devine",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",5,253,182,139.010989010989,84.3333333333333,26,10,2,1,0,103
"SR Patil",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",2,4,7,57.1428571428571,2,0,0,0,0,0,3
"SR Taylor",2022,"Women's Caribbean Premier League","Guyana Amazon Warriors",1,32,34,94.1176470588235,Inf,2,0,1,0,0,32
"SR Taylor",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",5,85,79,107.594936708861,21.25,9,1,1,0,0,32
"SS Connell",2022,"Women's Caribbean Premier League","Guyana Amazon Warriors",1,0,1,0,NA,0,0,1,0,0,0
"SS Connell",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",3,7,14,50,7,0,0,2,0,0,4
"SS Grimmond",2022,"Women's Caribbean Premier League","Trinbago Knight Riders",2,3,7,42.8571428571429,Inf,0,0,2,0,0,2
"SS Grimmond",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",2,5,4,125,2.5,1,0,0,0,0,5
"SW Bates",2023,"Women's Caribbean Premier League","Guyana Amazon Warriors",5,123,116,106.034482758621,24.6,14,0,0,0,0,36
"Snigdha Paul",2022,"Women's Caribbean Premier League","Barbados Royals",1,4,6,66.6666666666667,4,0,0,0,0,0,4
"T Holder",2023,"Women's Caribbean Premier League","Barbados Royals",1,4,5,80,4,0,0,0,0,0,4
"Z James",2023,"Women's Caribbean Premier League","Trinbago Knight Riders",3,7,27,25.9259259259259,2.33333333333333,0,0,0,0,0,4
