"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"SR Patil","Guyana Amazon Warriors",2023,"Women's Caribbean Premier League",5,"18.0",1,105,9,11.6666666666667,5.83333333333333,12,64,1,0,"4/34"
"A Wellington","Barbados Royals",2023,"Women's Caribbean Premier League",5,"20.0",2,96,8,12,4.8,15,58,1,0,"4/23"
"S Ismail","Guyana Amazon Warriors",2023,"Women's Caribbean Premier League",5,"18.0",1,106,7,15.1428571428571,5.88888888888889,15.4285714285714,61,1,0,"4/30"
"HK Matthews","Barbados Royals",2023,"Women's Caribbean Premier League",5,"18.0",0,134,7,19.1428571428571,7.44444444444444,15.4285714285714,45,0,0,"2/16"
"M Kelly","Trinbago Knight Riders",2023,"Women's Caribbean Premier League",3,"9.5",0,63,6,10.5,6.40677966101695,9.83333333333333,21,1,0,"4/30"
"K Ramharack","Guyana Amazon Warriors",2023,"Women's Caribbean Premier League",5,"17.0",0,123,6,20.5,7.23529411764706,17,44,0,0,"3/12"
"SC Selman","Barbados Royals",2022,"Women's Caribbean Premier League",3,"12.0",0,56,5,11.2,4.66666666666667,14.4,32,0,0,"2/16"
"HK Matthews","Barbados Royals",2022,"Women's Caribbean Premier League",3,"12.0",0,62,5,12.4,5.16666666666667,14.4,36,0,0,"3/22"
"A Mohammed","Trinbago Knight Riders",2023,"Women's Caribbean Premier League",4,"11.3",0,92,5,18.4,8,13.8,31,1,0,"4/28"
"SFM Devine","Guyana Amazon Warriors",2023,"Women's Caribbean Premier League",5,"16.0",0,109,5,21.8,6.8125,19.2,56,0,0,"2/27"
"EA Burns","Barbados Royals",2023,"Women's Caribbean Premier League",5,"14.2",0,114,5,22.8,7.95348837209302,17.2,36,0,0,"3/19"
"A Mohammed","Trinbago Knight Riders",2022,"Women's Caribbean Premier League",2,"5.4",0,25,4,6.25,4.41176470588235,8.5,14,0,0,"3/16"
