"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SFM Devine",2023-08-31,"Guyana Amazon Warriors","Barbados Royals",1,103,64,10,5,160.9375,TRUE,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"HK Matthews",2023-09-10,"Barbados Royals","Guyana Amazon Warriors",1,82,59,10,2,138.983050847458,FALSE,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"GH Lewis",2023-09-06,"Barbados Royals","Trinbago Knight Riders",2,62,51,6,1,121.56862745098,FALSE,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"DJS Dottin",2022-09-04,"Trinbago Knight Riders","Barbados Royals",1,59,62,4,2,95.1612903225806,FALSE,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
"EA Burns",2023-09-03,"Barbados Royals","Guyana Amazon Warriors",2,53,41,6,0,129.268292682927,TRUE,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
"SFM Devine",2023-09-05,"Guyana Amazon Warriors","Trinbago Knight Riders",1,48,39,4,1,123.076923076923,FALSE,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"DJS Dottin",2023-09-06,"Trinbago Knight Riders","Barbados Royals",1,47,51,6,0,92.156862745098,FALSE,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"GH Lewis",2023-08-31,"Barbados Royals","Guyana Amazon Warriors",2,47,35,8,0,134.285714285714,FALSE,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"SA Campbelle",2023-09-10,"Guyana Amazon Warriors","Barbados Royals",2,47,35,4,2,134.285714285714,TRUE,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"HK Matthews",2022-09-04,"Barbados Royals","Trinbago Knight Riders",2,46,49,3,0,93.8775510204082,FALSE,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
"HK Matthews",2023-09-06,"Barbados Royals","Trinbago Knight Riders",2,45,33,3,2,136.363636363636,FALSE,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"SFM Devine",2023-09-03,"Guyana Amazon Warriors","Barbados Royals",1,42,40,6,0,105,FALSE,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
