"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"HK Matthews",2024-08-26,"Guyana Amazon Warriors","Barbados Royals",2,"4.0",0,14,4,3.5,16,"Women's Caribbean Premier League",2024,1443203,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","Q Joseph","Barbados Royals",NA,"17"
"S Ismail",2024-08-21,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",0,16,4,4,15,"Women's Caribbean Premier League",2024,1443199,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","HK Matthews","Barbados Royals","1",NA
"AA Alleyne",2024-08-29,"Trinbago Knight Riders","Barbados Royals",1,"4.0",0,21,4,5.25,15,"Women's Caribbean Premier League",2024,1443205,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","AA Alleyne","Barbados Royals","4",NA
"CL Tryon",2024-08-23,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"4.0",0,21,4,5.25,12,"Women's Caribbean Premier League",2024,1443201,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Guyana Amazon Warriors","field","EA Burns","Guyana Amazon Warriors","8",NA
"A Wellington",2023-09-10,"Guyana Amazon Warriors","Barbados Royals",2,"4.0",0,23,4,5.75,10,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"A Mohammed",2023-09-05,"Guyana Amazon Warriors","Trinbago Knight Riders",1,"4.0",0,28,4,7,12,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"M Kelly",2023-09-05,"Guyana Amazon Warriors","Trinbago Knight Riders",1,"3.5",0,30,4,7.82608695652174,9,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"S Ismail",2023-09-10,"Barbados Royals","Guyana Amazon Warriors",1,"4.0",0,30,4,7.5,13,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"SR Patil",2023-09-03,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",0,34,4,8.5,12,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
"K Ramharack",2023-09-09,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"4.0",0,12,3,3,15,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"A Mohammed",2022-09-04,"Barbados Royals","Trinbago Knight Riders",2,"3.4",0,16,3,4.36363636363636,9,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
"Q Joseph",2024-08-26,"Guyana Amazon Warriors","Barbados Royals",2,"4.0",0,16,3,4,11,"Women's Caribbean Premier League",2024,1443203,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","Q Joseph","Barbados Royals",NA,"17"
"EA Burns",2023-09-02,"Trinbago Knight Riders","Barbados Royals",1,"4.0",0,19,3,4.75,15,"Women's Caribbean Premier League",2023,1380590,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","EA Burns","Barbados Royals","6",NA
"AA Alleyne",2024-08-21,"Guyana Amazon Warriors","Barbados Royals",1,"4.0",0,21,3,5.25,12,"Women's Caribbean Premier League",2024,1443199,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","HK Matthews","Barbados Royals","1",NA
"CS Fraser",2022-09-01,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"4.0",0,21,3,5.25,14,"Women's Caribbean Premier League",2022,1323179,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Guyana Amazon Warriors","Guyana Amazon Warriors","field",NA,NA,NA,NA
"HK Matthews",2022-09-04,"Trinbago Knight Riders","Barbados Royals",1,"4.0",0,22,3,5.5,11,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
"EA Burns",2024-08-26,"Barbados Royals","Guyana Amazon Warriors",1,"4.0",0,31,3,7.75,10,"Women's Caribbean Premier League",2024,1443203,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","Q Joseph","Barbados Royals",NA,"17"
"SS Connell",2022-09-03,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",1,9,2,2.25,16,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
