"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Brindle",14,213,240,88.75,26.625,19,0,6,0,0,45
"A Cranstone",8,27,34,79.4117647058823,6.75,2,0,4,0,0,9
"A Griffiths",1,1,2,50,1,0,0,0,0,0,1
"A Hartley",9,14,25,56,3.5,1,0,5,0,0,12
"A Shrubsole",8,27,39,69.2307692307692,4.5,3,1,2,0,0,12
"A Wellington",9,88,60,146.666666666667,14.6666666666667,13,1,3,0,0,24
"AC Jayangani",23,416,405,102.716049382716,19.8095238095238,52,9,2,0,1,66
"AC Kerr",8,61,69,88.4057971014493,8.71428571428571,5,0,1,0,0,26
"AE Jones",30,636,542,117.343173431734,25.44,73,12,5,0,4,74
"AE Satterthwaite",19,517,448,115.401785714286,32.3125,66,7,3,0,3,85
"AG Gordon",2,3,9,33.3333333333333,3,0,0,1,0,0,3
"AJ Blackwell",4,52,54,96.2962962962963,13,4,0,0,0,0,23
"AJ Freeborn",3,45,42,107.142857142857,45,7,0,2,0,0,16
"AJ Healy",10,248,183,135.51912568306,24.8,38,5,0,0,1,77
"AJ Macleod",7,48,65,73.8461538461538,12,4,0,3,0,0,30
"AL Nicholls",3,11,15,73.3333333333333,3.66666666666667,1,0,0,0,0,5
"AN Davidson-Richards",26,327,375,87.2,14.2173913043478,27,3,3,0,0,33
"AZ Monaghan",3,2,8,25,1,0,0,1,0,0,1
"BA Langston",13,68,82,82.9268292682927,6.18181818181818,6,1,2,0,0,16
"BAM Heath",9,46,57,80.7017543859649,6.57142857142857,3,0,2,0,0,24
"BF Smith",30,339,369,91.869918699187,11.6896551724138,49,3,1,0,0,39
"BL Mooney",13,349,274,127.372262773723,29.0833333333333,50,0,1,0,3,76
"BL Morgan",4,16,27,59.2592592592593,5.33333333333333,1,0,1,0,0,7
"C Nicholas",3,6,13,46.1538461538462,6,0,0,2,0,0,4
"CE Dean",4,7,12,58.3333333333333,Inf,0,0,4,0,0,3
"CE Rudd",11,23,22,104.545454545455,4.6,2,0,6,0,0,8
"CL Griffith",8,53,77,68.8311688311688,6.625,6,0,0,0,0,14
"CM Edwards",6,84,81,103.703703703704,16.8,11,1,1,0,0,30
"D Hazell",16,118,139,84.8920863309353,8.42857142857143,8,5,2,0,0,37
"D van Niekerk",22,369,383,96.3446475195822,18.45,43,8,2,0,1,91
"DB Sharma",7,106,73,145.205479452055,53,15,0,5,0,0,39
"DJS Dottin",4,62,59,105.084745762712,15.5,9,1,0,0,0,42
"DM Kimmince",8,107,91,117.582417582418,17.8333333333333,10,2,2,0,1,55
"DN Wyatt",29,768,534,143.820224719101,28.4444444444444,99,24,2,1,4,110
