"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Ecclestone",29,"109.0",1,672,38,17.6842105263158,6.1651376146789,17.2105263157895,330,1,0,"4/20"
"FR Davies",36,"121.5",2,878,37,23.7297297297297,7.20656634746922,19.7567567567568,323,2,0,"4/18"
"NE Farrant",28,"96.4",2,636,35,18.1714285714286,6.57931034482759,16.5714285714286,293,0,0,"3/16"
"SR Taylor",31,"100.5",1,656,34,19.2941176470588,6.50578512396694,17.7941176470588,256,2,0,"4/5"
"SW Bates",32,"98.3",0,724,34,21.2941176470588,7.3502538071066,17.3823529411765,229,1,0,"4/26"
"A Shrubsole",33,"113.5",2,805,34,23.6764705882353,7.07174231332357,20.0882352941176,299,0,1,"5/23"
"A Hartley",31,"110.2",0,825,33,25,7.4773413897281,20.0606060606061,234,0,0,"3/11"
"D van Niekerk",23,"80.2",0,529,32,16.53125,6.5850622406639,15.0625,188,0,0,"3/20"
"LCN Smith",31,"110.3",1,715,32,22.34375,6.47058823529412,20.71875,311,1,0,"4/10"
"NR Sciver",31,"100.5",2,777,32,24.28125,7.70578512396694,18.90625,259,1,0,"4/32"
"KL Gordon",21,"71.4",0,434,28,15.5,6.05581395348837,15.3571428571429,176,0,0,"3/13"
"JL Gunn",29,"83.5",2,584,28,20.8571428571429,6.9662027833002,17.9642857142857,213,0,0,"3/10"
"KA Levick",27,"89.3",0,586,28,20.9285714285714,6.54748603351955,19.1785714285714,212,0,0,"3/21"
"LA Marsh",29,"105.3",2,751,28,26.8214285714286,7.11848341232227,22.6071428571429,253,0,0,"3/17"
"C Nicholas",27,"87.1",3,576,27,21.3333333333333,6.60803059273423,19.3703703703704,254,0,0,"3/11"
"AN Davidson-Richards",22,"65.3",0,530,25,21.2,8.09160305343512,15.72,136,0,0,"3/20"
"M Kapp",31,"101.2",5,545,25,21.8,5.37828947368421,24.32,352,0,0,"3/11"
