"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SW Bates",2017-08-15,"Southern Vipers","Loughborough Lightning",1,119,72,15,4,165.277777777778,TRUE,"Women's Cricket Super League",2017,1093480,"County Ground, Derby","Derby","Southern Vipers","Loughborough Lightning","Loughborough Lightning","field","SW Bates","Southern Vipers",NA,"46"
"JI Rodrigues",2019-08-25,"Yorkshire Diamonds","Southern Vipers",2,112,58,17,1,193.103448275862,TRUE,"Women's Cricket Super League",2019,1167293,"York Cricket Club","York","Southern Vipers","Yorkshire Diamonds","Yorkshire Diamonds","field","JI Rodrigues","Yorkshire Diamonds","4",NA
"DN Wyatt",2019-08-18,"Southern Vipers","Surrey Stars",1,110,60,9,7,183.333333333333,FALSE,"Women's Cricket Super League",2019,1167283,"Arundel Castle Cricket Club Ground","Arundel","Southern Vipers","Surrey Stars","Surrey Stars","field","DN Wyatt","Southern Vipers",NA,"89"
"RH Priest",2017-08-20,"Western Storm","Yorkshire Diamonds",2,106,65,14,3,163.076923076923,TRUE,"Women's Cricket Super League",2017,1093485,"Clifton Park Ground, York","York","Yorkshire Diamonds","Western Storm","Western Storm","field","RH Priest","Western Storm","10",NA
"L Lee",2018-08-27,"Surrey Stars","Loughborough Lightning",1,104,58,13,6,179.310344827586,FALSE,"Women's Cricket Super League",2018,1127424,"County Ground, Hove","Brighton","Surrey Stars","Loughborough Lightning","Loughborough Lightning","field","L Lee","Surrey Stars",NA,"66"
"S Mandhana",2018-08-03,"Western Storm","Lancashire Thunder",2,102,61,12,4,167.213114754098,FALSE,"Women's Cricket Super League",2018,1127407,"Old Trafford, Manchester","Manchester","Lancashire Thunder","Western Storm","Western Storm","field",NA,"Western Storm","7",NA
"HC Knight",2018-07-22,"Western Storm","Yorkshire Diamonds",2,97,62,13,5,156.451612903226,FALSE,"Women's Cricket Super League",2018,1127395,"The Cooper Associates County Ground, Taunton","Taunton","Yorkshire Diamonds","Western Storm","Western Storm","field","HC Knight","Western Storm","7",NA
"NR Sciver",2018-07-31,"Surrey Stars","Lancashire Thunder",1,95,57,9,2,166.666666666667,TRUE,"Women's Cricket Super League",2018,1127403,"Kennington Oval, London","London","Surrey Stars","Lancashire Thunder","Lancashire Thunder","field","NE Bolton","Lancashire Thunder","5",NA
"D van Niekerk",2016-08-12,"Loughborough Lightning","Surrey Stars",1,91,64,13,3,142.1875,FALSE,"Women's Cricket Super League",2016,993663,"Haslegrave Ground, Loughborough","Loughborough","Loughborough Lightning","Surrey Stars","Surrey Stars","field",NA,"Loughborough Lightning",NA,"34"
"NR Sciver",2016-08-07,"Surrey Stars","Western Storm",1,90,45,16,2,200,TRUE,"Women's Cricket Super League",2016,993657,"County Ground, Bristol","Bristol","Surrey Stars","Western Storm","Surrey Stars","bat",NA,"Western Storm","5",NA
"RH Priest",2019-08-25,"Western Storm","Surrey Stars",1,89,55,10,6,161.818181818182,FALSE,"Women's Cricket Super League",2019,1167294,"Woodbridge Road, Guildford","Guildford","Western Storm","Surrey Stars","Surrey Stars","field","RH Priest","Western Storm",NA,"77"
"NE Bolton",2018-07-31,"Lancashire Thunder","Surrey Stars",2,87,61,13,0,142.622950819672,FALSE,"Women's Cricket Super League",2018,1127403,"Kennington Oval, London","London","Surrey Stars","Lancashire Thunder","Lancashire Thunder","field","NE Bolton","Lancashire Thunder","5",NA
"AE Satterthwaite",2018-08-03,"Lancashire Thunder","Western Storm",1,85,57,11,3,149.122807017544,TRUE,"Women's Cricket Super League",2018,1127407,"Old Trafford, Manchester","Manchester","Lancashire Thunder","Western Storm","Western Storm","field",NA,"Western Storm","7",NA
"SW Bates",2018-08-14,"Southern Vipers","Surrey Stars",1,82,57,13,1,143.859649122807,FALSE,"Women's Cricket Super League",2018,1127417,"County Ground, Hove","Brighton","Southern Vipers","Surrey Stars","Surrey Stars","field","NR Sciver","Surrey Stars","4",NA
"EA Perry",2017-08-20,"Loughborough Lightning","Lancashire Thunder",1,78,57,10,1,136.842105263158,TRUE,"Women's Cricket Super League",2017,1093483,"Stanley Park, Blackpool","Blackpool","Loughborough Lightning","Lancashire Thunder","Loughborough Lightning","bat","EA Perry","Loughborough Lightning",NA,"50"
"HC Knight",2019-09-01,"Western Storm","Southern Vipers",2,78,53,9,3,147.169811320755,TRUE,"Women's Cricket Super League",2019,1167300,"County Ground, Hove","Brighton","Southern Vipers","Western Storm","Southern Vipers","bat","HC Knight","Western Storm","6",NA
"SR Taylor",2016-08-12,"Western Storm","Southern Vipers",2,78,51,10,1,152.941176470588,TRUE,"Women's Cricket Super League",2016,993665,"County Ground, Taunton","Taunton","Southern Vipers","Western Storm","Southern Vipers","bat",NA,"Western Storm","8",NA
"AJ Healy",2019-08-23,"Yorkshire Diamonds","Lancashire Thunder",2,77,38,12,3,202.631578947368,FALSE,"Women's Cricket Super League",2019,1167290,"North Marine Road Ground, Scarborough","Scarborough","Lancashire Thunder","Yorkshire Diamonds","Lancashire Thunder","bat","AJ Healy","Yorkshire Diamonds","4",NA
"BL Mooney",2018-08-18,"Yorkshire Diamonds","Loughborough Lightning",1,76,50,10,0,152,FALSE,"Women's Cricket Super League",2018,1127421,"Headingley, Leeds","Leeds","Yorkshire Diamonds","Loughborough Lightning","Yorkshire Diamonds","bat",NA,"Yorkshire Diamonds",NA,"3"
"HC Knight",2018-08-09,"Western Storm","Lancashire Thunder",1,76,50,9,1,152,FALSE,"Women's Cricket Super League",2018,1127413,"The Cooper Associates County Ground, Taunton","Taunton","Western Storm","Lancashire Thunder","Lancashire Thunder","field",NA,"Western Storm",NA,"76"
"L Lee",2019-08-28,"Surrey Stars","Lancashire Thunder",1,75,28,13,3,267.857142857143,FALSE,"Women's Cricket Super League",2019,1167295,"Stanley Park, Blackpool","Blackpool","Surrey Stars","Lancashire Thunder","Lancashire Thunder","field","L Lee","Surrey Stars",NA,"35"
"AE Jones",2019-08-28,"Loughborough Lightning","Southern Vipers",1,74,53,7,3,139.622641509434,TRUE,"Women's Cricket Super League",2019,1167297,"The Rose Bowl, Southampton","Southampton","Loughborough Lightning","Southern Vipers","Southern Vipers","field","AE Jones","Loughborough Lightning",NA,"36"
"SR Taylor",2016-08-07,"Western Storm","Surrey Stars",2,74,48,6,5,154.166666666667,TRUE,"Women's Cricket Super League",2016,993657,"County Ground, Bristol","Bristol","Surrey Stars","Western Storm","Surrey Stars","bat",NA,"Western Storm","5",NA
"HC Knight",2016-08-05,"Western Storm","Loughborough Lightning",2,74,46,9,1,160.869565217391,FALSE,"Women's Cricket Super League",2016,993655,"Haslegrave Ground, Loughborough","Loughborough","Loughborough Lightning","Western Storm","Loughborough Lightning","bat",NA,"Loughborough Lightning",NA,"5"
