"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"FR Davies","Western Storm",2019,"Women's Cricket Super League",11,"39.0",1,251,19,13.2105263157895,6.43589743589744,12.3157894736842,109,2,0,"4/18"
"KL Gordon","Loughborough Lightning",2018,"Women's Cricket Super League",11,"35.0",0,212,17,12.4705882352941,6.05714285714286,12.3529411764706,82,0,0,"3/13"
"SFM Devine","Loughborough Lightning",2018,"Women's Cricket Super League",11,"35.5",1,259,16,16.1875,7.22790697674419,13.4375,110,0,0,"3/15"
"S Ecclestone","Lancashire Thunder",2018,"Women's Cricket Super League",10,"36.0",1,231,15,15.4,6.41666666666667,14.4,109,1,0,"4/20"
"A Wellington","Southern Vipers",2019,"Women's Cricket Super League",11,"41.0",0,281,15,18.7333333333333,6.85365853658537,16.4,104,0,0,"3/22"
"NE Farrant","Southern Vipers",2019,"Women's Cricket Super League",10,"33.4",0,223,14,15.9285714285714,6.62376237623762,14.4285714285714,96,0,0,"3/18"
"JL Gunn","Loughborough Lightning",2018,"Women's Cricket Super League",11,"33.0",1,226,14,16.1428571428571,6.84848484848485,14.1428571428571,93,0,0,"3/10"
"D van Niekerk","Surrey Stars",2018,"Women's Cricket Super League",9,"29.0",0,192,13,14.7692307692308,6.62068965517241,13.3846153846154,62,0,0,"3/20"
"A Shrubsole","Western Storm",2019,"Women's Cricket Super League",10,"32.0",0,254,13,19.5384615384615,7.9375,14.7692307692308,70,0,0,"3/36"
"NR Sciver","Surrey Stars",2017,"Women's Cricket Super League",6,"21.5",1,141,12,11.75,6.45801526717557,10.9166666666667,68,0,0,"3/11"
"D van Niekerk","Surrey Stars",2019,"Women's Cricket Super League",8,"30.2",0,211,12,17.5833333333333,6.95604395604396,15.1666666666667,71,0,0,"3/20"
"S Ecclestone","Lancashire Thunder",2019,"Women's Cricket Super League",10,"37.0",0,238,12,19.8333333333333,6.43243243243243,18.5,112,0,0,"3/17"
"C Nicholas","Western Storm",2019,"Women's Cricket Super League",10,"35.1",1,246,12,20.5,6.99526066350711,17.5833333333333,95,0,0,"2/25"
"SR Taylor","Western Storm",2016,"Women's Cricket Super League",7,"26.0",0,177,11,16.0909090909091,6.80769230769231,14.1818181818182,80,1,0,"4/14"
"M Kapp","Surrey Stars",2018,"Women's Cricket Super League",11,"36.2",0,206,11,18.7272727272727,5.6697247706422,19.8181818181818,120,0,0,"2/14"
"S Glenn","Loughborough Lightning",2019,"Women's Cricket Super League",11,"34.0",0,206,11,18.7272727272727,6.05882352941176,18.5454545454545,88,0,0,"3/25"
"KA Levick","Yorkshire Diamonds",2018,"Women's Cricket Super League",9,"30.0",0,210,11,19.0909090909091,7,16.3636363636364,66,0,0,"3/35"
"KL Gordon","Loughborough Lightning",2019,"Women's Cricket Super League",10,"36.4",0,222,11,20.1818181818182,6.05454545454545,20,94,0,0,"3/18"
