"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"A Shrubsole",2016-08-14,"Yorkshire Diamonds","Western Storm",1,"4.0",2,23,5,5.75,15,"Women's Cricket Super League",2016,993671,"Headingley, Leeds","Leeds","Yorkshire Diamonds","Western Storm","Yorkshire Diamonds","bat",NA,"Western Storm","6",NA
"KH Brunt",2018-08-02,"Southern Vipers","Yorkshire Diamonds",2,"4.0",0,26,5,6.5,14,"Women's Cricket Super League",2018,1127406,"Clifton Park Ground, York","York","Yorkshire Diamonds","Southern Vipers","Yorkshire Diamonds","bat",NA,"Yorkshire Diamonds",NA,"12"
"RM Farrell",2017-08-16,"Lancashire Thunder","Surrey Stars",2,"4.0",0,26,5,6.5,12,"Women's Cricket Super League",2017,1093481,"Old Trafford, Manchester","Manchester","Surrey Stars","Lancashire Thunder","Surrey Stars","bat","RM Farrell","Surrey Stars",NA,"33"
"SR Taylor",2017-08-12,"Loughborough Lightning","Western Storm",1,"4.0",1,5,4,1.25,20,"Women's Cricket Super League",2017,1093478,"The Cooper Associates County Ground, Taunton","Taunton","Loughborough Lightning","Western Storm","Western Storm","field","SR Taylor","Western Storm","5",NA
"LCN Smith",2016-08-08,"Yorkshire Diamonds","Southern Vipers",2,"4.0",1,10,4,2.5,15,"Women's Cricket Super League",2016,993659,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Yorkshire Diamonds","Southern Vipers","bat",NA,"Southern Vipers",NA,"54"
"SR Taylor",2016-07-31,"Lancashire Thunder","Western Storm",1,"4.0",0,14,4,3.5,16,"Women's Cricket Super League",2016,993647,"County Ground, Taunton","Taunton","Lancashire Thunder","Western Storm","Lancashire Thunder","bat",NA,"Western Storm","4",NA
"LM Kasperek",2019-08-21,"Southern Vipers","Yorkshire Diamonds",1,"4.0",0,16,4,4,12,"Women's Cricket Super League",2019,1167288,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Yorkshire Diamonds","Southern Vipers","bat","DN Wyatt","Southern Vipers",NA,"3"
"EL Lamb",2018-07-29,"Southern Vipers","Lancashire Thunder",2,"4.0",1,17,4,4.25,15,"Women's Cricket Super League",2018,1127400,"Aigburth, Liverpool","Liverpool","Lancashire Thunder","Southern Vipers","Southern Vipers","field","EL Lamb","Lancashire Thunder",NA,"4"
"FR Davies",2019-08-20,"Southern Vipers","Western Storm",2,"4.0",0,18,4,4.5,17,"Women's Cricket Super League",2019,1167286,"County Ground, Bristol","Bristol","Western Storm","Southern Vipers","Western Storm","bat","FR Davies","Western Storm",NA,"15"
"HL Fenby",2019-08-06,"Surrey Stars","Yorkshire Diamonds",1,"4.0",0,20,4,5,11,"Women's Cricket Super League",2019,1167270,"Headingley, Leeds","Leeds","Surrey Stars","Yorkshire Diamonds","Surrey Stars","bat","LA Marsh","Surrey Stars",NA,"9"
"S Ecclestone",2018-08-18,"Southern Vipers","Lancashire Thunder",2,"4.0",0,20,4,5,13,"Women's Cricket Super League",2018,1127420,"The Rose Bowl, Southampton","Southampton","Lancashire Thunder","Southern Vipers","Lancashire Thunder","bat","S Ecclestone","Lancashire Thunder",NA,"9"
"FMK Morris",2018-07-22,"Surrey Stars","Southern Vipers",1,"4.0",0,22,4,5.5,13,"Women's Cricket Super League",2018,1127393,"Woodbridge Road, Guildford","Guildford","Surrey Stars","Southern Vipers","Southern Vipers","field",NA,"Southern Vipers","7",NA
"SB Odedra",2019-08-25,"Surrey Stars","Western Storm",2,"3.0",0,25,4,8.33333333333333,9,"Women's Cricket Super League",2019,1167294,"Woodbridge Road, Guildford","Guildford","Western Storm","Surrey Stars","Surrey Stars","field","RH Priest","Western Storm",NA,"77"
"SW Bates",2018-08-08,"Yorkshire Diamonds","Southern Vipers",2,"3.5",0,26,4,6.78260869565217,10,"Women's Cricket Super League",2018,1127411,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Yorkshire Diamonds","Yorkshire Diamonds","field","TT Beaumont","Southern Vipers",NA,"16"
"FR Davies",2019-08-13,"Loughborough Lightning","Western Storm",2,"4.0",0,27,4,6.75,9,"Women's Cricket Super League",2019,1167278,"County Ground, Bristol","Bristol","Western Storm","Loughborough Lightning","Loughborough Lightning","field","FR Davies","Western Storm",NA,"40"
"NR Sciver",2018-08-14,"Southern Vipers","Surrey Stars",1,"4.0",0,32,4,8,11,"Women's Cricket Super League",2018,1127417,"County Ground, Hove","Brighton","Southern Vipers","Surrey Stars","Surrey Stars","field","NR Sciver","Surrey Stars","4",NA
"FR Davies",2019-08-28,"Yorkshire Diamonds","Western Storm",1,"2.0",0,7,3,3.5,6,"Women's Cricket Super League",2019,1167296,"The Cooper Associates County Ground, Taunton","Taunton","Yorkshire Diamonds","Western Storm","Western Storm","field","JI Rodrigues","Yorkshire Diamonds",NA,"5"
"DJS Dottin",2016-07-31,"Western Storm","Lancashire Thunder",2,"3.0",0,8,3,2.66666666666667,13,"Women's Cricket Super League",2016,993647,"County Ground, Taunton","Taunton","Lancashire Thunder","Western Storm","Lancashire Thunder","bat",NA,"Western Storm","4",NA
"JL Gunn",2018-07-22,"Lancashire Thunder","Loughborough Lightning",1,"3.0",0,10,3,3.33333333333333,12,"Women's Cricket Super League",2018,1127394,"Trafalgar Road Ground, Southport","Southport","Lancashire Thunder","Loughborough Lightning","Loughborough Lightning","field",NA,"Loughborough Lightning","6",NA
"A Hartley",2016-08-09,"Lancashire Thunder","Surrey Stars",1,"4.0",0,11,3,2.75,13,"Women's Cricket Super League",2016,993661,"Woodbridge Road, Guildford","Guildford","Lancashire Thunder","Surrey Stars","Surrey Stars","field",NA,"Surrey Stars","7",NA
"C Nicholas",2018-08-09,"Lancashire Thunder","Western Storm",2,"3.0",0,11,3,3.66666666666667,14,"Women's Cricket Super League",2018,1127413,"The Cooper Associates County Ground, Taunton","Taunton","Western Storm","Lancashire Thunder","Lancashire Thunder","field",NA,"Western Storm",NA,"76"
"HC Knight",2016-07-31,"Lancashire Thunder","Western Storm",1,"4.0",0,11,3,2.75,15,"Women's Cricket Super League",2016,993647,"County Ground, Taunton","Taunton","Lancashire Thunder","Western Storm","Lancashire Thunder","bat",NA,"Western Storm","4",NA
"M Kapp",2017-09-01,"Western Storm","Surrey Stars",2,"4.0",1,11,3,2.75,19,"Women's Cricket Super League",2017,1093491,"County Ground, Hove","Brighton","Surrey Stars","Western Storm","Surrey Stars","bat","SR Taylor","Western Storm","3",NA
"NR Sciver",2017-08-23,"Western Storm","Surrey Stars",2,"3.3",0,11,3,3.14285714285714,13,"Women's Cricket Super League",2017,1093487,"Kennington Oval, London","London","Surrey Stars","Western Storm","Western Storm","field","L Lee","Surrey Stars",NA,"52"
"S Ecclestone",2018-07-27,"Yorkshire Diamonds","Lancashire Thunder",2,"3.2",0,11,3,3.3,15,"Women's Cricket Super League",2018,1127398,"Headingley, Leeds","Leeds","Lancashire Thunder","Yorkshire Diamonds","Yorkshire Diamonds","field","E Threlkeld","Lancashire Thunder",NA,"33"
"SR Taylor",2019-08-18,"Surrey Stars","Southern Vipers",2,"3.0",0,11,3,3.66666666666667,9,"Women's Cricket Super League",2019,1167283,"Arundel Castle Cricket Club Ground","Arundel","Southern Vipers","Surrey Stars","Surrey Stars","field","DN Wyatt","Southern Vipers",NA,"89"
"KL Gordon",2018-08-02,"Surrey Stars","Loughborough Lightning",1,"4.0",0,13,3,3.25,13,"Women's Cricket Super League",2018,1127405,"Haslegrave Ground, Loughborough","Loughborough","Surrey Stars","Loughborough Lightning","Surrey Stars","bat","SFM Devine","Loughborough Lightning","9",NA
"BA Langston",2017-08-20,"Lancashire Thunder","Loughborough Lightning",2,"2.0",0,14,3,7,5,"Women's Cricket Super League",2017,1093483,"Stanley Park, Blackpool","Blackpool","Loughborough Lightning","Lancashire Thunder","Loughborough Lightning","bat","EA Perry","Loughborough Lightning",NA,"50"
"BA Langston",2018-08-12,"Surrey Stars","Yorkshire Diamonds",1,"3.4",0,14,3,3.81818181818182,15,"Women's Cricket Super League",2018,1127416,"Clifton Park Ground, York","York","Surrey Stars","Yorkshire Diamonds","Yorkshire Diamonds","field","BL Mooney","Yorkshire Diamonds","9",NA
"JL Gunn",2019-08-25,"Lancashire Thunder","Loughborough Lightning",1,"3.5",0,14,3,3.65217391304348,12,"Women's Cricket Super League",2019,1167292,"Trent Bridge, Nottingham","Nottingham","Lancashire Thunder","Loughborough Lightning","Lancashire Thunder","bat","AE Jones","Loughborough Lightning","8",NA
"A Hartley",2017-08-13,"Yorkshire Diamonds","Surrey Stars",1,"4.0",0,15,3,3.75,13,"Women's Cricket Super League",2017,1093479,"Kennington Oval, London","London","Yorkshire Diamonds","Surrey Stars","Yorkshire Diamonds","bat","M Kapp","Surrey Stars","8",NA
"SFM Devine",2018-07-22,"Lancashire Thunder","Loughborough Lightning",1,"2.5",0,15,3,5.29411764705882,13,"Women's Cricket Super League",2018,1127394,"Trafalgar Road Ground, Southport","Southport","Lancashire Thunder","Loughborough Lightning","Loughborough Lightning","field",NA,"Loughborough Lightning","6",NA
"SW Bates",2017-08-15,"Loughborough Lightning","Southern Vipers",2,"3.0",0,15,3,5,9,"Women's Cricket Super League",2017,1093480,"County Ground, Derby","Derby","Southern Vipers","Loughborough Lightning","Loughborough Lightning","field","SW Bates","Southern Vipers",NA,"46"
"LCN Smith",2016-08-14,"Loughborough Lightning","Southern Vipers",2,"4.0",0,16,3,4,14,"Women's Cricket Super League",2016,993669,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Loughborough Lightning","Southern Vipers","bat",NA,"Southern Vipers",NA,"59"
"LCN Smith",2017-08-23,"Lancashire Thunder","Southern Vipers",1,"4.0",0,16,3,4,14,"Women's Cricket Super League",2017,1093486,"Aigburth, Liverpool","Liverpool","Lancashire Thunder","Southern Vipers","Lancashire Thunder","bat","DN Wyatt","Southern Vipers","6",NA
"NE Farrant",2018-07-22,"Surrey Stars","Southern Vipers",1,"4.0",1,16,3,4,17,"Women's Cricket Super League",2018,1127393,"Woodbridge Road, Guildford","Guildford","Surrey Stars","Southern Vipers","Southern Vipers","field",NA,"Southern Vipers","7",NA
"LA Marsh",2019-08-06,"Yorkshire Diamonds","Surrey Stars",2,"4.0",0,17,3,4.25,9,"Women's Cricket Super League",2019,1167270,"Headingley, Leeds","Leeds","Surrey Stars","Yorkshire Diamonds","Surrey Stars","bat","LA Marsh","Surrey Stars",NA,"9"
"S Ecclestone",2019-08-20,"Loughborough Lightning","Lancashire Thunder",1,"4.0",0,17,3,4.25,15,"Women's Cricket Super League",2019,1167287,"Old Trafford, Manchester","Manchester","Loughborough Lightning","Lancashire Thunder","Lancashire Thunder","field","GL Adams","Loughborough Lightning",NA,"35"
"AC Jayangani",2019-08-28,"Southern Vipers","Loughborough Lightning",2,"4.0",0,18,3,4.5,12,"Women's Cricket Super League",2019,1167297,"The Rose Bowl, Southampton","Southampton","Loughborough Lightning","Southern Vipers","Southern Vipers","field","AE Jones","Loughborough Lightning",NA,"36"
"DB Sharma",2019-08-21,"Surrey Stars","Western Storm",2,"4.0",0,18,3,4.5,15,"Women's Cricket Super League",2019,1167289,"The Cooper Associates County Ground, Taunton","Taunton","Western Storm","Surrey Stars","Surrey Stars","field","SJ Taylor","Western Storm",NA,"4"
"KL Gordon",2019-08-20,"Lancashire Thunder","Loughborough Lightning",2,"3.4",0,18,3,4.90909090909091,14,"Women's Cricket Super League",2019,1167287,"Old Trafford, Manchester","Manchester","Loughborough Lightning","Lancashire Thunder","Lancashire Thunder","field","GL Adams","Loughborough Lightning",NA,"35"
"NE Farrant",2019-08-06,"Lancashire Thunder","Southern Vipers",2,"3.4",0,18,3,4.90909090909091,11,"Women's Cricket Super League",2019,1167268,"Aigburth, Liverpool","Liverpool","Southern Vipers","Lancashire Thunder","Southern Vipers","bat","DN Wyatt","Southern Vipers",NA,"34"
"SIR Dunkley",2018-07-26,"Western Storm","Surrey Stars",1,"2.0",0,18,3,9,6,"Women's Cricket Super League",2018,1127397,"College Ground, Cheltenham","Cheltenham","Western Storm","Surrey Stars","Surrey Stars","field",NA,"Surrey Stars","7",NA
