"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","winner","winner_runs","winner_wickets","tv_umpire","outcome","method"
993643,6,"Loughborough Lightning","Yorkshire Diamonds","female","2016",2016-07-30,"Women's Cricket Super League",NA,"Headingley, Leeds","Leeds","Loughborough Lightning","bat",NA,"BJ Debenham","Tom Lungley","Loughborough Lightning",43,NA,NA,NA,NA
993645,6,"Surrey Stars","Southern Vipers","female","2016",2016-07-31,"Women's Cricket Super League",NA,"The Rose Bowl, Southampton","Southampton","Surrey Stars","bat",NA,"ID Blackwell","PR Pollard","Southern Vipers",NA,6,NA,NA,NA
993647,6,"Lancashire Thunder","Western Storm","female","2016",2016-07-31,"Women's Cricket Super League",NA,"County Ground, Taunton","Taunton","Lancashire Thunder","bat",NA,"Chris Watts","RJ Warren","Western Storm",NA,4,NA,NA,NA
993649,6,"Lancashire Thunder","Loughborough Lightning","female","2016",2016-08-03,"Women's Cricket Super League",NA,"Haslegrave Ground, Loughborough","Loughborough","Loughborough Lightning","field",NA,"ID Blackwell","RJ Warren","Lancashire Thunder",6,NA,NA,NA,NA
993651,6,"Yorkshire Diamonds","Surrey Stars","female","2016",2016-08-04,"Women's Cricket Super League",NA,"Kennington Oval, London","London","Yorkshire Diamonds","bat",NA,"ID Blackwell","RJ Warren","Surrey Stars",NA,6,NA,NA,NA
993653,6,"Southern Vipers","Lancashire Thunder","female","2016",2016-08-05,"Women's Cricket Super League",NA,"Stanley Park, Blackpool","Blackpool","Southern Vipers","bat",NA,"PR Pollard","Tom Lungley","Southern Vipers",11,NA,NA,NA,NA
993655,6,"Loughborough Lightning","Western Storm","female","2016",2016-08-05,"Women's Cricket Super League",NA,"Haslegrave Ground, Loughborough","Loughborough","Loughborough Lightning","bat",NA,"BJ Debenham","RJ Warren","Loughborough Lightning",5,NA,NA,NA,NA
993657,6,"Surrey Stars","Western Storm","female","2016",2016-08-07,"Women's Cricket Super League",NA,"County Ground, Bristol","Bristol","Surrey Stars","bat",NA,"BJ Debenham","Chris Watts","Western Storm",NA,5,NA,NA,NA
993659,6,"Southern Vipers","Yorkshire Diamonds","female","2016",2016-08-08,"Women's Cricket Super League",NA,"The Rose Bowl, Southampton","Southampton","Southern Vipers","bat",NA,"BJ Debenham","Chris Watts","Southern Vipers",54,NA,NA,NA,NA
993661,6,"Lancashire Thunder","Surrey Stars","female","2016",2016-08-09,"Women's Cricket Super League",NA,"Woodbridge Road, Guildford","Guildford","Surrey Stars","field",NA,"RJ Warren","Tom Lungley","Surrey Stars",NA,7,NA,NA,NA
993663,6,"Loughborough Lightning","Surrey Stars","female","2016",2016-08-12,"Women's Cricket Super League",NA,"Haslegrave Ground, Loughborough","Loughborough","Surrey Stars","field",NA,"PR Pollard","RJ Warren","Loughborough Lightning",34,NA,NA,NA,NA
993665,6,"Southern Vipers","Western Storm","female","2016",2016-08-12,"Women's Cricket Super League",NA,"County Ground, Taunton","Taunton","Southern Vipers","bat",NA,"ID Blackwell","Tom Lungley","Western Storm",NA,8,NA,NA,NA
993669,6,"Southern Vipers","Loughborough Lightning","female","2016",2016-08-14,"Women's Cricket Super League",NA,"The Rose Bowl, Southampton","Southampton","Southern Vipers","bat",NA,"BJ Debenham","Tom Lungley","Southern Vipers",59,NA,NA,NA,NA
993671,6,"Yorkshire Diamonds","Western Storm","female","2016",2016-08-14,"Women's Cricket Super League",NA,"Headingley, Leeds","Leeds","Yorkshire Diamonds","bat",NA,"Chris Watts","PR Pollard","Western Storm",NA,6,NA,NA,NA
1035535,6,"Loughborough Lightning","Western Storm","female","2016",2016-08-21,"Women's Cricket Super League",NA,"County Ground, Chelmsford","Chelmsford","Western Storm","field",NA,"BJ Debenham","Tom Lungley","Western Storm",NA,5,NA,NA,NA
1035537,6,"Western Storm","Southern Vipers","female","2016",2016-08-21,"Women's Cricket Super League",NA,"County Ground, Chelmsford","Chelmsford","Southern Vipers","field",NA,"Chris Watts","RJ Warren","Southern Vipers",NA,7,NA,NA,NA
1093476,6,"Western Storm","Southern Vipers","female","2017",2017-08-10,"Women's Cricket Super League","1","The Rose Bowl, Southampton","Southampton","Southern Vipers","field","SW Bates","DJ Millns","SJ O'Shaughnessy","Southern Vipers",NA,9,"JW Lloyds",NA,NA
1093477,6,"Yorkshire Diamonds","Lancashire Thunder","female","2017",2017-08-11,"Women's Cricket Super League","2","Headingley, Leeds","Leeds","Lancashire Thunder","field","AN Davidson-Richards","M Burns","NL Bainton","Yorkshire Diamonds",28,NA,"NA Mallender",NA,NA
1093478,6,"Loughborough Lightning","Western Storm","female","2017",2017-08-12,"Women's Cricket Super League","3","The Cooper Associates County Ground, Taunton","Taunton","Western Storm","field","SR Taylor","ID Blackwell","NGB Cook","Western Storm",NA,5,"JW Lloyds",NA,NA
1093479,6,"Yorkshire Diamonds","Surrey Stars","female","2017",2017-08-13,"Women's Cricket Super League","4","Kennington Oval, London","London","Yorkshire Diamonds","bat","M Kapp","NA Mallender","RT Robinson","Surrey Stars",NA,8,"SJ O'Shaughnessy",NA,NA
1093480,6,"Southern Vipers","Loughborough Lightning","female","2017",2017-08-15,"Women's Cricket Super League","5","County Ground, Derby","Derby","Loughborough Lightning","field","SW Bates","MJ Saggers","SJ O'Shaughnessy","Southern Vipers",46,NA,"M Burns",NA,NA
1093481,6,"Surrey Stars","Lancashire Thunder","female","2017",2017-08-16,"Women's Cricket Super League","6","Old Trafford, Manchester","Manchester","Surrey Stars","bat","RM Farrell","GD Lloyd","NL Bainton","Surrey Stars",33,NA,"RT Robinson",NA,NA
1093482,6,"Yorkshire Diamonds","Loughborough Lightning","female","2017",2017-08-18,"Women's Cricket Super League","7","Haslegrave Ground, Loughborough","Loughborough","Loughborough Lightning","field","AC Jayangani","James Middlebrook","Mark Newell","Yorkshire Diamonds",17,NA,NA,NA,NA
1093483,6,"Loughborough Lightning","Lancashire Thunder","female","2017",2017-08-20,"Women's Cricket Super League","8","Stanley Park, Blackpool","Blackpool","Loughborough Lightning","bat","EA Perry","Chris Watts","ID Blackwell","Loughborough Lightning",50,NA,NA,NA,NA
1093484,6,"Surrey Stars","Southern Vipers","female","2017",2017-08-20,"Women's Cricket Super League","9","The Rose Bowl, Southampton","Southampton","Surrey Stars","bat","M Kapp","Mark Newell","RJ Warren","Surrey Stars",4,NA,NA,NA,"D/L"
1093485,6,"Yorkshire Diamonds","Western Storm","female","2017",2017-08-20,"Women's Cricket Super League","10","Clifton Park Ground, York","York","Western Storm","field","RH Priest","BJ Debenham","James Middlebrook","Western Storm",NA,10,NA,NA,NA
1093486,6,"Lancashire Thunder","Southern Vipers","female","2017",2017-08-23,"Women's Cricket Super League","11","Aigburth, Liverpool","Liverpool","Lancashire Thunder","bat","DN Wyatt","BJ Debenham","PR Pollard","Southern Vipers",NA,6,NA,NA,NA
1093487,6,"Surrey Stars","Western Storm","female","2017",2017-08-23,"Women's Cricket Super League","12","Kennington Oval, London","London","Western Storm","field","L Lee","Chris Watts","ID Blackwell","Surrey Stars",52,NA,NA,NA,NA
1093488,6,"Southern Vipers","Yorkshire Diamonds","female","2017",2017-08-26,"Women's Cricket Super League","13","Arundel Castle Cricket Club Ground","Arundel","Yorkshire Diamonds","field","M du Preez","Chris Watts","ID Blackwell","Southern Vipers",30,NA,NA,NA,NA
1093489,6,"Loughborough Lightning","Surrey Stars","female","2017",2017-08-26,"Women's Cricket Super League","14","Kennington Oval, London","London","Loughborough Lightning","bat","EA Perry","James Middlebrook","PR Pollard","Loughborough Lightning",81,NA,NA,NA,NA
