"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Ecclestone",17,"67.0",0,442,27,16.3703703703704,6.59701492537313,14.8888888888889,185,1,0,"4/13"
"S Ishaque",19,"59.5",2,433,24,18.0416666666667,7.23676880222841,14.9583333333333,154,1,0,"4/11"
"HK Matthews",19,"62.0",2,413,23,17.9565217391304,6.66129032258065,16.1739130434783,164,0,0,"3/5"
"AC Kerr",19,"56.4",1,429,22,19.5,7.57058823529412,15.4545454545455,147,1,0,"4/17"
"M Kapp",16,"64.0",4,382,20,19.1,5.96875,19.2,206,0,1,"5/15"
"NR Sciver-Brunt",19,"59.0",0,443,20,22.15,7.50847457627119,17.7,164,0,0,"3/21"
"JL Jonassen",16,"60.0",0,450,20,22.5,7.5,18,139,0,0,"3/21"
"SR Patil",15,"41.0",0,349,19,18.3684210526316,8.51219512195122,12.9473684210526,87,2,0,"4/12"
"S Pandey",18,"66.0",1,455,19,23.9473684210526,6.89393939393939,20.8421052631579,180,0,0,"3/23"
"DB Sharma",17,"64.5",0,526,19,27.6842105263158,8.11311053984576,20.4736842105263,128,1,0,"4/19"
"IECM Wong",12,"38.3",0,260,18,14.4444444444444,6.75324675324675,12.8333333333333,121,1,0,"4/15"
"S Asha",15,"43.0",0,327,17,19.2352941176471,7.6046511627907,15.1764705882353,98,0,1,"5/22"
"A Gardner",16,"54.3",0,463,17,27.2352941176471,8.4954128440367,19.2352941176471,128,0,0,"3/31"
"TP Kanwar",16,"56.0",1,446,15,29.7333333333333,7.96428571428571,22.4,136,0,0,"2/20"
"RP Yadav",18,"49.0",0,360,14,25.7142857142857,7.3469387755102,21,116,1,0,"4/20"
"RS Gayakwad",16,"57.0",0,483,13,37.1538461538462,8.47368421052632,26.3076923076923,121,0,0,"2/16"
"S Molineux",10,"38.0",0,278,12,23.1666666666667,7.31578947368421,19,92,0,0,"3/20"
"KJ Garth",7,"25.0",0,193,11,17.5454545454545,7.72,13.6363636363636,67,0,1,"5/36"
"S Ismail",10,"38.3",1,265,11,24.0909090909091,6.88311688311688,21,133,0,0,"3/18"
"EA Perry",15,"39.2",0,303,11,27.5454545454545,7.70338983050847,21.4545454545455,106,0,1,"6/15"
"A Capsey",13,"29.3",0,200,10,20,6.77966101694915,17.7,74,0,0,"3/26"
"A Reddy",13,"38.3",0,293,10,29.3,7.61038961038961,23.1,82,0,0,"2/27"
"SFM Devine",14,"32.0",0,268,9,29.7777777777778,8.375,21.3333333333333,94,0,0,"2/23"
"G Wareham",12,"31.2",0,266,8,33.25,8.48936170212766,23.5,62,0,0,"2/38"
"TG Norris",5,"11.0",0,89,7,12.7142857142857,8.09090909090909,9.42857142857143,26,0,1,"5/29"
"P Vastrakar",12,"28.3",0,202,7,28.8571428571429,7.08771929824561,24.4285714285714,74,0,0,"2/14"
"K Anjali Sarvani",13,"32.0",0,285,6,47.5,8.90625,32,75,0,0,"1/10"
"S Rana",11,"34.4",0,313,6,52.1666666666667,9.02884615384616,34.6666666666667,68,0,0,"2/43"
"GM Harris",12,"30.5",0,231,5,46.2,7.49189189189189,37,86,0,0,"2/8"
"Meghna Singh",8,"24.0",1,242,5,48.4,10.0833333333333,28.8,47,1,0,"4/37"
"HC Knight",4,"7.0",0,78,4,19.5,11.1428571428571,10.5,9,0,0,"2/17"
"SM Shakil",4,"12.0",0,84,4,21,7,18,37,0,0,"3/11"
