"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SFM Devine",2023-03-18,"Royal Challengers Bangalore","Gujarat Giants",2,99,36,9,8,275,FALSE,"Women's Premier League","2022/23",1358944,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","SFM Devine","Royal Challengers Bangalore","8",NA
"AJ Healy",2023-03-10,"UP Warriorz","Royal Challengers Bangalore",2,96,47,18,1,204.255319148936,TRUE,"Women's Premier League","2022/23",1358936,"Brabourne Stadium, Mumbai","Mumbai","Royal Challengers Bangalore","UP Warriorz","Royal Challengers Bangalore","bat","AJ Healy","UP Warriorz","10",NA
"H Kaur",2024-03-09,"Mumbai Indians","Gujarat Giants",2,95,48,10,5,197.916666666667,TRUE,"Women's Premier League","2023/24",1417731,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","Mumbai Indians","Gujarat Giants","bat","H Kaur","Mumbai Indians","7",NA
"TM McGrath",2023-03-07,"UP Warriorz","Delhi Capitals",2,90,50,11,4,180,TRUE,"Women's Premier League","2022/23",1358933,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Delhi Capitals","UP Warriorz","UP Warriorz","field","JL Jonassen","Delhi Capitals",NA,"42"
"DB Sharma",2024-03-11,"UP Warriorz","Gujarat Giants",2,88,60,9,4,146.666666666667,TRUE,"Women's Premier League","2023/24",1417733,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","UP Warriorz","Gujarat Giants","bat","SM Shakil","Gujarat Giants",NA,"8"
"BL Mooney",2024-03-06,"Gujarat Giants","Royal Challengers Bangalore",1,85,51,12,1,166.666666666667,TRUE,"Women's Premier League","2023/24",1417728,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","BL Mooney","Gujarat Giants",NA,"19"
"Shafali Verma",2023-03-05,"Delhi Capitals","Royal Challengers Bangalore",1,84,45,10,4,186.666666666667,FALSE,"Women's Premier League","2022/23",1358930,"Brabourne Stadium, Mumbai","Mumbai","Delhi Capitals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","TG Norris","Delhi Capitals",NA,"60"
"S Mandhana",2024-03-04,"Royal Challengers Bangalore","UP Warriorz",1,80,50,10,3,160,FALSE,"Women's Premier League","2023/24",1417726,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Royal Challengers Bangalore","UP Warriorz","UP Warriorz","field","S Mandhana","Royal Challengers Bangalore",NA,"23"
"HK Matthews",2023-03-06,"Mumbai Indians","Royal Challengers Bangalore",2,77,38,13,1,202.631578947368,TRUE,"Women's Premier League","2022/23",1358932,"Brabourne Stadium, Mumbai","Mumbai","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","bat","HK Matthews","Mumbai Indians","9",NA
"L Wolvaardt",2024-03-06,"Gujarat Giants","Royal Challengers Bangalore",1,76,45,13,0,168.888888888889,FALSE,"Women's Premier League","2023/24",1417728,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","BL Mooney","Gujarat Giants",NA,"19"
