"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"EA Perry",2024-03-12,"Mumbai Indians","Royal Challengers Bangalore",1,"4.0",0,15,6,3.75,18,"Women's Premier League","2023/24",1417734,"Arun Jaitley Stadium, Delhi","Delhi","Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","EA Perry","Royal Challengers Bangalore","7",NA
"M Kapp",2023-03-11,"Gujarat Giants","Delhi Capitals",1,"4.0",0,15,5,3.75,16,"Women's Premier League","2022/23",1358937,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Gujarat Giants","Delhi Capitals","Gujarat Giants","bat","M Kapp","Delhi Capitals","10",NA
"S Asha",2024-02-24,"UP Warriorz","Royal Challengers Bangalore",2,"4.0",0,22,5,5.5,15,"Women's Premier League","2023/24",1417717,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Royal Challengers Bangalore","UP Warriorz","UP Warriorz","field","S Asha","Royal Challengers Bangalore",NA,"2"
"TG Norris",2023-03-05,"Royal Challengers Bangalore","Delhi Capitals",2,"4.0",0,29,5,7.25,9,"Women's Premier League","2022/23",1358930,"Brabourne Stadium, Mumbai","Mumbai","Delhi Capitals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","TG Norris","Delhi Capitals",NA,"60"
"KJ Garth",2023-03-05,"UP Warriorz","Gujarat Giants",2,"4.0",0,36,5,9,11,"Women's Premier League","2022/23",1358931,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Gujarat Giants","UP Warriorz","Gujarat Giants","bat","GM Harris","UP Warriorz","3",NA
"S Ishaque",2023-03-04,"Gujarat Giants","Mumbai Indians",2,"3.1",1,11,4,3.47368421052632,14,"Women's Premier League","2022/23",1358929,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","Gujarat Giants","Gujarat Giants","field","H Kaur","Mumbai Indians",NA,"143"
"SR Patil",2024-03-17,"Delhi Capitals","Royal Challengers Bangalore",1,"3.3",0,12,4,3.42857142857143,10,"Women's Premier League","2023/24",1417737,"Arun Jaitley Stadium, Delhi","Delhi","Delhi Capitals","Royal Challengers Bangalore","Delhi Capitals","bat","S Molineux","Royal Challengers Bangalore","8",NA
"S Ecclestone",2023-03-10,"Royal Challengers Bangalore","UP Warriorz",1,"3.3",0,13,4,3.71428571428571,9,"Women's Premier League","2022/23",1358936,"Brabourne Stadium, Mumbai","Mumbai","Royal Challengers Bangalore","UP Warriorz","Royal Challengers Bangalore","bat","AJ Healy","UP Warriorz","10",NA
"IECM Wong",2023-03-24,"UP Warriorz","Mumbai Indians",2,"4.0",0,15,4,3.75,18,"Women's Premier League","2022/23",1358949,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","UP Warriorz","UP Warriorz","field","NR Sciver-Brunt","Mumbai Indians",NA,"72"
"AC Kerr",2024-02-25,"Gujarat Giants","Mumbai Indians",1,"4.0",0,17,4,4.25,14,"Women's Premier League","2023/24",1417718,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Gujarat Giants","Mumbai Indians","Mumbai Indians","field","AC Kerr","Mumbai Indians","5",NA
"DB Sharma",2024-03-08,"Delhi Capitals","UP Warriorz",2,"4.0",0,19,4,4.75,14,"Women's Premier League","2023/24",1417730,"Arun Jaitley Stadium, Delhi","Delhi","UP Warriorz","Delhi Capitals","UP Warriorz","bat","DB Sharma","UP Warriorz",NA,"1"
