"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Capsey","2022/23","Women's Premier League","Delhi Capitals",7,159,102,155.882352941176,26.5,17,10,1,0,0,38
"A Capsey","2023/24","Women's Premier League","Delhi Capitals",8,230,183,125.68306010929,28.75,30,6,0,0,1,75
"A Gardner","2022/23","Women's Premier League","Gujarat Giants",8,204,144,141.666666666667,29.1428571428571,26,5,1,0,2,60
"A Gardner","2023/24","Women's Premier League","Gujarat Giants",8,120,108,111.111111111111,15,14,3,0,0,0,40
"A Reddy","2022/23","Women's Premier League","Delhi Capitals",3,25,22,113.636363636364,12.5,4,0,1,0,0,25
"A Reddy","2023/24","Women's Premier League","Delhi Capitals",4,25,27,92.5925925925926,8.33333333333333,2,0,1,0,0,10
"A Sutherland","2022/23","Women's Premier League","Gujarat Giants",4,28,36,77.7777777777778,7,2,1,0,0,0,14
"A Sutherland","2023/24","Women's Premier League","Delhi Capitals",3,27,23,117.391304347826,13.5,3,1,1,0,0,20
"AB Kaur","2022/23","Women's Premier League","Mumbai Indians",4,24,24,100,8,2,0,1,0,0,19
"AB Kaur","2023/24","Women's Premier League","Mumbai Indians",7,57,44,129.545454545455,19,8,0,4,0,0,42
"AC Jayangani","2023/24","Women's Premier League","UP Warriorz",4,28,27,103.703703703704,7,6,0,0,0,0,17
"AC Kerr","2022/23","Women's Premier League","Mumbai Indians",7,149,112,133.035714285714,37.25,20,1,3,0,0,45
"AC Kerr","2023/24","Women's Premier League","Mumbai Indians",9,215,166,129.518072289157,35.8333333333333,23,3,3,0,0,40
"AJ Healy","2022/23","Women's Premier League","UP Warriorz",9,253,179,141.340782122905,31.625,41,3,1,0,2,96
"AJ Healy","2023/24","Women's Premier League","UP Warriorz",8,175,149,117.44966442953,21.875,28,3,0,0,1,55
"Ashwani Kumari","2022/23","Women's Premier League","Gujarat Giants",1,5,5,100,5,0,0,0,0,0,5
"BL Mooney","2022/23","Women's Premier League","Gujarat Giants",1,0,3,0,0,0,0,0,0,0,0
"BL Mooney","2023/24","Women's Premier League","Gujarat Giants",8,285,202,141.089108910891,47.5,38,5,2,0,3,85
"BS Fulmali","2023/24","Women's Premier League","Gujarat Giants",3,64,53,120.754716981132,32,8,1,1,0,0,42
"D Hemalatha","2022/23","Women's Premier League","Gujarat Giants",8,151,96,157.291666666667,30.2,15,8,3,0,1,57
"D Hemalatha","2023/24","Women's Premier League","Gujarat Giants",7,115,89,129.213483146067,23,11,3,2,0,1,74
"D Vrinda","2023/24","Women's Premier League","UP Warriorz",2,18,33,54.5454545454545,9,3,0,0,0,0,18
"DB Sharma","2022/23","Women's Premier League","UP Warriorz",8,90,108,83.3333333333333,12.8571428571429,11,0,1,0,0,22
"DB Sharma","2023/24","Women's Premier League","UP Warriorz",8,295,216,136.574074074074,98.3333333333333,34,8,5,0,3,88
"DD Kasat","2022/23","Women's Premier League","Royal Challengers Bangalore",3,11,18,61.1111111111111,3.66666666666667,1,0,0,0,0,9
"DD Kasat","2023/24","Women's Premier League","Royal Challengers Bangalore",2,0,7,0,0,0,0,0,0,0,0
"DP Vaidya","2022/23","Women's Premier League","UP Warriorz",7,77,80,96.25,12.8333333333333,9,0,1,0,0,36
