"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"HK Matthews","Mumbai Indians","2022/23","Women's Premier League",10,"34.0",2,202,16,12.625,5.94117647058824,12.75,98,0,0,"3/5"
"S Ecclestone","UP Warriorz","2022/23","Women's Premier League",9,"35.3",0,235,16,14.6875,6.61971830985915,13.3125,97,1,0,"4/13"
"IECM Wong","Mumbai Indians","2022/23","Women's Premier League",10,"32.3",0,210,15,14,6.46153846153846,13,106,1,0,"4/15"
"AC Kerr","Mumbai Indians","2022/23","Women's Premier League",10,"32.4",1,211,15,14.0666666666667,6.45918367346939,13.0666666666667,96,0,0,"3/22"
"S Ishaque","Mumbai Indians","2022/23","Women's Premier League",10,"34.5",2,244,15,16.2666666666667,7.00478468899521,13.9333333333333,97,1,0,"4/11"
"SR Patil","Royal Challengers Bangalore","2023/24","Women's Premier League",8,"21.3",0,157,13,12.0769230769231,7.30232558139535,9.92307692307692,50,2,0,"4/12"
"S Asha","Royal Challengers Bangalore","2023/24","Women's Premier League",10,"26.0",0,185,12,15.4166666666667,7.11538461538461,13,64,0,1,"5/22"
"S Molineux","Royal Challengers Bangalore","2023/24","Women's Premier League",10,"38.0",0,278,12,23.1666666666667,7.31578947368421,19,92,0,0,"3/20"
"M Kapp","Delhi Capitals","2023/24","Women's Premier League",7,"28.0",2,176,11,16,6.28571428571429,15.2727272727273,85,0,0,"3/5"
"JL Jonassen","Delhi Capitals","2023/24","Women's Premier League",7,"25.0",0,181,11,16.4545454545455,7.24,13.6363636363636,61,0,0,"3/21"
"KJ Garth","Gujarat Giants","2022/23","Women's Premier League",7,"25.0",0,193,11,17.5454545454545,7.72,13.6363636363636,67,0,1,"5/36"
"S Ecclestone","UP Warriorz","2023/24","Women's Premier League",8,"31.3",0,207,11,18.8181818181818,6.57142857142857,17.1818181818182,88,0,0,"3/20"
"RP Yadav","Delhi Capitals","2023/24","Women's Premier League",9,"25.0",0,187,10,18.7,7.48,15,59,1,0,"4/20"
"TP Kanwar","Gujarat Giants","2023/24","Women's Premier League",8,"29.0",1,207,10,20.7,7.13793103448276,17.4,73,0,0,"2/20"
"S Pandey","Delhi Capitals","2022/23","Women's Premier League",9,"32.0",0,211,10,21.1,6.59375,19.2,92,0,0,"3/23"
"NR Sciver-Brunt","Mumbai Indians","2023/24","Women's Premier League",9,"27.0",0,215,10,21.5,7.96296296296296,16.2,75,0,0,"2/14"
"DB Sharma","UP Warriorz","2023/24","Women's Premier League",8,"30.0",0,217,10,21.7,7.23333333333333,18,59,1,0,"4/19"
"NR Sciver-Brunt","Mumbai Indians","2022/23","Women's Premier League",10,"32.0",0,228,10,22.8,7.125,19.2,89,0,0,"3/21"
