"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets"
1358929,6,"Mumbai Indians","Gujarat Giants","female","2022/23",2023-03-04,"Women's Premier League","1","Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Gujarat Giants","field","H Kaur","N Pandit","VG Rathi","Ranjeev Sharma","PG Pathak","GS Lakshmi","Mumbai Indians",143,NA
1358930,6,"Delhi Capitals","Royal Challengers Bangalore","female","2022/23",2023-03-05,"Women's Premier League","2","Brabourne Stadium, Mumbai","Mumbai","Royal Challengers Bangalore","field","TG Norris","Chirra Ravikanthreddy","N Janani","Saurabh Dhote","M Kuppuraj","RB Kalita","Delhi Capitals",60,NA
1358931,6,"Gujarat Giants","UP Warriorz","female","2022/23",2023-03-05,"Women's Premier League","3","Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Gujarat Giants","bat","GM Harris","Gayathri Venugopal","Sanjay Kumar Singh","N Pandit","PG Pathak","AV Narvekar","UP Warriorz",NA,3
1358932,6,"Royal Challengers Bangalore","Mumbai Indians","female","2022/23",2023-03-06,"Women's Premier League","4","Brabourne Stadium, Mumbai","Mumbai","Royal Challengers Bangalore","bat","HK Matthews","PG Pathak","Ranjeev Sharma","Sanjay Kumar Singh","Saurabh Dhote","VR Nagre","Mumbai Indians",NA,9
1358933,6,"Delhi Capitals","UP Warriorz","female","2022/23",2023-03-07,"Women's Premier League","5","Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","UP Warriorz","field","JL Jonassen","Chirra Ravikanthreddy","VG Rathi","M Kuppuraj","N Janani","RB Kalita","Delhi Capitals",42,NA
1358934,6,"Gujarat Giants","Royal Challengers Bangalore","female","2022/23",2023-03-08,"Women's Premier League","6","Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","bat","SIR Dunkley","Ranjeev Sharma","Sanjay Kumar Singh","Gayathri Venugopal","N Pandit","GS Lakshmi","Gujarat Giants",11,NA
1358935,6,"Delhi Capitals","Mumbai Indians","female","2022/23",2023-03-09,"Women's Premier League","7","Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Delhi Capitals","bat","S Ishaque","M Kuppuraj","VG Rathi","Chirra Ravikanthreddy","PG Pathak","VR Nagre","Mumbai Indians",NA,8
1358936,6,"Royal Challengers Bangalore","UP Warriorz","female","2022/23",2023-03-10,"Women's Premier League","8","Brabourne Stadium, Mumbai","Mumbai","Royal Challengers Bangalore","bat","AJ Healy","N Janani","Saurabh Dhote","N Pandit","Ranjeev Sharma","AV Narvekar","UP Warriorz",NA,10
1358937,6,"Gujarat Giants","Delhi Capitals","female","2022/23",2023-03-11,"Women's Premier League","9","Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Gujarat Giants","bat","M Kapp","Gayathri Venugopal","Sanjay Kumar Singh","M Kuppuraj","VG Rathi","GS Lakshmi","Delhi Capitals",NA,10
1358938,6,"UP Warriorz","Mumbai Indians","female","2022/23",2023-03-12,"Women's Premier League","10","Brabourne Stadium, Mumbai","Mumbai","UP Warriorz","bat","H Kaur","N Janani","PG Pathak","Ranjeev Sharma","Chirra Ravikanthreddy","RB Kalita","Mumbai Indians",NA,8
