"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A King",2,11,6,183.333333333333,11,1,1,1,0,0,6
"A Reddy",1,0,1,0,0,0,0,0,0,0,0
"AA Patil",2,9,14,64.2857142857143,4.5,0,0,0,0,0,8
"AC Jayangani",6,176,173,101.734104046243,29.3333333333333,15,6,0,0,1,67
"AC Kerr",2,36,40,90,18,4,0,0,0,0,36
"AJ Healy",1,7,6,116.666666666667,7,1,0,0,0,0,7
"BL Mooney",1,4,4,100,4,1,0,0,0,0,4
"BS Fulmali",1,2,4,50,2,0,0,0,0,0,2
"D Hazell",1,3,4,75,Inf,0,0,1,0,0,3
"D Hemalatha",3,7,12,58.3333333333333,7,0,0,2,0,0,4
"DB Sharma",8,117,122,95.9016393442623,19.5,13,0,2,0,0,43
"DJS Dottin",6,176,145,121.379310344828,35.2,15,6,1,0,1,62
"DN Wyatt",6,116,109,106.422018348624,19.3333333333333,11,5,0,0,0,46
"E Bisht",1,0,6,0,0,0,0,0,0,0,0
"EA Perry",1,13,14,92.8571428571429,Inf,1,0,1,0,0,13
"H Deol",7,159,143,111.188811188811,22.7142857142857,17,0,0,0,0,43
"H Kaur",10,362,300,120.666666666667,45.25,29,12,2,0,2,71
"HASD Siriwardene",3,39,41,95.1219512195122,13,2,0,0,0,0,19
"HK Matthews",5,61,58,105.172413793103,12.2,9,1,0,0,0,27
"J Goswami",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"JI Rodrigues",9,259,206,125.728155339806,32.375,33,2,1,0,2,77
"Jahanara Alam",1,1,5,20,1,0,0,0,0,0,1
"KL Cross",2,19,13,146.153846153846,9.5,3,0,0,0,0,13
"KP Navgire",2,69,47,146.808510638298,34.5,5,5,0,0,1,69
"L Wolvaardt",3,133,91,146.153846153846,133,14,4,2,0,2,65
"LM Kasperek",1,11,20,55,Inf,1,0,1,0,0,11
"LMM Tahuhu",2,2,9,22.2222222222222,2,0,0,1,0,0,2
"M Raj",6,99,127,77.9527559055118,19.8,9,1,1,0,0,40
"MM Lanning",1,16,14,114.285714285714,16,3,0,0,0,0,16
"MR Meshram",1,4,7,57.1428571428571,4,0,0,0,0,0,4
"Meghna Singh",1,2,2,100,2,0,0,0,0,0,2
"N Chantam",4,10,21,47.6190476190476,3.33333333333333,0,0,1,0,0,6
"NM Parween",1,0,0,NA,NA,0,0,1,0,0,0
"NR Sciver",2,3,10,30,1.5,0,0,0,0,0,2
"P Vastrakar",6,23,25,92,5.75,1,0,2,0,0,14
"PS Punia",8,141,157,89.8089171974522,17.625,15,3,0,0,0,30
"Poonam Yadav",1,7,12,58.3333333333333,7,0,0,0,0,0,7
"RM Ghosh",5,30,37,81.0810810810811,10,3,1,2,0,0,13
"RP Yadav",6,20,18,111.111111111111,6.66666666666667,1,0,3,0,0,10
"RS Gayakwad",1,7,10,70,Inf,1,0,1,0,0,7
"Renuka Singh",1,14,18,77.7777777777778,Inf,2,0,1,0,0,14
"S Ecclestone",4,8,9,88.8888888888889,2.66666666666667,1,0,1,0,0,5
"S Luus",5,74,60,123.333333333333,24.6666666666667,8,1,2,0,0,37
"S Mandhana",8,256,212,120.754716981132,32,26,7,0,0,2,90
"S Meghana",1,73,47,155.31914893617,73,7,4,0,0,1,73
"S Pandey",5,27,42,64.2857142857143,13.5,2,0,3,0,0,14
"S Rana",2,26,29,89.6551724137931,13,4,0,0,0,0,15
"S Verma",4,75,73,102.739726027397,37.5,3,3,2,0,0,40
"SC Selman",3,17,15,113.333333333333,17,1,0,2,0,0,8
"SD Bahadur",2,32,20,160,32,5,1,1,0,0,20
"SD Pradhan",2,2,2,100,2,0,0,1,0,0,2
"SFM Devine",4,63,60,105,15.75,2,3,0,0,0,32
"SIR Dunkley",2,20,10,200,10,2,1,0,0,0,19
"SR Taylor",2,7,20,35,3.5,0,0,0,0,0,5
"SW Bates",3,59,63,93.6507936507936,19.6666666666667,4,1,0,0,0,32
"Salma Khatun",1,0,7,0,0,0,0,0,0,0,0
"Shafali Verma",8,172,117,147.008547008547,21.5,29,3,0,0,1,51
"Sharmin Akhter",1,0,4,0,0,0,0,0,0,0,0
"T Bhatia",4,51,53,96.2264150943396,25.5,4,0,2,0,0,36
"V Chandu",1,0,2,0,0,0,0,0,0,0,0
"V Krishnamurthy",6,69,70,98.5714285714286,13.8,9,0,1,0,0,30
"YH Bhatia",3,49,37,132.432432432432,16.3333333333333,8,0,0,0,0,19
