"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"RP Yadav",9,"29.0",0,219,12,18.25,7.55172413793103,14.5,62,0,1,"5/16"
"S Ecclestone",8,"31.1",1,158,11,14.3636363636364,5.06951871657754,17,107,1,0,"4/9"
"DB Sharma",9,"29.0",1,169,10,16.9,5.82758620689655,17.4,73,1,0,"4/14"
"RS Gayakwad",8,"28.0",1,199,9,22.1111111111111,7.10714285714286,18.6666666666667,61,0,0,"2/13"
"Poonam Yadav",9,"31.0",0,200,9,22.2222222222222,6.45161290322581,20.6666666666667,73,0,0,"2/21"
"Salma Khatun",5,"16.0",0,99,7,14.1428571428571,6.1875,13.7142857142857,36,0,0,"3/18"
"AC Kerr",3,"11.0",0,71,6,11.8333333333333,6.45454545454545,11,26,0,0,"2/21"
"P Vastrakar",5,"13.0",0,90,6,15,6.92307692307692,13,37,1,0,"4/12"
"E Bisht",6,"20.5",0,129,6,21.5,6.192,20.8333333333333,52,0,0,"3/22"
"KL Cross",3,"11.0",0,80,5,16,7.27272727272727,13.2,25,0,0,"2/24"
"A King",3,"12.0",0,82,5,16.4,6.83333333333333,14.4,30,0,0,"3/32"
"AA Patil",6,"23.0",1,136,5,27.2,5.91304347826087,27.6,64,0,0,"1/12"
"DJS Dottin",3,"9.2",1,56,4,14,6,14,35,0,0,"2/21"
"SD Bahadur",2,"7.0",0,61,4,15.25,8.71428571428571,10.5,14,0,0,"2/30"
"Jahanara Alam",3,"12.0",0,82,4,20.5,6.83333333333333,18,31,0,0,"2/21"
"HK Matthews",5,"11.0",0,96,4,24,8.72727272727273,16.5,23,0,0,"3/29"
"J Goswami",5,"18.0",0,100,4,25,5.55555555555556,27,61,0,0,"2/13"
"A Khaka",6,"18.0",1,139,4,34.75,7.72222222222222,27,43,0,0,"2/27"
"LM Kasperek",2,"6.0",0,28,3,9.33333333333333,4.66666666666667,12,19,0,0,"2/23"
"SW Bates",1,"3.0",0,16,2,8,5.33333333333333,9,7,0,0,"2/16"
"ML Schutt",1,"4.0",0,18,2,9,4.5,12,13,0,0,"2/18"
"EA Perry",1,"3.0",0,20,2,10,6.66666666666667,9,11,0,0,"2/20"
"LMM Tahuhu",3,"7.0",1,45,2,22.5,6.42857142857143,21,24,0,0,"2/21"
"HASD Siriwardene",3,"10.5",0,71,2,35.5,6.55384615384615,32.5,25,0,0,"1/22"
"H Deol",4,"9.0",0,72,2,36,8,27,16,0,0,"1/19"
"SFM Devine",4,"14.0",0,85,2,42.5,6.07142857142857,42,35,0,0,"1/19"
"S Pandey",6,"19.0",0,97,2,48.5,5.10526315789474,57,65,0,0,"1/17"
"SC Selman",5,"14.0",0,99,2,49.5,7.07142857142857,42,36,0,0,"2/31"
"SIR Dunkley",1,"2.0",0,8,1,8,4,12,5,0,0,"1/8"
"DP Vaidya",1,"4.0",0,21,1,21,5.25,24,14,0,0,"1/21"
"SD Pradhan",2,"4.0",1,23,1,23,5.75,24,10,0,0,"1/14"
"Meghna Singh",2,"4.0",0,31,1,31,7.75,24,8,0,0,"1/16"
"Renuka Singh",2,"6.0",0,54,1,54,9,36,13,0,0,"1/32"
"NR Sciver",3,"10.0",1,74,1,74,7.4,60,25,0,0,"1/27"
"S Rana",3,"10.0",0,89,1,89,8.9,60,21,0,0,"1/37"
"D Hazell",1,"1.0",0,10,0,Inf,10,Inf,2,0,0,"0/10"
"S Luus",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"M Joshi",1,"1.0",0,17,0,Inf,17,Inf,3,0,0,"0/17"
"MD Sonawane",1,"2.0",0,19,0,Inf,9.5,Inf,1,0,0,"0/19"
"Shafali Verma",1,"2.0",0,19,0,Inf,9.5,Inf,1,0,0,"0/19"
"R Kanojiya",1,"4.0",0,22,0,Inf,5.5,Inf,7,0,0,"0/22"
"Manali Dakshini",1,"3.0",0,23,0,Inf,7.66666666666667,Inf,8,0,0,"0/23"
"SR Taylor",2,"3.0",0,33,0,Inf,11,Inf,5,0,0,"0/9"
"A Reddy",2,"4.0",0,34,0,Inf,8.5,Inf,7,0,0,"0/15"
"H Kaur",4,"6.0",0,49,0,Inf,8.16666666666667,Inf,9,0,0,"0/6"
"V Chandu",2,"5.0",0,49,0,Inf,9.8,Inf,11,0,0,"0/23"
"Komal Zanzad",2,"7.0",0,52,0,Inf,7.42857142857143,Inf,18,0,0,"0/23"
