"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"RP Yadav",2020-11-09,"Trailblazers","Supernovas",1,"4.0",0,16,5,4,13,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"S Ecclestone",2020-11-05,"Velocity","Trailblazers",1,"3.1",1,9,4,2.84210526315789,15,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"P Vastrakar",2022-05-23,"Trailblazers","Supernovas",2,"4.0",0,12,4,3,15,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"DB Sharma",2019-05-08,"Velocity","Trailblazers",2,"4.0",0,14,4,3.5,14,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"Salma Khatun",2020-11-09,"Supernovas","Trailblazers",2,"4.0",0,18,3,4.5,8,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"E Bisht",2020-11-04,"Supernovas","Velocity",1,"4.0",0,22,3,5.5,9,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"HK Matthews",2022-05-23,"Supernovas","Trailblazers",1,"4.0",0,29,3,7.25,8,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"A King",2022-05-28,"Velocity","Supernovas",2,"4.0",0,32,3,8,10,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"DB Sharma",2020-11-09,"Supernovas","Trailblazers",2,"3.0",0,9,2,3,9,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"S Ecclestone",2019-05-06,"Supernovas","Trailblazers",2,"4.0",0,11,2,2.75,16,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
