"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A King","2022","Women's T20 Challenge","Supernovas",2,11,6,183.333333333333,11,1,1,1,0,0,6
"A Reddy","2022","Women's T20 Challenge","Trailblazers",1,0,1,0,0,0,0,0,0,0,0
"AA Patil","2020/21","Women's T20 Challenge","Supernovas",2,9,14,64.2857142857143,4.5,0,0,0,0,0,8
"AC Jayangani","2019","Women's T20 Challenge","Supernovas",3,59,77,76.6233766233766,19.6666666666667,7,0,0,0,0,31
"AC Jayangani","2020/21","Women's T20 Challenge","Supernovas",3,117,96,121.875,39,8,6,0,0,1,67
"AC Kerr","2019","Women's T20 Challenge","Velocity",2,36,40,90,18,4,0,0,0,0,36
"AJ Healy","2018","Women's T20 Challenge Match","Trailblazers",1,7,6,116.666666666667,7,1,0,0,0,0,7
"BL Mooney","2018","Women's T20 Challenge Match","Trailblazers",1,4,4,100,4,1,0,0,0,0,4
"BS Fulmali","2019","Women's T20 Challenge","Trailblazers",1,2,4,50,2,0,0,0,0,0,2
"D Hazell","2018","Women's T20 Challenge Match","Trailblazers",1,3,4,75,Inf,0,0,1,0,0,3
"D Hemalatha","2019","Women's T20 Challenge","Trailblazers",2,3,5,60,Inf,0,0,2,0,0,2
"D Hemalatha","2020/21","Women's T20 Challenge","Trailblazers",1,4,7,57.1428571428571,4,0,0,0,0,0,4
"DB Sharma","2018","Women's T20 Challenge Match","Trailblazers",1,21,22,95.4545454545455,21,3,0,0,0,0,21
"DB Sharma","2019","Women's T20 Challenge","Trailblazers",2,16,17,94.1176470588235,8,2,0,0,0,0,16
"DB Sharma","2020/21","Women's T20 Challenge","Trailblazers",2,52,50,104,52,6,0,1,0,0,43
"DB Sharma","2022","Women's T20 Challenge","Velocity",3,28,33,84.8484848484848,14,2,0,1,0,0,24
"DJS Dottin","2020/21","Women's T20 Challenge","Trailblazers",3,76,75,101.333333333333,38,8,1,1,0,0,29
"DJS Dottin","2022","Women's T20 Challenge","Supernovas",3,100,70,142.857142857143,33.3333333333333,7,5,0,0,1,62
"DN Wyatt","2018","Women's T20 Challenge Match","Supernovas",1,24,20,120,24,2,1,0,0,0,24
"DN Wyatt","2019","Women's T20 Challenge","Velocity",3,89,73,121.917808219178,29.6666666666667,9,4,0,0,0,46
"DN Wyatt","2020/21","Women's T20 Challenge","Velocity",2,3,16,18.75,1.5,0,0,0,0,0,3
"E Bisht","2020/21","Women's T20 Challenge","Velocity",1,0,6,0,0,0,0,0,0,0,0
"EA Perry","2018","Women's T20 Challenge Match","Supernovas",1,13,14,92.8571428571429,Inf,1,0,1,0,0,13
"H Deol","2019","Women's T20 Challenge","Trailblazers",2,79,84,94.0476190476191,39.5,8,0,0,0,0,43
"H Deol","2020/21","Women's T20 Challenge","Trailblazers",2,31,23,134.782608695652,15.5,3,0,0,0,0,27
"H Deol","2022","Women's T20 Challenge","Supernovas",3,49,36,136.111111111111,16.3333333333333,6,0,0,0,0,35
"H Kaur","2018","Women's T20 Challenge Match","Supernovas",1,21,23,91.304347826087,21,1,0,0,0,0,21
"H Kaur","2019","Women's T20 Challenge","Supernovas",3,98,76,128.947368421053,98,12,3,2,0,1,51
"H Kaur","2020/21","Women's T20 Challenge","Supernovas",3,92,92,100,30.6666666666667,4,3,0,0,0,31
"H Kaur","2022","Women's T20 Challenge","Supernovas",3,151,109,138.532110091743,50.3333333333333,12,6,0,0,1,71
"HASD Siriwardene","2020/21","Women's T20 Challenge","Supernovas",3,39,41,95.1219512195122,13,2,0,0,0,0,19
"HK Matthews","2019","Women's T20 Challenge","Velocity",3,16,28,57.1428571428571,5.33333333333333,3,0,0,0,0,11
"HK Matthews","2022","Women's T20 Challenge","Trailblazers",2,45,30,150,22.5,6,1,0,0,0,27
"J Goswami","2020/21","Women's T20 Challenge","Trailblazers",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"JI Rodrigues","2018","Women's T20 Challenge Match","Trailblazers",1,25,23,108.695652173913,25,3,0,0,0,0,25
"JI Rodrigues","2019","Women's T20 Challenge","Supernovas",3,123,92,133.695652173913,61.5,17,1,1,0,1,77
"JI Rodrigues","2020/21","Women's T20 Challenge","Supernovas",3,21,26,80.7692307692308,7,2,0,0,0,0,13
"JI Rodrigues","2022","Women's T20 Challenge","Trailblazers",2,90,65,138.461538461538,45,11,1,0,0,1,66
"Jahanara Alam","2020/21","Women's T20 Challenge","Velocity",1,1,5,20,1,0,0,0,0,0,1
"KL Cross","2022","Women's T20 Challenge","Velocity",2,19,13,146.153846153846,9.5,3,0,0,0,0,13
"KP Navgire","2022","Women's T20 Challenge","Velocity",2,69,47,146.808510638298,34.5,5,5,0,0,1,69
"L Wolvaardt","2022","Women's T20 Challenge","Velocity",3,133,91,146.153846153846,133,14,4,2,0,2,65
"LM Kasperek","2020/21","Women's T20 Challenge","Velocity",1,11,20,55,Inf,1,0,1,0,0,11
"LMM Tahuhu","2019","Women's T20 Challenge","Supernovas",2,2,9,22.2222222222222,2,0,0,1,0,0,2
"M Raj","2018","Women's T20 Challenge Match","Supernovas",1,22,17,129.411764705882,22,3,1,0,0,0,22
"M Raj","2019","Women's T20 Challenge","Velocity",3,69,86,80.2325581395349,34.5,6,0,1,0,0,40
"M Raj","2020/21","Women's T20 Challenge","Velocity",2,8,24,33.3333333333333,4,0,0,0,0,0,7
"MM Lanning","2018","Women's T20 Challenge Match","Supernovas",1,16,14,114.285714285714,16,3,0,0,0,0,16
"MR Meshram","2018","Women's T20 Challenge Match","Supernovas",1,4,7,57.1428571428571,4,0,0,0,0,0,4
"Meghna Singh","2022","Women's T20 Challenge","Supernovas",1,2,2,100,2,0,0,0,0,0,2
"N Chantam","2020/21","Women's T20 Challenge","Trailblazers",1,0,1,0,0,0,0,0,0,0,0
"N Chantam","2022","Women's T20 Challenge","Velocity",3,10,20,50,5,0,0,1,0,0,6
"NM Parween","2020/21","Women's T20 Challenge","Trailblazers",1,0,0,NA,NA,0,0,1,0,0,0
"NR Sciver","2019","Women's T20 Challenge","Supernovas",2,3,10,30,1.5,0,0,0,0,0,2
"P Vastrakar","2018","Women's T20 Challenge Match","Supernovas",1,2,3,66.6666666666667,Inf,0,0,1,0,0,2
"P Vastrakar","2020/21","Women's T20 Challenge","Supernovas",2,0,3,0,0,0,0,0,0,0,0
"P Vastrakar","2022","Women's T20 Challenge","Supernovas",3,21,19,110.526315789474,10.5,1,0,1,0,0,14
"PS Punia","2019","Women's T20 Challenge","Supernovas",3,46,53,86.7924528301887,15.3333333333333,7,0,0,0,0,29
"PS Punia","2020/21","Women's T20 Challenge","Supernovas",2,41,52,78.8461538461538,20.5,5,0,0,0,0,30
"PS Punia","2022","Women's T20 Challenge","Supernovas",3,54,52,103.846153846154,18,3,3,0,0,0,28
"Poonam Yadav","2022","Women's T20 Challenge","Trailblazers",1,7,12,58.3333333333333,7,0,0,0,0,0,7
"RM Ghosh","2020/21","Women's T20 Challenge","Trailblazers",3,27,28,96.4285714285714,13.5,3,1,1,0,0,13
"RM Ghosh","2022","Women's T20 Challenge","Trailblazers",2,3,9,33.3333333333333,3,0,0,1,0,0,2
"RP Yadav","2019","Women's T20 Challenge","Supernovas",1,10,4,250,Inf,1,0,1,0,0,10
"RP Yadav","2020/21","Women's T20 Challenge","Supernovas",3,8,9,88.8888888888889,8,0,0,2,0,0,5
"RP Yadav","2022","Women's T20 Challenge","Velocity",2,2,5,40,1,0,0,0,0,0,2
"RS Gayakwad","2022","Women's T20 Challenge","Trailblazers",1,7,10,70,Inf,1,0,1,0,0,7
"Renuka Singh","2022","Women's T20 Challenge","Trailblazers",1,14,18,77.7777777777778,Inf,2,0,1,0,0,14
"S Ecclestone","2020/21","Women's T20 Challenge","Trailblazers",2,1,3,33.3333333333333,1,0,0,1,0,0,1
"S Ecclestone","2022","Women's T20 Challenge","Supernovas",2,7,6,116.666666666667,3.5,1,0,0,0,0,5
"S Luus","2020/21","Women's T20 Challenge","Velocity",2,41,31,132.258064516129,41,4,1,1,0,0,37
"S Luus","2022","Women's T20 Challenge","Supernovas",3,33,29,113.793103448276,16.5,4,0,1,0,0,20
"S Mandhana","2018","Women's T20 Challenge Match","Trailblazers",1,14,9,155.555555555556,14,3,0,0,0,0,14
"S Mandhana","2019","Women's T20 Challenge","Trailblazers",2,100,77,129.87012987013,50,12,3,0,0,1,90
"S Mandhana","2020/21","Women's T20 Challenge","Trailblazers",3,107,98,109.183673469388,35.6666666666667,7,4,0,0,1,68
"S Mandhana","2022","Women's T20 Challenge","Trailblazers",2,35,28,125,17.5,4,0,0,0,0,34
"S Meghana","2022","Women's T20 Challenge","Trailblazers",1,73,47,155.31914893617,73,7,4,0,0,1,73
"S Pandey","2018","Women's T20 Challenge Match","Trailblazers",1,14,15,93.3333333333333,Inf,1,0,1,0,0,14
"S Pandey","2019","Women's T20 Challenge","Velocity",2,1,8,12.5,1,0,0,1,0,0,1
"S Pandey","2020/21","Women's T20 Challenge","Velocity",2,12,19,63.1578947368421,12,1,0,1,0,0,10
"S Rana","2022","Women's T20 Challenge","Velocity",2,26,29,89.6551724137931,13,4,0,0,0,0,15
"S Verma","2019","Women's T20 Challenge","Velocity",2,40,32,125,Inf,3,1,2,0,0,40
"S Verma","2020/21","Women's T20 Challenge","Velocity",2,35,41,85.3658536585366,17.5,0,2,0,0,0,34
"SC Selman","2019","Women's T20 Challenge","Trailblazers",1,8,7,114.285714285714,Inf,1,0,1,0,0,8
"SC Selman","2020/21","Women's T20 Challenge","Supernovas",2,9,8,112.5,9,0,0,1,0,0,5
"SD Bahadur","2022","Women's T20 Challenge","Velocity",2,32,20,160,32,5,1,1,0,0,20
"SD Pradhan","2019","Women's T20 Challenge","Velocity",1,2,1,200,Inf,0,0,1,0,0,2
"SD Pradhan","2020/21","Women's T20 Challenge","Velocity",1,0,1,0,0,0,0,0,0,0,0
"SFM Devine","2018","Women's T20 Challenge Match","Supernovas",1,19,20,95,19,0,1,0,0,0,19
"SFM Devine","2019","Women's T20 Challenge","Supernovas",3,44,40,110,14.6666666666667,2,2,0,0,0,32
"SIR Dunkley","2022","Women's T20 Challenge","Trailblazers",2,20,10,200,10,2,1,0,0,0,19
"SR Taylor","2019","Women's T20 Challenge","Trailblazers",2,7,20,35,3.5,0,0,0,0,0,5
"SW Bates","2018","Women's T20 Challenge Match","Trailblazers",1,32,37,86.4864864864865,32,2,0,0,0,0,32
"SW Bates","2019","Women's T20 Challenge","Trailblazers",2,27,26,103.846153846154,13.5,2,1,0,0,0,26
"Salma Khatun","2022","Women's T20 Challenge","Trailblazers",1,0,7,0,0,0,0,0,0,0,0
"Shafali Verma","2019","Women's T20 Challenge","Velocity",3,47,41,114.634146341463,15.6666666666667,7,1,0,0,0,34
"Shafali Verma","2020/21","Women's T20 Challenge","Velocity",2,30,20,150,15,5,1,0,0,0,17
"Shafali Verma","2022","Women's T20 Challenge","Velocity",3,95,56,169.642857142857,31.6666666666667,17,1,0,0,1,51
"Sharmin Akhter","2022","Women's T20 Challenge","Trailblazers",1,0,4,0,0,0,0,0,0,0,0
"T Bhatia","2020/21","Women's T20 Challenge","Supernovas",2,14,20,70,14,1,0,1,0,0,14
"T Bhatia","2022","Women's T20 Challenge","Supernovas",2,37,33,112.121212121212,37,3,0,1,0,0,36
"V Chandu","2022","Women's T20 Challenge","Supernovas",1,0,2,0,0,0,0,0,0,0,0
"V Krishnamurthy","2018","Women's T20 Challenge Match","Supernovas",1,2,2,100,2,0,0,0,0,0,2
"V Krishnamurthy","2019","Women's T20 Challenge","Velocity",3,38,39,97.4358974358974,19,5,0,1,0,0,30
"V Krishnamurthy","2020/21","Women's T20 Challenge","Velocity",2,29,29,100,14.5,4,0,0,0,0,29
"YH Bhatia","2022","Women's T20 Challenge","Velocity",3,49,37,132.432432432432,16.3333333333333,8,0,0,0,0,19
