"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"S Mandhana",2019-05-06,"Trailblazers","Supernovas",1,90,67,10,3,134.328358208955,FALSE,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"JI Rodrigues",2019-05-09,"Supernovas","Velocity",1,77,48,10,1,160.416666666667,TRUE,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"S Meghana",2022-05-26,"Trailblazers","Velocity",1,73,47,7,4,155.31914893617,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"H Kaur",2022-05-24,"Supernovas","Velocity",1,71,51,7,3,139.21568627451,FALSE,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"KP Navgire",2022-05-26,"Velocity","Trailblazers",2,69,34,5,5,202.941176470588,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"S Mandhana",2020-11-09,"Trailblazers","Supernovas",1,68,49,5,3,138.775510204082,FALSE,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"AC Jayangani",2020-11-07,"Supernovas","Trailblazers",1,67,48,5,4,139.583333333333,FALSE,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"JI Rodrigues",2022-05-26,"Trailblazers","Velocity",1,66,44,7,1,150,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"L Wolvaardt",2022-05-28,"Velocity","Supernovas",2,65,40,5,3,162.5,TRUE,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"DJS Dottin",2022-05-28,"Supernovas","Velocity",1,62,44,1,4,140.909090909091,FALSE,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"Shafali Verma",2022-05-24,"Velocity","Supernovas",2,51,33,9,1,154.545454545455,FALSE,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"L Wolvaardt",2022-05-24,"Velocity","Supernovas",2,51,35,7,1,145.714285714286,TRUE,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
